Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,Grid,Op Status,Coverage,Sponsor,Features,Links,Coordination,Last update,Web links,Downlink Tone,AllStar,Affiliate,Notes,EchoLink,IRLP,Bandwidth,DMR Enabled,Color Code,IPSC Network,Wide Network,Mixed-Mode,D-STAR Enabled,Node,Sources,Commands,Nets,YSF Digital Enabled,DG-ID,P-25 Digital Enabled,NAC,Default Reflector,DMR ID,Talkgroups,Rocky Mountain Wide,Southern Colorado,Feed,Location Photo,On-air,Talkgroup Network,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Eastern Colorado,TAC 311,Colorado,Colorado Chat,Central Regional,WIRES-X,Northern Colorado Regional,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Devilshead Local,Local Network,Local/Cluster,REACT,CO-Park County
449.925,-5,103.5,WZ0N,"Salida, Methodist Mountain",CO,OPEN,,,94.28,N,,08,3811,38.4528,-106.018,449.925,444.925,103.5,Chaffee,,On-Air,"Upper Arkansas and Platte Rivers, and the SLV",,E-power (Bat),,CCARC,2013-07-05,,103.5,,Colorado ARES,Identifies with an 'M' following WZ0N callsign which identifies the site as Methodist.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Salida, Methodist Mountain",CO,OPEN,,,94.75,N,,08,204,38.4596,-106.011,147.285,147.885,88.5,Chaffee,,On-Air,"Wide area: South Park, Gunnison, Pueblo, and the San Luis Valley south to New Mexico. At extremes, it has been worked from east of Montrose and Blue Mesa Resevoir, on Fremont Pass near Climax, in and around Bailey on U.S. 285, and south toward Trinidad on Interstate 25.",Colorado Connection,11,Full-time to the Colorado Connection System .,CCARC,2016-05-23,,123,,,,,,,,,,,,,,,,Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (All Welcome): Thu at 20:00. Statewide ARES Net: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.295,-0.6,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,,94.75,N,,08,203,38.4596,-106.011,145.295,144.695,107.2,Chaffee,DM78ik,On-Air,Wide area.,Cheyenne Mtn Repeater Group,,,CCARC,2019-08-15,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.26,0.6,67,NM5ML,"Pecos, Elk Mountain",NM,OPEN,,,94.89,SSE,,35,145,35.76720047,-105.55400085,147.26,147.86,67,San Miguel,DM75FS,On-Air,Wide area.,,11,Full-time to the Mega-Link System .,NMFCC,2018-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,162.2,W5SF,"Las Vegas, Elk Mountain",NM,OPEN,,,94.94,SSE,,35,115,35.76670074,-105.5530014,147.3,147.9,162.2,San Miguel,DM75FS,On-Air,Wide area.,Santa Fe ARC,"E-power, linked.",,NMFCC,2017-07-06,SFARC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,-0.6,123,KB5ITS,"Lake City, Hill 71",CO,OPEN,,,96.26,NW,,08,16607,38.03,-107.315,147.135,146.535,123,Hinsdale,,On-Air,,,E-power (solar),,CCARC,2018-01-15,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,162.2,,Santa Fe,NM,OPEN,,,96.93,S,,35,17323,35.68700027,-105.93800354,145.19,144.59,162.2,Bernalillo,,On-Air,,,,,,2018-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.21,-0.6,,W5SF,Santa Fe,NM,OPEN,,S,96.93,S,,35,13769,35.68700027,-105.93800354,145.21,144.61,,Santa Fe,,On-Air,Local Santa Fe,W5SF,,,,2015-11-08,,,,Santa Fe Amateur Radio Club,Soon to move to a better location.,,,,,,,,,yes,W5SF (C) Gateway Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.575,5,,W5SF,Santa Fe,NM,OPEN,,S,96.93,S,,35,13768,35.68700027,-105.93800354,444.575,449.575,,Santa Fe,,On-Air,Local Santa Fe,W5SF,,,,2015-11-08,,,,Santa Fe Amateur Radio CLub,Soon to move to a better location,,,,,,,,,yes,W5SF (B) Gateway Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.15,5,CC,WR7HLN,Santa Fe,NM,OPEN,,D,97.41,S,"New Repeater in Santa Fe, on the air at 6/24/19 3 Miles West of Santa Fe, NM. 6,870 Feet Elevation. 50 watt Hytera RD985 Repeater. Dual Mix with Analog, PL 131.8. Decibel Products DB-408 omni pattern antenna. Antenna height is 85 feet above ground level. On the air June 24, 2019.",35,18015,35.67869949,-105.99199677,443.15,448.15,,Bernalillo,,On-Air,Santa Fe,Mac Pass Repeater Group,"This is a dual mix repeater, analog on PL TONE 131.8, color code 1 DMR",,NMFCC,2019-12-08,http://www.dmr-montana.net,,,,,,,,yes,1,Brandmeister c Record retrieved from radioid.net,,Yes; analog capable.,,,,,,,,,,,310992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,"Durango, Missionary Ridge",CO,OPEN,,,97.81,W,,08,114,37.35,-107.767,147.345,147.945,88.5,La Plata,,On-Air,Durango and north towards Molas Divide.,Colorado Connection,,Full-time to the Colorado Connection System .,CCARC,2016-06-20,,123,,,,,,,,,,,,,,,,Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (All Welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.73,-0.6,88.5,W0PHC,"Walsenburg, N Rattlesnake Butte",CO,OPEN,,,97.96,E,,08,247,37.77190018,-104.45600128,146.73,146.13,88.5,Huerfano,DM77SS,On-Air,"Wide area: Pueblo, Huerfano, Otero, and Las Animas Counties.",Pueblo Amateur Radio Club,6,,CCARC,2019-12-10,Pueblo Ham Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.2,0.6,67,NM5ML,"Wagon Mound, Turkey Mountain",NM,OPEN,,,98.38,SE,,35,11289,35.98429871,-104.90100098,147.2,147.8,67,Mora,DM75NX,On-Air,,,8,Full-time to the Mega-Link System .,,2017-01-24,http://nm5ml.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,141.3,NM5EM,"Wagon Mound, Turkey Mtn",NM,OPEN,,,98.39,SE,,35,15621,35.98400116,-104.90100098,145.37,144.77,141.3,Mora,DM75NX,Off-Air,,NMEMA ARC,,,NMFCC,2017-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,100,K0EP,"Durango, Missionary Ridge",CO,OPEN,,,98.83,WNW,,08,116,37.3828,-107.778,146.7,146.1,100,La Plata,,On-Air,Local.,Durango ARC,9,,CCARC,2018-01-16,http://durangoarc.org/,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.2,0.6,162.2,W5SF,"Santa Fe, St Vincent Hospital",NM,OPEN,,,98.83,S,,35,154,35.65930176,-105.94499969,147.2,147.8,162.2,Santa Fe,DM75AP,On-Air,,Santa Fe ARC,E-power. Full time link to Tesuque Peak.,,NMFCC,2018-09-01,SFARC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.1375,-5,CC,N0SZ,"Durango, Missionary Ridge",CO,OPEN,,D,99,WNW,,08,16782,37.3669,-107.785,445.1375,440.1375,,La Plata,,On-Air,,K2AD,,,CCARC,2018-09-27,http://www.rmham.org/,,,Rocky Mountain Ham Radio,Talkgroup 700 TS 1 Talkgroup 719 TS 2,,,,yes,7,,,,,,,,,,,,,,310854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.275,-5,146.2,K9GAJ,Santa Fe,NM,OPEN,I,,99.33,S,,35,10216,35.65100098,-105.99199677,449.275,444.275,146.2,Santa Fe,DM75AP,On-Air,,Fred Homuth,,,,2017-07-25,,,,,,,3939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.775,-5,100,KF5SGT,Santa Fe,NM,OPEN,I,,99.54,S,,35,13566,35.64799881,-105.98500061,447.775,442.775,100,Santa Fe,,On-Air,Santa Fe,,,,,2017-02-14,,,,,,,7326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,100,KD0MRC,Maysville,CO,OPEN,,,99.57,N,,08,16739,38.50630188,-106.34500122,145.325,144.725,100,Chaffee,,On-Air,wide area,Chaffee Lake Amateur Repeater Association,,,,2019-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,,KD0QPG,"Salida, Methodist Mountain",CO,OPEN,,S,99.95,N,,08,9844,38.5347,-105.999,446.975,441.975,,Chaffee,,On-Air,,Crestone Amateur Radio Emergency Services,,,CCARC,2013-07-06,KD0QPG,,,Crestone Amateur Radio Emergency Services,,,,,,,,,,yes,KD0QPG (B) Gateway Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8125,-5,CC,N0SZ,"Salida, Methodist Mountain",CO,OPEN,,D,99.95,N,,08,12697,38.53469849,-105.99900055,446.8125,441.8125,,Chaffee,,On-Air,,RMHAM,,,,2019-11-27,,,,,,,,,yes,7,RMHR c Record retrieved from radioid.net,,,,,,,,,,,,,310825,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Southern Colorado 2 719 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.375,0.6,156.7,KB5ITS,"Silverton, Kendall Mountain",CO,OPEN,,,100.82,WNW,,08,209,37.79330063,-107.6289978,147.375,147.975,156.7,San Juan,DM67ET,On-Air,Wide area.,,13,"Part-time to 146.67000 (K0EP) at Durango, Eagle Pass, CO .",CCARC,2018-01-15,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,100,NM5SJ,"Nebo, Cedar Hill",NM,OPEN,,,101.41,W,,35,16667,36.95,-107.85,147.06,147.66,100,San Juan,,On-Air,,,,,NMFCC,2018-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.975,-5,100,K0JSC,"Canon City, Colorado",CO,OPEN,EIA,,102.22,NNE,ON - IDLE,08,7185,38.43009949,-105.23200226,447.975,442.975,100,Fremont,,On-Air,Canon City area. Repeater Coverage Map,K0JSC,Autopatch.,Full-time to the The Fun Machine System .,CCARC,2017-03-11,http://www.k0jsc.com,100,28368,,,363976,7301,,,,,,,,,,,Region 2 District 2 ARES Net: Tue at 19:00. EOSS Net: Tue at 20:00. RGARC Net: Wed at 19:00. Region 5 District 1 ARES Net: Wed at 19:30. APRS Net: Sun at 19:00. Region 5 District 2 ARES Net: Sun at 19:30. Statewide ARES Net: Sun at 20:00.,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC,K0JSC,"Canon City, Fremont Peak",CO,OPEN,,D,102.46,NNE,,08,7184,38.4542,-105.29,446.7375,441.7375,,Fremont,DM78ii,On-Air,Fremont county and state wide on Talk Slot 2. 40 mi radius. Repeater Coverage Map,,IPSC Link to the Colorado network on Talk Slot 2.,Full-time to the Colorado TRBO System .,CCARC,2017-03-11,http://www.k0jsc.com,,,Rocky Mountain Ham Radio,Talk Slot 2 linked to the RMHAM trbo system/Talk Slot 1 Local.,,,,yes,7,,,,,,,,,,,,,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Southern Colorado 2 719 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,2,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
447.25,-5,100,K0JSC,"Canon City, Fremont Peak",CO,OPEN,EIA,,102.46,NNE,ON - IDLE,08,8879,38.4542,-105.29,447.25,442.25,100,Fremont,DM78ik,On-Air,Wide from Custer County to Park County and Chaffee County to Pueblo County. Repeater Coverage Map,,,Full-time to the The Fun Machine System .,CCARC,2013-01-27,K0JSC dot Com,100,28368,,,363976,7301,,,,,,,,,,,Region 2 District 2 ARES Net: Tue at 19:00. EOSS Net: Tue at 20:00. RGARC Net: Wed at 19:00. Region 5 District 1 ARES Net: Wed at 19:30. APRS Net: Sun at 19:00. Region 5 District 2 ARES Net: Sun at 19:30. Statewide ARES Net: Sun at 20:00.,,,,,,,,,,Listen Live,yes,,,,,,,,,,,,,,,,,,,,,,,,,
53.03,-1.7,88.5,WB0WDF,"Canon City, Fremont Peak",CO,OPEN,,,102.46,NNE,,08,29,38.4542,-105.29,53.03,51.33,88.5,Fremont,,On-Air,,WB0WDF,"E-power (Bat). Split Site; TX Fremont Peak, RX 8 Mile Mountain",,CCARC,2012-07-10,Http://www.qsl.net/rghc,88.5,,RGARC,Split site Fremont peak transmitter and 8 mile mountain reciever.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,,102.46,NNE,,08,30,38.4542,-105.29,145.49,144.89,103.5,Fremont,DM78ik,On-Air,,Royal Gorge Amateur Radio Club,E-power (Bat),,CCARC,2017-03-11,Royal Gorge Amateur Radio Club,103.5,,Colorado ARES Region 5 District 1,,,,,,,,,,,,,,RGARC Net: Wed at 19:00. ARES Net: Wed at 19:30.,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
223.96,-1.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,,102.46,NNE,,08,31,38.4542,-105.29,223.96,222.36,103.5,Fremont,,On-Air,Wide area. Repeater Coverage Map,RGARC,"E-power (Bat), Remote Base",,CCARC,2017-10-04,,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
447.75,-5,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,I,,102.46,NNE,,08,32,38.4542,-105.29,447.75,442.75,103.5,Fremont,,On-Air,,RGARC,E-power (Bat),,CCARC,2017-03-11,Royal Gorge Amateur Radio Club,103.5,,,,,3081,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
1292.3,-20,,KF5VBD,"Bloomfield, Harris Mesa",NM,CLOSED,,S,102.47,WSW,,35,11429,36.65,-107.791,1292.3,1272.3,,San Juan,,On-Air,,San Juan County,,,NMFCC,2018-02-02,,,,,,,,,,,,,,yes,KF5VBD (A) Gateway Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7,-25,D114,KB0TUC,"Canon City, Fremont Peak",CO,OPEN,,,102.52,NNE,,08,278,38.45389938,-105.28600311,927.7,902.7,D114,Fremont,,On-Air,,Royal Gorge ARC,,,CCARC,2017-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,127.3,KB5ITS,Silverton,CO,OPEN,,,103.11,WNW,,08,210,37.81190109,-107.66400146,447.525,442.525,127.3,San Juan,,On-Air,Wide area.,KB5ITS,E-power.,,CCARC,2014-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,131.8,KC5EVE,Durango,CO,OPEN,,,103.15,W,,08,115,37.2753,-107.879,448.625,443.625,131.8,La Plata,,On-Air,Wide area.,KC5EVE,,,CCARC,2018-09-26,,131.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,127.3,KB5ITS,"Silverton, Buffalo Boy",CO,OPEN,,,103.16,WNW,,08,16605,37.8119,-107.665,145.325,144.725,127.3,San Juan,,On-Air,,,Solar powered,,CCARC,2018-01-15,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,5,67,KB5ITS,"Silverton, Hazelton",CO,OPEN,,,103.16,WNW,,08,16624,37.8119,-107.665,444,449,67,San Juan,,On-Air,,,,,,2018-08-03,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,100,K0EP,Durango,CO,OPEN,,,103.21,W,,08,11546,37.27529907,-107.87999725,449.85,444.85,100,La Plata,,On-Air,,DARC,,,CCARC,2018-09-26,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,100,NM5SJ,Lybrook,NM,OPEN,,,103.9,SW,,35,128,36.23329926,-107.56199646,145.49,144.89,100,Rio Arriba,,On-Air,,Totah ARC,Closed autopatch.,,NMFCC,2017-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.28,0.6,67,NM5ML,"Bloomfield, Harris Mesa",NM,OPEN,,,104.16,WSW,,35,51,36.6067,-107.805,147.28,147.88,67,San Juan,,On-Air,Wide area.,,6,Full-time to the Mega-Link System .,NMFCC,2018-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.4,5,100,N7JNI,Wagon Mound,NM,OPEN,,,104.32,SE,,35,181,36.00889969,-104.70600128,444.4,449.4,100,Mora,,Off-Air,,Mora ARC,,,NMFCC,2017-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.1,0.6,100,KB5ITS,"Bloomfield, Harris mesa",NM,OPEN,,,104.34,WSW,,35,49,36.61,-107.81,147.1,147.7,100,San Juan,,On-Air,,San Juan connection,,Full-time to the San Juan Connection System .,NMFCC,2018-01-15,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,0.6,100,KB5ITS,"Durango, Smelter Mountain",CO,OPEN,,,104.53,W,,08,11545,37.2622,-107.906,147.135,147.735,100,La Plata,,On-Air,,,,,CCARC,2018-01-15,http://www.sjcham.com,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.2,-1,107.2,N9PGQ,La Cueva,NM,OPEN,,,104.69,S,,35,101,35.59109879,-105.73200226,53.2,52.2,107.2,Santa Fe,,Off-Air,,N9PGQ,,,NMFCC,2017-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.84,-0.6,107.2,N9PGQ,La Cueva,NM,OPEN,,,104.69,S,,35,102,35.59109879,-105.73200226,146.84,146.24,107.2,Santa Fe,,,,N9PGQ,,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,
442.125,5,107.2,N9PGQ,La Cueva,NM,OPEN,,,104.69,S,,35,103,35.59109879,-105.73200226,442.125,447.125,107.2,Santa Fe,,,,,,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,CC 88.5,W0PHC,"Pueblo, 12 Mile Hill",CO,OPEN,,D,105.52,NE,,08,194,38.20700073,-104.70700073,146.88,146.28,88.5,Pueblo,DM78pe,On-Air,Wide area.,Pueblo Amateur Radio Club,E-power.,,CCARC,2019-12-10,http://www.puebloradio.org/,,,,,,,,yes,0,c Record retrieved from radioid.net,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Pueblo, Cedarwood",CO,OPEN,EIA,,106.31,NE,ON - IDLE,08,5369,38.0340004,-104.48899841,449.975,444.975,100,Pueblo,DM78SA18,On-Air,I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass Repeater Coverage Map,K0JSC,2,"Linkable to 146.79000 (W0PHC) at Pueblo, Baculite Mesa, CO . Linkable to 146.88000 (W0PHC) at Pueblo, 12 Mile Hill, CO . Linkable to 145.49000 (WD0EKR) at Canon City, Fremont Peak, CO . Linkable to 145.13000 (KB0VJJ) at Colorado Springs, Cheyenne Mountain, CO . Linkable to 145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO . Linkable to 145.46000 (WB0WDF) at Cripple Creek, CO . Full-time to the The Fun Machine System . 146.43000 simplex. 146.44500 simplex.",CCARC,2017-03-11,K0JSC dot Com,100,28368,,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,363976,7301,,,,,,,,,,,APRS Net: Sun at 19:00. Region 5 District 2 ARES Net: Sun at 19:30. Statewide ARES Net: Sun at 20:00. Region 5 District 1 ARES Net: Mon at 19:00. RGARC Net: Wed at 19:00.,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,67,WB0WDF,"Canon City, eightmile Mountain",CO,OPEN,,,106.7,NNE,,08,33,38.5386,-105.349,449,444,67,Fremont,,On-Air,,WB0WDF,"E-power (Solar, Wind)",Full-time to the Mega-Link System .,CCARC,2012-06-14,Mega Link,67,,,North of the Royal Gorge Bridge.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITT,"Silverton, Engineer Mountain",CO,OPEN,,,106.74,WNW,,08,208,37.6992,-107.806,147.27,147.87,127.3,San Juan,,On-Air,Wide area.,KB5ITT,E-power.,,CCARC,2017-04-14,,,,Durango ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.1,5,100,NM5SC,"San Ysidro, Pajarito Peak",NM,OPEN,A,,106.88,SSW,,35,9767,35.69670105,-106.85900116,443.1,448.1,100,Sandoval,DM65NQ,On-Air,Wide area - NW NM.,Sandoval County ARES,"Linked, e-power.",,NMFCC,2017-02-10,http://nmscares.org/,,27748,ARRL,"KNWD TKR-850, RTCM Interface. 25W, 9000' MSL. (Pajarito Peak differs from Pajarito Mountain near Los Alamos)",,,,,,,,,,,,,Sandoval County ARES: Mon at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.65,-5,151.4,KB0YNA,"Gunnison, W Mountain or Tenderfoot Mountain",CO,OPEN,,,109.12,NNW,,08,15212,38.6125,-106.543,447.65,442.65,151.4,Gunnison,,On-Air,Gunnison valley and along East and west on Highway 50.,KB0YNA,"Linked to 448.650 in Montrose, Colorado and 449.650 in Grand Junction, Colorado.","Full-time to 448.65000 (KB0YNA) at Montrose, Waterdog Peak, CO . Full-time to 449.65000 (KB0YNA) at Grand Junction, Grand Mesa, CO .",CCARC,2016-10-28,,151.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,88.5,W0PHC,Pueblo,CO,OPEN,,,109.47,NE,,08,191,38.2521019,-104.66200256,145.115,144.515,88.5,Pueblo,DM78qg,On-Air,,Pueblo Amateur Radio Club,E-power.,,CCARC,2019-12-10,http://www.puebloradio.org/,,,,,,,6.25,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,100,K0JSC,Pueblo West,CO,OPEN,EIA,,109.49,NE,ON - IDLE,08,7994,38.3030014,-104.73400116,448.975,443.975,100,Pueblo,,On-Air,,,,Full-time to the The Fun Machine System .,CCARC,2017-03-11,http://www.k0jsc.com,100,28368,,Off air. Will return to service,363976,7301,,,,,,,,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,K0JSC,"Pueblo, Metro",CO,OPEN,,,110.31,NE,,08,9527,38.23049927,-104.61100006,447.275,442.275,100,Pueblo,DM78QF,On-Air,,,,Full-time to the The Fun Machine System .,CCARC,2017-01-06,The Fun Machine,100,,The Fun Machine,"Moved to Pueblo. Now called ""Pueblo Metro""",,,,,,,,,,,,,APRS Net: Sun at 19:00. Region 5 District 2 ARES Net: Sun at 19:30. Statewide ARES Net: Sun at 20:00. Region 5 District 1 ARES Net: Mon at 19:00. EOSS Net: Tue at 20:00. RGARC Net: Wed at 19:00.,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9875,-5,CC,K0JSC,Pueblo,CO,OPEN,,D,110.32,NE,,08,10785,38.23070145,-104.61100006,446.9875,441.9875,,Pueblo,DM78QF,Off-Air,,,,Full-time to the Colorado TRBO System .,CCARC,2019-11-27,Rocky Mountain Ham Radio,,,RMHAM,,,,,yes,6,RMHR c Record retrieved from radioid.net,,,,,,,,,,,,,310821,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Southern Colorado 2 719 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,103.5,KJ0T,Pueblo,CO,OPEN,,,110.32,NE,,08,3747,38.23059845,-104.61100006,147.24,147.84,103.5,Pueblo,DM78QF,Off-Air,Pueblo and Fremont Counties,TARA,,,CCARC,2012-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,107.2,KB5ITS,Aztec,NM,OPEN,,,110.43,W,,35,44,36.82220078,-107.99199677,447.45,442.45,107.2,San Juan,,On-Air,,KB5ITS,"E-power, remote base.",,NMFCC,2017-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.74,-0.6,100,NM5SJ,Aztec,NM,OPEN,,,110.43,W,,35,43,36.8222,-107.992,146.74,146.14,100,San Juan,,On-Air,,Totah ARC,"Closed autopatch, e-power.",,NMFCC,2017-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,KB5ITS,"Aztec, Tank Mtn",NM,OPEN,,,110.48,W,,35,15629,36.8222,-107.993,146.88,146.28,100,San Juan,,On-Air,,,,Full-time to the San Juan Connection System .,NMFCC,2018-01-15,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
