Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Grid,Op Status,Sponsor,Affiliate,Links,Coordination,Last update,On-air,Features,Coverage,EchoLink,Web links,Notes,Nets,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,IRLP,AllStar,Commands,D-STAR Enabled,Node,Sources,Talkgroup Network,Talkgroups,Southern Colorado,Central Regional,Northern Colorado Regional,YSF Digital Enabled,DG-ID,Mixed-Mode,Local Network,Wyoming,WyLOCAL,Worldwide,North America,English,Local/Cluster,Mountain Reg USA,Rocky Mountain Wide,Feed,Location Photo,P-25 Digital Enabled,NAC,Default Reflector,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Worldwide English,DCI Bridge,Colorado,N. Colorado,TAC 310,Devilshead Local,WIRES-X,Bandwidth,Eastern Colorado,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,TAC 311,Colorado Chat,Data,DMRX 1,Utah Statewide 2,USA,Utah,PA (PA-525),Hytera USA,SNARS,Parrott,Audio Test,All TG's Off,All TG's On
147.04,0.6,136.5,W7BAR,"Vernal, Grizzly Ridge",UT,OPEN,,,95.86,WNW,,49,181,40.73960114,-109.48400116,147.04,147.64,136.5,,Uintah,DN50GR,On-Air,Borderline ARC,,Full-time to the Sinbad Desert (SDARC) System .,UVHFS,2015-03-09,,E-power.,"Wide area: Vernal, Roosevelt, Duchesne and other Uintah basin communities.",,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,136.5,K7HEN,"Vernal, Grizzly Ridge",UT,OPEN,,,96.42,WNW,,49,24,40.75170135,-109.48699951,145.49,144.89,136.5,,Uintah,DN50GS,On-Air,"W7BYU, Borderline ARC",,,UVHFS,2014-01-20,,"Autopatch, 8,506', linked to (147.320).","Vernal, Roosevelt, Duchesne and other Uintah basin communities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,156.7,N0ZSN,"Leadville, Quail Mountain",CO,OPEN,,,101.9,SE,,08,10827,39.25080109,-106.29299927,147.24,147.84,156.7,156.7,Lake,,On-Air,,,,CCARC,2019-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC,K7PFJ,"Granby, Mt Chauncey",CO,OPEN,,D,104.44,ESE,,08,15899,40.08610153,-105.93900299,446.875,441.875,,,Clear Creek,,On-Air,,RMHAM,,,2019-11-27,,,,,http://www.rmham.org,,,yes,7,310838,RMHAM c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,123,KA0YDW,Granby,CO,OPEN,,,104.44,ESE,,08,145,40.08610153,-105.93900299,146.82,146.22,123,,Grand,,,GCARA,,,CCARC,2014-09-06,Unknown,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.445,-0.6,88.5,KB0VJJ,"Leadville, Mosquito Pass",CO,OPEN,,,105.68,SE,,08,172,39.28139877,-106.18599701,145.445,144.845,88.5,,Lake,,On-Air,Colorado Connection,,Full-time to the Colorado Connection System .,CCARC,2019-08-16,,E-power (solar).,,,,"At 13,685;, it is one of the highest 2-meter repeaters in North America.",Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC,N0SZ,"Leadville, Mosquito Pass",CO,OPEN,,D,106.43,SE,,08,16783,39.26530075,-106.18199921,445.05,440.05,,,Lake,DM69VG,On-Air,K2AD,Rocky Mountain Ham Radio,,CCARC,2019-11-27,,,,,http://www.rmham.org/,,,yes,7,310852,RMHR c Record retrieved from radioid.net,,,,,,,,RMHAM,"Open Talkgroup View Assignment TS TG Access Southern Colorado 2 719 Full-Time Central Regional 2 720 Full-Time Northern Colorado Regional 2 721 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,107.2,WB0QMR,Breckenridge,CO,OPEN,I,,106.74,SE,,08,23,39.4817009,-106.03800201,146.7,146.1,107.2,,Summit,,On-Air,GRARC,,,CCARC,2013-01-07,,E-power.,,,,,,,,,,,3972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,107.2,KC0UUX,Montrose,CO,OPEN,,,107.76,S,,08,12442,38.47829819,-107.87599945,146.91,146.31,107.2,107.2,Montrose,,On-Air,,,,CCARC,2014-12-13,,E-Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,107.2,KD5OPD,Montrose,CO,OPEN,,,107.76,S,,08,7953,38.47829819,-107.87599945,146.79,146.19,107.2,107.2,Montrose,,On-Air,KC0UXX,,,CCARC,2012-09-06,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.4,-5,131.8,KB0YNA,"Delta, Uncompahgre Butte",CO,OPEN,I,,108.3,SSW,,08,127,38.5766983,-108.64700317,449.4,444.4,131.8,131.8,Mesa,,On-Air,"WA4HND, Grand Mesa Repeater Association",,Full-time to the GMRA Open System .,CCARC,2016-08-19,,E-power.,Wide area via links - Western Colorado - Eastern Utah,,http://www.gmra.org,Closed IRLP out - Ask for a control op,RACES Wed 1930 Hrs,,,,,,3710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.425,-5,103.5,WC3W,Grand Lake,CO,OPEN,A,,110.02,ESE,,08,18131,40.23920059,-105.84700012,449.425,444.425,103.5,103.5,Clear Creek,,On-Air,,,,,2019-09-21,,,"Grand Lake, CO",,,Linked to the Allstar Florida Hub,Sunday and Tuesday nights at 7 PM MT,,,,,,,45202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0875,-5,CC,N0SZ,"Breckenridge, Baldy",CO,OPEN,,D,110.25,SE,,08,16780,39.45899963,-105.97899628,445.0875,440.0875,,,Fremont,DM79AL,On-Air,K2AD,Rocky Mountain Ham Radio,,,2019-11-27,,,,,http://www.rmham.org/,,,yes,7,310830,RMHAM c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,88.5,KB0VJJ,"Breckenridge, Bald Mountain",CO,OPEN,,,111.13,SE,,08,24,39.44390106,-105.96900177,147.39,147.99,88.5,123,Summit,DM79AK,On-Air,Colorado Connection,,Full-time to the Colorado Connection System .,CCARC,2019-11-08,,12,Wide area.,,Breckenridge Repeater,"Please Note that 146.790 is the old Breckenridge frequency and this repeater may return to that frequency eventually but is now working on 147.390-. This machine has a split tone, 88.5 rx and 123.0 tx",Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.825,-5,100,KB5ITS,"Montrose, Raspberry",CO,OPEN,,,112,S,,08,18465,38.41740036,-107.84600067,448.825,443.825,100,,Montrose,,On-Air,San Juan Connection,,,,2020-01-17,,,"Nucla, Uncompahgre Plateau, coverage into Montrose and ?West End?",,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,103.5,WA4CCC,Winter Park,CO,OPEN,,,112.29,ESE,,08,3756,39.94729996,-105.79499817,447.45,442.45,103.5,,Grand,DM79CW,On-Air,W0IG,,,CCARC,2013-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.125,-5,103.5,AA0BF,"Fairplay, Sacramento Mountain",CO,OPEN,A,,112.75,SE,,08,5336,39.20999908,-106.08699799,447.125,442.125,103.5,103.5,Park,DM69wf,On-Air,AA0BF,"Park County Radio Club, AB0PC",,CCARC,2019-03-08,,Emergency automatic generator.,"Covers Fairplay, Alma, and western South Park.",,,"Normally linked via Allstar to 45835 - AB0PC, Bailey, CO.","When connected to AB0PC - Bailey: ARES Mon 19:00, Park County Radio Club Wed 19:30.",,,,,,,45840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Winter Park, Winter Park",CO,OPEN,,,114.34,ESE,,08,15582,39.88650131,-105.76300049,147.285,147.885,88.5,123,Grand,,On-Air,Colorado Connection,,Full-time to the Colorado Connection System .,CCARC,2017-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,,KB0YNA,"Montrose, Waterdog Peak",CO,OPEN,,,114.73,S,,08,15213,38.38750076,-107.6740036,448.65,443.65,,151.4,Montrose,,On-Air,KB0YNA,,"Full-time to 447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",,2016-10-11,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,107.2,WA4HND,"Montrose, Waterdog Peak",CO,OPEN,I,,114.73,S,,08,69,38.38750076,-107.6740036,447.2,442.2,107.2,107.2,Montrose,,On-Air,,Grand Mesa Repeater Assoc,Full-time to the GMRA Open System .,CCARC,2018-01-15,,9,Delta/Montrose,,GMRA Repeaters,Closed IRLP out - Ask for a control op,RACES Net Wed at 1930 Hrs.,,,,,,3710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,100,KE7UUJ,"Rock Springs, Aspen Mountain",WY,OPEN,,,115.19,NNW,,56,10,41.4333992,-109.11599731,146.94,146.34,100,,Sweetwater,DN51KK,On-Air,Sweetwater ARC,,,WRCG,2019-02-15,,,Wide area. 75 mi radius.,,http://www.wy7u.org/,,Sunday ARES/Races @ 7:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,100,KE7FGD,"Rock Springs, Aspen Mountain",WY,OPEN,,,115.25,NNW,,56,11,41.43379974,-109.11699677,146.61,146.01,100,,Sweetwater,DN51KK,On-Air,SWARC Sweetwater Amateur Radio Club,,,WRCG,2019-02-15,,,Wide area: SW Wyoming,,http://www.wy7u.org/,,Sun at 19:30 on 146.940 TN 100 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,,K5GF,Gunnison,CO,OPEN,,,115.82,SSE,,08,161,38.54579926,-106.92500305,449.95,444.95,,,Gunnison,,,K5GF,,,CCARC,2012-11-10,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,,W0VTL,Gunnison,CO,OPEN,,,115.82,SSE,,08,160,38.54579926,-106.92500305,147.12,147.72,,,Gunnison,,On-Air,W0VTL,,,CCARC,2014-09-01,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,136.5,W7BYU,"Myton, Flat Top",UT,OPEN,,,116.45,W,,49,13041,40.22219849,-110.10399628,145.49,144.89,136.5,,Duchesne,DN40WF,On-Air,,Sinbad Desert ARC (SDARC),,UVHFS,2017-06-29,,E-power.,"Duchesne, UT area.",,http://sdarc.us/repeaters/flat-top.html,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.65,-5,151.4,KB0YNA,"Gunnison, W Mountain or Tenderfoot Mountain",CO,OPEN,,,122.71,SE,,08,15212,38.61249924,-106.54299927,447.65,442.65,151.4,151.4,Gunnison,,On-Air,KB0YNA,,"Full-time to 448.65000 (KB0YNA) at Montrose, Waterdog Peak, CO . Full-time to 449.65000 (KB0YNA) at Grand Junction, Grand Mesa, CO .",CCARC,2016-10-28,,"Linked to 448.650 in Montrose, Colorado and 449.650 in Grand Junction, Colorado.",Gunnison valley and along East and west on Highway 50.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.015,0.6,146.2,N7UW,"Laramie, Jelm Mountain",WY,OPEN,E,Y,125.25,NE,Node Offline,56,15436,41.09719849,-105.97699738,147.015,147.615,146.2,,Albany,,On-Air,"Albany County ARES/RACES, University Amateur Radio",,,,2017-02-24,,,Albany County,82070,http://www.uwyo.edu/uarc/,,,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.3,-5,100,KD7SU,Rawlins,WY,OPEN,,,126.18,NNE,,56,15548,41.79109955,-107.23899841,448.3,443.3,100,,Carbon,,,,,,WRCG,2017-01-04,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,162.2,N7RON,Rawlins,WY,OPEN,I,,126.18,NNE,,56,5791,41.79109955,-107.23899841,146.7,146.1,162.2,,Carbon,,On-Air,,,,WRCG,2017-01-04,,,,,,,,,,,,,7045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.8,-5,146.2,N7RON,Rawlins,WY,OPEN,,,126.18,NNE,,56,15551,41.79109955,-107.23899841,449.8,444.8,146.2,,Carbon,,,Wyocomm,,,WRCG,2017-01-04,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC,WY7EOC,Rawlins,WY,CLOSED,,D,126.18,NNE,,56,13858,41.79109955,-107.23899841,445.05,440.05,,,Carbon,DN61JS,On-Air,Laramie County EM,Wyoming DMR Project,,WRCG,2019-12-12,,,Wide area.,,,,,yes,11,315609,WyDMR c Record retrieved from radioid.net,,,,,,,,Wyoming DMR Project,"Open Talkgroup View Assignment TS TG Access Wyoming 1 3156 Full-Time WyLOCAL 2 100 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,,Wyoming DMR Project,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,100,KC7OZU,Rawlins,WY,OPEN,,,126.19,NNE,,56,43,41.79109955,-107.23799896,146.76,146.16,100,,Carbon,,On-Air,CCARS,,,,2017-10-06,,,Wide area.,,,,Sunday nite net 2030 local time.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,100,KD7BN,Rawlins,WY,OPEN,,,126.19,NNE,,56,55,41.79109955,-107.23799896,147.39,147.99,100,,Carbon,,On-Air,HERC,N7ZEF (EchoLink).,"Full-time to 146.80500 (W7BEQ) at Shoshoni, Copper Mtn, WY . Full-time to 146.94000 (W7VNJ) at Casper, Casper Mountain, WY .",,2017-01-04,,E-power.,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.655,-0.6,107.2,KE7UUJ,"Rock Springs, Aspen Mountain",WY,OPEN,E,Y,126.57,NNW,ON - IDLE,56,13123,41.58750153,-109.20300293,146.655,146.055,107.2,107.2,Sweetwater,,On-Air,Sweetwater Amateur Radio Club,,,,2019-02-15,,Fusion IN - FM Out,Wide area. 100 mi radius.,865361,http://wy7u.angelfire.com,Sweetwater Amateur Radio Club uses this repeater pair for ARES/RACES use. Fusion or FM in and FM output,,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,CC,KF7OBL,Rock Springs,WY,OPEN,,D,126.57,NNW,,56,12934,41.58750153,-109.20300293,147.3,147.9,,,Sweetwater,,On-Air,,,,WRCG,2019-12-20,,,,,,,,yes,1,315604,DMR-plus c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.875,-5,CC 123.0,KF7OBL,Rock Springs,WY,OPEN,,D,126.57,NNW,,56,13028,41.58750153,-109.20300293,448.875,443.875,123,,Sweetwater,DN51JO,On-Air,,,,,2019-12-12,,DMRPlus,,,,,,yes,1,315602,DMR-plus c Record retrieved from radioid.net,,,,,,,,,"Open Talkgroup View Assignment TS TG Access Worldwide 1 1 North America 1 3 English 1 13 Local/Cluster 2 2 Mountain Reg USA 2 3177 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,Yes; analog capable.,,,,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.28,0.6,107.2,AD7ZW,Altamont,UT,OPEN,EI,,127.1,W,ON - In Conference IRLP 9257,49,14977,40.35969925,-110.28399658,147.28,147.88,107.2,107.2,Duchesne,DN40UI,On-Air,AD7ZW,,,UVHFS,2016-11-20,,Autopatch,,458414,http://ad7zwrepeater.xyz,,,,,,,,3205,,B21 = 911 B22 = Local Public Safety Dispatch (Non Emergency) B3 = 3 Minute Autopatch Extension B0 = Autopatch Disconnect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.5,5,123,N7ABC,Rock Springs,WY,OPEN,,,127.1,NNW,,56,58,41.58639908,-109.22399902,444.5,449.5,123,,Sweetwater,,On-Air,Sweetwater ARC,,,,2015-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.74,-0.6,100,WB7CBS,Altamont,UT,OPEN,,,127.2,W,,49,253,40.3594017,-110.28600311,146.74,146.14,100,,Duchesne,,Off-Air,,,,UVHFS,2015-06-11,,Autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.6,-1.6,100,W0RM,Rollinsville,CO,OPEN,,,127.98,ESE,,08,201,39.91719818,-105.50099945,224.6,223,100,,Gilpin,,,W0RM,,,CCARC,2012-11-10,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,CC,N0WAR,"Estes Park, Prospect Mtn",CO,OPEN,,D,128.25,ESE,"DMR BrandMeister Repeater in Estes Park, Colorado Wide area coverage of Estes Park, Colorado &amp; Rocky Mountain National Park. Static TG of 3171 on T.S. 2 Located @ KC0KBP QTH",08,17813,40.36059952,-105.51999664,147.24,147.84,,,Larimer,DN70FI,On-Air,N0WAR,W0DMR,,,2019-11-27,,Brandmeister Network,Wide Area: Estes Park &amp; Rocky Mtn Nat Park,,http://www.w0dmr.org,,,yes,2,310853,Brandmeister c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.8,-5,123,N0FH,Estes Park,CO,OPEN,EI,,128.39,E,ON - IDLE,08,120,40.37720108,-105.52100372,449.8,444.8,123,,Larimer,,On-Air,Estes Valley ARC,,"Full-time to 146.68500 (N0FH) at Estes Park, CO .",CCARC,2017-08-05,,E-Power,,625757,,"Both Echolink and IRLP are open, IRLP connect is a four digit node number only and '73' to disconnect. Top of Hour time is announced from 0600 to 2200.",ARES D-10: Thu at 19:00.,,,,,,7268,,"The EchoLink node connects to both machines. The node is open (no passwords; touch tone only the the ' * ' character followed by a four, five, or six digit node number where you wish to connect). The disconnect is ' # '.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.8,-5,CC,AD0RM,"Ridgway, On top of Log Hill",CO,OPEN,,D,128.52,S,Static Talkgroups: 91 - Worldwide English - Slot 1,08,17998,38.18000031,-107.79000092,447.8,442.8,,,Ouray,DM68CE,On-Air,AD0RM,,,,2019-11-27,,,Montrose to Ouray,,,,,yes,1,311075,BrandMeister c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC,N0SZ,"Fairplay, Badger",CO,OPEN,,D,128.59,SE,,08,12698,39.0469017,-105.87000275,446.7625,441.7625,,,Park,,On-Air,K7PFJ,RMHAM,,,2019-11-27,,,,,,,,yes,7,310827,RMHR c Record retrieved from radioid.net,,,,,,,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Central Regional 2 720 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,88.5,K7QEQ,"Moab, Bald Mesa",UT,OPEN,,,128.64,SW,,49,13042,38.52859879,-109.3219986,146.76,146.16,88.5,,Grand,,On-Air,SDARC,,,UVHFS,2019-11-27,,,Moab and immediate surroundings.,,http://162.250.21.7/index.html,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.1,-5,107.2,K7QEQ,"Moab, Bald Mesa",UT,OPEN,,,128.73,SW,,49,52,38.52859879,-109.32499695,449.1,444.1,107.2,107.2,Grand,DM58IM,On-Air,Grand Mesa Repeater Association (GMRA),,,UVHFS,2017-11-04,,8,"Wide area: Moab and surrounding areas, including large portions of Arches and Canyonlands National Parks.",,GMRA Repeaters,,RACES Wed. 1930 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.05,-5,107.2,WG0N,"Idaho Springs, Squaw Mountain",CO,OPEN,,,128.81,ESE,,08,95,39.74250031,-105.51399994,449.05,444.05,107.2,107.2,Denver,DM79FR,On-Air,WG0N,,,CCARC,2012-11-20,,E-power.,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.745,-0.6,100,W0LSD,Nathrop,CO,OPEN,,,129.41,SE,,08,184,38.71289825,-106.19999695,146.745,146.145,100,,Chaffee,,On-Air,CLARA,,,CCARC,2019-07-21,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.03,0.6,100,KI0HG,"Allenspark, AFPD Station #5",CO,OPEN,,,129.55,ESE,,08,15670,40.17269897,-105.46800232,147.03,147.63,100,,Boulder,,On-Air,KI0HG,Boulder County Amateur Radio Emergency Service,,CCARC,2017-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.775,5,CC 123.0,AD0BN,"Green River, Green River High School",WY,OPEN,,D,129.67,NW,,56,11520,41.50109863,-109.46399689,444.775,449.775,123,123,Sweetwater,DN51GM,Testing,,,,WRCG,2019-12-12,,,"Note: This repeater will operate in digital mode only. It may, however, be switched to analogue mode under special circumstances and will use a tone of 123/123. Digital repeater should provide portable coverage in the Green River area when operational. Repeater is not currently on-air but has been coordinated and is awaiting installation. Please use Talkgroup 2 and Timeslot 2 for local communications. Repeater uses color 12.",,,,,yes,12,,c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9375,-5,CC,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,D,130.71,ESE,,08,7190,39.67979813,-105.49299622,446.9375,441.9375,,,Clear Creek,,On-Air,Rocky Mountain Ham Radio,,Full-time to the Colorado TRBO System .,CCARC,2019-11-27,,,,,Rocky Mountain Ham Radio,See the website for programming information.,,yes,7,310801,RMHR c Record retrieved from radioid.net,,,,,,,,RMHAM,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Full-Time Southern Colorado 2 719 Full-Time Central Regional 2 720 Full-Time Northern Colorado Regional 2 721 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",2,2,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.225,-5,141.3,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,,130.71,ESE,,08,8197,39.67969894,-105.49299622,448.225,443.225,141.3,141.3,Clear Creek,DM79GQ,On-Air,Rocky Mountain Ham Radio,,,CCARC,2016-05-24,,E-power(gen).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,103.5,W0WYX,"Idaho Springs, Squaw Mountain",CO,OPEN,,,130.71,ESE,,08,81,39.67979813,-105.49299622,146.94,146.34,103.5,103.5,Clear Creek,DM79GQ,On-Air,Rocky Mtn Radio League,,"Linkable to 449.82500 (W0WYX) at Broomfield, CO . Linkable to 449.45000 (K1DUN) at Idaho Springs, Squaw Mountain, CO .",CCARC,2017-03-11,,11,"Wide area: west to the Continental Divide, south to Colorado Springs, east to Limon, and north to Cheyenne.",,Repeater,,Colorado WX: Daily at 06:30. RMRL: Mod at 20:30. Astronomy: Tue at 19:00. Amateur Radio Events: Tue at 20:00.,,,,,,,,Autopatch: 911* / Off 0*.,,,,,,,,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
