Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,Op Status,Sponsor,Coordination,Last update,Coverage,Features,Nets,Web links,EchoLink,IRLP,Grid,Affiliate,Notes,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,Commands,Links,YSF Digital Enabled,DG-ID,Downlink Tone,Mixed-Mode,AllStar,P-25 Digital Enabled,NAC,Default Reflector,Local Network,WIRES-X,Feed,On-air,Talkgroup Network,Talkgroups,Rocky Mountain Wide,Southern Colorado,Central Regional,Northern Colorado Regional,Worldwide,North America,English,TAC 310,Local/Cluster,N. Colorado,Worldwide English,DCI Bridge,Colorado,Mountain Reg USA,Devilshead Local,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Bandwidth,Eastern Colorado,TAC 311,Colorado Chat,Wyoming,WyLOCAL,Location Photo
146.685,-0.6,123,N0FH,Estes Park,CO,OPEN,EI,,35.95,NNW,ON - IDLE,08,119,40.36009979,-105.4509964,146.685,146.085,123,Larimer,On-Air,Estes Valley ARC,CCARC,2017-08-05,Estes Valley and east RMNP - some coverage E and SE (Loveland and Denver),E-power.,ARES D-10: Thu at 19:00.,,625757,7268,DN70GI,,"Both Echolink and IRLP are open, IRLP connect is a four digit node number only and '73' to disconnect. Top of Hour time is announced from 0600 to 2200.",,,,,,,,,,,,,,"The EchoLink node connects to both machines. The node is open (no passwords; touch tone only the the ' * ' character followed by a four, five, or six digit node number where you wish to connect). The disconnect is ' # '.","Full-time to 449.80000 (N0FH) at Estes Park, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.025,-5,100,W0UPS,"Loveland, Budweiser Event Center",CO,OPEN,,Y,36.54,N,,08,3621,40.44400024,-104.98899841,448.025,443.025,100,Larimer,On-Air,Northern Colorado ARC,CCARC,2016-03-21,,,,,,,DN70MK,,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,100,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,103.5,WA4CCC,Winter Park,CO,OPEN,,,37.56,W,,08,3756,39.9473,-105.795,447.45,442.45,103.5,Grand,On-Air,W0IG,CCARC,2013-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,CC,N0WAR,"Estes Park, Prospect Mtn",CO,OPEN,,D,38.05,NW,"DMR BrandMeister Repeater in Estes Park, Colorado Wide area coverage of Estes Park, Colorado &amp; Rocky Mountain National Park. Static TG of 3171 on T.S. 2 Located @ KC0KBP QTH",08,17813,40.36059952,-105.51999664,147.24,147.84,,Larimer,On-Air,N0WAR,,2019-11-27,Wide Area: Estes Park &amp; Rocky Mtn Nat Park,Brandmeister Network,,http://www.w0dmr.org,,,DN70FI,W0DMR,,,,,,,,,,yes,2,310853,Brandmeister c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7375,-25.7,100,KI0HC,Parker,CO,OPEN,,,38.11,SE,,08,14732,39.53910065,-104.56900024,927.7375,902.025,100,Douglas,On-Air,,CCARC,2020-01-01,"Wide area coverage, I 25 from Cheyenne south to MM 20 just north of Trinidad. I 76 East to MM 100. I 70 from Idaho Springs to Genoa. Highway 24 from the Colorado Springs to Limon. Highway 24 west of Colorado Springs is spotty to Hartsel. US 50 from Canon City to Las Animas. Salida south to the San Luis Valley to Antonito. Salida North to just south of Leadville. Repeater Coverage Map",,,,,,DM79RM,,,,,,,,,,,,,,,,,Full-time to the The 900 P25 Network System .,,,100,Yes; analog capable.,,yes,293,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC,K0PRA,Parker,CO,OPEN,,D,38.44,SSE,"Colorado Mega Reflector - XLX376 Transcoder - YSF 23160 - WiresX 40895 Welcome to the new and improved Colorado Mega Link! Brought to you by the Parker Radio Association, where we have fun, play radio and keep the squelch loose. Please join us Monday nights at 8pm mountain time our our digital net.",08,17292,39.44910049,-104.70300293,445.075,440.075,,Douglas,On-Air,Parker Radio Association,CCARC,2019-11-27,,Brandmeister Network https://brandmeister.network/?page=repeater&amp;id=310844,Mondays 20:30 MST,http://www.parkerradio.org,,,,,Mixed Mode,,,,,,,,,yes,1,310844,None c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.8,-5,123,N0FH,Estes Park,CO,OPEN,EI,,39,NW,ON - IDLE,08,120,40.37720108,-105.52100372,449.8,444.8,123,Larimer,On-Air,Estes Valley ARC,CCARC,2017-08-05,,E-Power,ARES D-10: Thu at 19:00.,,625757,7268,,,"Both Echolink and IRLP are open, IRLP connect is a four digit node number only and '73' to disconnect. Top of Hour time is announced from 0600 to 2200.",,,,,,,,,,,,,,"The EchoLink node connects to both machines. The node is open (no passwords; touch tone only the the ' * ' character followed by a four, five, or six digit node number where you wish to connect). The disconnect is ' # '.","Full-time to 146.68500 (N0FH) at Estes Park, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,127.3,K0OJ,"Greeley, UNC",CO,OPEN,,,39.06,NNE,,08,159,40.40370178,-104.70300293,449.725,444.725,127.3,Weld,On-Air,K0OJ,CCARC,2019-10-04,,"Autopatch, WX.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,100,W0UPS,"Greeley, UNC",CO,OPEN,,,39.14,NNE,,08,156,40.40359879,-104.69999695,146.85,146.25,100,Weld,On-Air,Northern Colorado ARC,CCARC,2017-05-08,,"E-power, WX.",,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.725,-5,131.8,W7RF,Fort Collins,CO,OPEN,,,39.77,N,,08,8194,40.49599838,-105.07900238,447.725,442.725,131.8,Larimer,On-Air,W7RF,CCARC,2018-05-13,,,,,,,DN70LL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.1375,-5,CC,KB0VGD,Greeley,CO,OPEN,,D,40.06,NNE,,08,18521,40.42331314,-104.70912933,445.1375,440.1375,,Weld,On-Air,,,2020-02-17,,,,,,,,,,,,,,,,,,yes,2,,c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.325,-5,136.5,WR0AEN,Greeley,CO,OPEN,,S,40.07,NNE,,08,8210,40.4233017,-104.70899963,449.325,444.325,,Weld,On-Air,Colorado Amateur Repeater Network (CARN),CCARC,2012-11-12,,,,,,,,,,,,,,,yes,WR0AEN (B),jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.895,-0.6,100,AB0PC,"Bailey, Dick Mountain",CO,OPEN,A,,41.08,SSW,,08,7,39.4056,-105.473,146.895,146.295,100,Park,On-Air,AB0RR,CCARC,2017-07-05,285,25,Wed at 19:30.,Park County Radio Club (PCRC),,,,,,,,,,,,,,,,,,,,"Full-time internet linked to 448.57500 (WZ0N) at Hartsel, CO .",,,100,,45835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.55,-20,100,K1TJ,Fort Collins,CO,OPEN,,,41.22,N,,08,3620,40.51530075,-105.14700317,1283.55,1263.55,100,Larimer,On-Air,K1TJ Repeater System,CCARC,2013-01-01,Northern Colorado Front Range,,,http://www.k1tj.com/,,,DN70KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,123,KC0RBT,Fort Collins,CO,OPEN,E,,41.22,N,ON - IDLE,08,276,40.51530075,-105.14700317,447.45,442.45,123,Larimer,On-Air,,CCARC,2016-02-01,,,,,447450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC,N0AOL,Fort Collins,CO,OPEN,,D,41.22,N,,08,8505,40.51530075,-105.14700317,446.7375,441.7375,,Larimer,On-Air,N0AOL - NoCo C-Bridge Network,CCARC,2019-11-27,Wide area: North Front Range.,DMR-MARC World Wide Network,"DMR World Wide Net: Sat at 10:00. TS 1 Group Call 1 http://www.dmr-marc.net/ Tac 310 Net: Sun at 18:00, TS 1 Group Call 310 .",http://nocodmr.kt0l.net:8080/nocodmr/documentation.htm,,,DN70KM,,Repeater ID: 310803,,,,,,,,,yes,2,310803,NoCo c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,"Open Talkgroup View Assignment TS TG Access Worldwide 1 1 North America 1 3 English 1 13 TAC 310 1 310 Local/Cluster 2 2 N. Colorado 2 3171 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,1,1,1,1,2,2,,,,,,,,,,,,,,,,
446.85,-5,,K0PRA,Franktown,CO,OPEN,,S,42.5,SSE,,08,11473,39.39350128,-104.67500305,446.85,441.85,,Douglas,On-Air,Parker Radio Association,CCARC,2018-03-18,,D-Star B module,,http://parkerradio.org,,,DM79PJ,,,,,,,,yes,K0PRA (B) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.75,-5,CC,K7PFJ,"Fort Collins, Horsetooth Mountain",CO,OPEN,,D,43,N,,08,8715,40.53879929,-105.17900085,446.75,441.75,,Larimer,Off-Air,Rocky Mountain Ham Radio,CCARC,2019-12-09,,,,http://www.rmham.org,,,,,See website for complete info on color codes/time slot assignment.,,,,,,,,,yes,7,310814,RMHR c Record retrieved from radioid.net,,,Full-time to the Colorado TRBO System .,,,,,,,,,,,,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Northern Colorado Regional 2 721 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,,,2,,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,CC,KB0VGD,"Fort Collins, Horsetooth Mountain",CO,OPEN,,D,43,N,"KB0VGD Marcos 2M Horsetooth Horsetooth Mtn VHF, Wide area coverage. Please use ONLY TG 310831, TG 3171, TG 3108, and TG 2 (Local 2) on Time Slot 2 (TS2). ALL OTHER TG connections will be directed to Time Slot 1 (TS1).",08,14274,40.53879929,-105.17900085,145.265,144.665,,Larimer,On-Air,W0DMR - NoCo C-bridge Network,CCARC,2019-11-27,Northern Colorado Front Range Wide Area coverage.,,,http://www.w0dmr.org/,,,,Brandmeister Network,"Any additional Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf",,,,,,,,,yes,2,310831,DMR-Plus c Record retrieved from radioid.net,,"Repeater ID: 310831, TS 1: TG 91 - World Wide, TG 93 - North America, TG 3100 USA. TS 2: TG 2 - Local, TG 3171 - No. Colorado, TG 3108 Colorado Statewide.",,,,,,,,,,,,,,BrandMeister US,"Open Talkgroup View Assignment TS TG Access Worldwide English 1 91 Full-Time North America 1 93 Full-Time DCI Bridge 1 3100 Full-Time Local/Cluster 2 2 Colorado 2 3108 Full-Time N. Colorado 2 3171 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,1,,,2,2,1,1,2,,,,,,,,,,,,,
145.115,-0.6,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,E,,43.17,N,ON - IDLE,08,123,40.53969955,-105.19599915,145.115,144.515,100,Larimer,On-Air,Northern Colorado ARC,CCARC,2016-10-25,Wide area.,7,,,4236,,DN70JM,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.52,-1.6,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,,,43.17,N,,08,275,40.53969955,-105.19599915,224.52,222.92,100,Larimer,Off-Air,Northern Colorado ARC,CCARC,2018-03-21,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,,,43.17,N,,08,126,40.53969955,-105.19599915,447.275,442.275,100,Larimer,On-Air,Northern Colorado ARC,CCARC,2020-01-23,Wide area.,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,CC,W0DMR,"Fort Collins, Timnath",CO,OPEN,,D,43.78,N,,08,12562,40.54460144,-104.94400024,147.39,147.99,,Larimer,On-Air,KT0L - NoCo C-Bridge Network,CCARC,2019-11-27,"Fort Collins east side, into Red Feather Lakes area.",,Tac 310 Net: Sun at 18:00.,Documentation,,,,,,,,,,,,,,yes,2,310822,NoCO c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,"Open Talkgroup View Assignment TS TG Access TAC 310 1 310 DCI Bridge 1 3100 N. Colorado 1 3171 Mountain Reg USA 1 3177 Local/Cluster 2 2 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,,,1,2,1,,1,,1,,,,,,,,,,,,
147.36,0.6,100,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,,44.94,N,,08,125,40.57080078,-105.07700348,147.36,147.96,100,Larimer,On-Air,CO State Univ ARC,CCARC,2017-03-11,Map,Closed autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.925,-5,CC,N0ESQ,"Castle Rock, Devils Head",CO,OPEN,,D,45.33,S,,08,7193,39.26480103,-105.11399841,446.925,441.925,,Douglas,On-Air,,CCARC,2019-11-27,,,,Rocky Mountain Ham Radio,,,DM79KG,,See the website for programming info.,,,,,,,,,yes,8,310817,RMHR c Record retrieved from radioid.net,,,Full-time to the Colorado TRBO System .,,,,,,,,,,,,,,"Open Talkgroup View Assignment TS TG Access Southern Colorado 1 719 Devilshead Local 2 711 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,1,,,,,,,,,,,,,2,,,,,,,,,,,
447.525,-5,146.2,N0ESQ,"Castle Rock, Devils Head (Pike National Forest)",CO,OPEN,,,45.33,S,,08,8190,39.26480103,-105.11399841,447.525,442.525,146.2,Douglas,On-Air,EmComm Colorado,CCARC,2015-06-17,"Denver metro north to the Wyoming border. Back country including Bailey, Deckers, Woodland Park. Severe null due east due to Devils Head Peak.",,,,,,DM79KG,Colorado ARES,"This is not a ragchew machine. Traffic is limited to ARES, RACES and EmComm administrative, exercise, public service and disaster response.",,,,,,,,,,,,,,,,,,146.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,D,45.41,N,,08,18416,40.57759857,-105.09300232,446.7625,441.7625,,Larimer,On-Air,RMHAM,,2020-02-10,,,Red Cross Net on Wide - Third Thursday of the month at 1900 Tech Net on Wide - First Saturday of the month at 1900,https://www.rmham.org/wordpress/dmr-radio-site-information/,,,,CSUARC,,,,,,,,,,yes,8,,c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,D,45.41,N,,08,18417,40.57759857,-105.09300232,446.7625,441.7625,,Larimer,On-Air,RMHAM,,2020-02-10,,,Red Cross Net on Wide - Third Thursday of the month at 1900 Tech Net on Wide - First Saturday of the month at 1900,https://www.rmham.org/wordpress/dmr-radio-site-information/,,,,CSUARC,,,,,,,,,,yes,8,,c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8125,-5,,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,S,45.41,N,,08,8901,40.57770157,-105.09300232,446.8125,441.8125,,Larimer,On-Air,W0QEY CSU,CCARC,2017-05-31,Fort Collins Local Area,D-Star Gateway,,,,,DN70KN,,Free Star,,,,,,yes,W0QEY (B) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.425,-5,103.5,WC3W,Grand Lake,CO,OPEN,A,,45.82,WNW,,08,18131,40.2392,-105.847,449.425,444.425,103.5,Clear Creek,On-Air,,,2019-09-21,"Grand Lake, CO",,Sunday and Tuesday nights at 7 PM MT,,,,,,Linked to the Allstar Florida Hub,,,,,,,,,,,,,,,,,,103.5,,45202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,100,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,,45.94,N,,08,124,40.58530045,-105.08399963,449.85,444.85,100,Larimer,On-Air,CO State Univ ARC,CCARC,2012-11-16,Map,Closed autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.95,-25,100,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,,45.94,N,,08,3592,40.58530045,-105.08399963,927.95,902.95,100,Larimer,On-Air,,CCARC,2019-09-01,Northern Front Range,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC,K7PFJ,"Granby, Mt Chauncey",CO,OPEN,,D,46.52,WNW,,08,15899,40.0861,-105.939,446.875,441.875,,Clear Creek,On-Air,,,2017-03-11,,,,http://www.rmham.org,,,,RMHAM,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,123,KA0YDW,Granby,CO,OPEN,,,46.52,WNW,,08,145,40.0861,-105.939,146.82,146.22,123,Grand,,GCARA,CCARC,2014-09-06,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,82.5,N6RFI,"Severance, Cactus Hill",CO,OPEN,,,46.63,NNE,,08,8188,40.58100128,-104.90599823,447.2,442.2,82.5,Weld,On-Air,N6RFI,CCARC,2017-03-11,,,,,,,DN70NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,CC,W0DMR,"Fort Collins, Timnath",CO,OPEN,,D,47.29,N,"Rick KT0L Repeater Ft Collins, CO (Limited coverage)",08,10995,40.59379959,-104.9260025,446.775,441.775,,Larimer,On-Air,W0DMR - NoCo C-bridge Network,CCARC,2019-11-27,"Fort Collins east side, into Red Feather Lakes area.",,,W0DMR,,,DN70MO,Brandmeister Network,"Any additional Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf",,,,,,,,,yes,2,310806,NoCO c Record retrieved from radioid.net,,"Repeater ID: 310806, TS 1: TG 91 - World Wide, TG 93 - North America, TG 3100 USA. TS 2: TG 2 - Local, TG 3171 - No. Colorado, TG 3108 Colorado Statewide.",,,,,,,,,,,,,,BrandMeister US,"Open Talkgroup View Assignment TS TG Access Worldwide English 1 91 Full-Time North America 1 93 Full-Time DCI Bridge 1 3100 Full-Time Local/Cluster 2 2 Colorado 2 3108 Full-Time N. Colorado 2 3171 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,1,,,2,2,1,1,2,,,,,,,,,,,,,
447.7,-5,100,W0UPS,"Fort Collins, Buckhorn Mountain",CO,OPEN,,,49.33,NNW,,08,5853,40.61109924,-105.3239975,447.7,442.7,100,Larimer,On-Air,Northern Colorado Amateur Radio Club,,2014-09-02,Wide Area Coverage,,,http://ncarc.net/,,,,,,,,,,,,,,,,,,,,"Linkable to 146.85000 (W0UPS) at Greeley, UNC, CO . Linkable to 146.62500 (W0UPS) at Fort Collins, Buckhorn Mountain, CO . Full-time to 224.84000 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .",,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.875,-25.9,,KI0HC,"Fort Collins, Buckhorn Mountain",CO,OPEN,,,49.76,NNW,,08,18424,40.61669922,-105.32800293,927.875,902.025,,Larimer,On-Air,RM Ham,CCARC,2020-01-01,"Wide area coverage, I 25 from Cheyenne south to MM 20 just north of Trinidad. I 76 East to MM 100. I 70 from Idaho Springs to Genoa. Highway 24 from the Colorado Springs to Limon. Highway 24 west of Colorado Springs is spotty to Hartsel. US 50 from Canon City to Las Animas. Salida south to the San Luis Valley to Antonito. Salida North to just south of Leadville. Repeater Coverage Map",,,,,,,,,,,,,,,,,,,,,,,Full-time to the The 900 P25 Network System .,,,,,,yes,293,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.2,-5,CC,N0SZ,"Fort Collins, Buckhorn Mountain",CO,OPEN,,D,49.76,NNW,,08,18418,40.61700058,-105.32700348,445.2,440.2,,Larimer,On-Air,RMHAM,,2019-12-28,,,Red Cross Net on Wide - Third Thursday of the month at 1900 Tech Net on Wide - First Saturday of the month at 1900,https://www.rmham.org/wordpress/dmr-radio-site-information/,,,,,,,,,,,,,,yes,7,,c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.625,-0.6,100,W0UPS,"Fort Collins, Buckhorn Mountain",CO,OPEN,,,49.76,NNW,,08,246,40.61700058,-105.32700348,146.625,146.025,100,Larimer,On-Air,Northern Colorado ARC,CCARC,2017-03-11,Wide area: Northern front range.,E-power.,,,,,DN70IO,,,,,,,,,,,,,,,,,"Linkable to 146.85000 (W0UPS) at Greeley, UNC, CO . Linkable to 224.84000 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .",,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.84,-1.6,100,W0UPS,"Fort Collins, Buckhorn Mountain",CO,OPEN,,,49.76,NNW,,08,3660,40.61700058,-105.32700348,224.84,223.24,100,Larimer,Off-Air,Northern Colorado ARC,,2019-08-23,"Wide Area: Northern CO Front Range and into Cheyenne - Laramie, WY","E-power, 25 watts.",,,,,,,,,,,,,,,,,,,,,,"Full-time to 447.70000 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .",,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.225,0.6,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,EI,,51.56,S,ON - IDLE,08,83,39.17549896,-105.03399658,147.225,147.825,107.2,Douglas,On-Air,Colorado Repeater Association (CRA),CCARC,2017-11-13,Wide area,Closed autopatch,"CRA Net, Sunday 9AM",Colorado Repeater Association,347086,3990,DM79LE,CRA VHF Link System,,,,,,,,,,,,,,,,"Full-time to 145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO . Full-time to 145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .",,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.425,-5,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,,,51.56,S,,08,16547,39.17549896,-105.03399658,448.425,443.425,107.2,Douglas,On-Air,Colorado Repeater Association (CRA),CCARC,2020-02-11,Wide area 55 mi radius.,E-Power,,http://www.w0cra.org,,,,ARESDEC,,,,,,,,,,,,,,,,"Full-time to 147.10500 (WA0DE) at Simla, CO .",,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Larkspur, Westcreek",CO,OPEN,,,51.6,S,,08,15903,39.17490005,-105.03399658,449.975,444.975,100,Douglas,On-Air,K0JSC,CCARC,2017-04-21,,Simulcast and Voted with Cedarwood and Methodist.,,The Fun Machine,,,,The Fun Machine,"Can be linked to Allstar, Echolink and others by a Sysop",,,,,,,,,,,,,,,Full-time to the The Fun Machine System .,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC,N0SZ,Westcreek,CO,OPEN,,D,53.23,S,,08,15900,39.15250015,-105.16400146,446.875,441.875,,Douglas,On-Air,W0VG,CCARC,2019-11-27,,,,http://www.rmham.org,,,,RMHAM,,,,,,,,,,yes,6,310846,RMHAM c Record retrieved from radioid.net,,,Full-time to the Colorado TRBO System .,,,,,,,,,,,,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Full-Time Central Regional 2 720 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,,2,,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,110.9,WB7UPS,Wellington,CO,OPEN,,,54.29,N,,08,8251,40.70389938,-105.00900269,448.325,443.325,110.9,Larimer,On-Air,,CCARC,2012-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,131.8,N0XLF,"Palmer Lake, Monument Hill",CO,OPEN,E,,54.87,S,ON - IDLE,08,8740,39.13600159,-104.92700195,145.19,144.59,131.8,Douglas,On-Air,N0OBA Owner,,2018-10-25,Wide area coverage at 8300,,Tri Lakes Net: Mon at 19:30 (except third Monday of the month which is the regular radio club meeting).,,10079,,DM79MD,,,,,,,,,,,,,,,,,,,,131.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0875,-5,CC,N0SZ,"Breckenridge, Baldy",CO,OPEN,,D,57.15,WSW,,08,16780,39.459,-105.979,445.0875,440.0875,,Fremont,On-Air,K2AD,,2018-02-01,,,,http://www.rmham.org/,,,,Rocky Mountain Ham Radio,,,,,,,,,,yes,7,310830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,88.5,KB0VJJ,"Breckenridge, Bald Mountain",CO,OPEN,,,57.31,SW,,08,24,39.4439,-105.969,147.39,147.99,88.5,Summit,On-Air,Colorado Connection,CCARC,2015-01-30,Wide area.,12,Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,Breckenridge Repeater,,,,,"Please Note that 146.790 is the old Breckenridge frequency and this repeater may return to that frequency eventually but is now working on 147.390-. This machine has a split tone, 88.5 rx and 123.0 tx",,,,,,,,,,,,,,,Full-time to the Colorado Connection System .,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
