Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,Op Status,Web links,Coordination,Last update,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,Grid,Coverage,Sponsor,Features,Links,Downlink Tone,IRLP,Notes,Nets,Affiliate,AllStar,On-air,Talkgroups,Rocky Mountain Wide,Southern Colorado,EchoLink,Commands,Talkgroup Network,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,D-STAR Enabled,Node,Sources,P-25 Digital Enabled,NAC,Default Reflector,Central Regional,Northern Colorado Regional,Location Photo,Feed,Bandwidth,Mixed-Mode,Eastern Colorado,YSF Digital Enabled,DG-ID,TAC 311,Colorado,Colorado Chat,Devilshead Local,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,WIRES-X,Local Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2
449.775,-5,173.8,KD0SMZ,Grand Junction,CO,OPEN,EI,,86.24,NNW,ON - IDLE,08,11793,39.06389999,-108.5510025,449.775,444.775,173.8,Mesa,On-Air,,CCARC,2015-10-25,,,,,,,,,,,88.5,7573,,,,,,,,,7572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,,86.24,NNW,,08,8167,39.06389999,-108.5510025,145.22,144.62,107.2,Mesa,,,CCARC,2012-11-12,,,,,,,,KE0TY,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.1,-5,77,N0KM,Center,CO,OPEN,,,86.92,SE,,08,16645,37.75,-106.11499786,447.1,442.1,77,Saguache,On-Air,,,2017-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,77,N0KM,Center,CO,OPEN,A,,87.19,SE,,08,14200,37.75310135,-106.10900116,146.64,146.04,77,Rio Grande,On-Air,,,2016-12-25,,,,,,,Low level local coverage,,,,77,,,,,28781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291.1,-20,,KF5VBE,Aztec,NM,CLOSED,,S,87.46,SSW,,35,16280,36.78229904,-107.98799896,1291.1,1271.1,,San Juan,On-Air,,NMFCC,2019-05-12,,,,,,DM66AS,,San Juan County,DV only,,,,,,,,,,,,,,,,,,,,,,yes,KF5VBE (A) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,,KF5VBE,Farmington,NM,OPEN,,S,87.53,SSW,,35,11428,36.78170013,-107.98999786,145.115,144.515,,San Juan,On-Air,,,2018-01-29,,,,,,DM66AS,,,,,,,,,,,,,,,,,,,,,,,,,yes,KF5VBE (C) Gateway Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.2,-5,107.2,,Glade Park,CO,OPEN,,,87.84,NW,,08,18392,38.97999954,-108.73999786,449.2,444.2,107.2,Mesa,On-Air,http://www.gmra.org/repeaters.html,,2019-12-22,,,,,,,,GMRA,Solar Powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,107.2,W0RRZ,"Grand Junction, GJT",CO,OPEN,I,,88.5,NNW,,08,147,39.11729813,-108.52200317,145.175,144.575,107.2,Mesa,On-Air,,CCARC,2016-05-11,,,,,,DM59RC,Greater grand Junction area.,,"E-power,",,,3161,,,,,,,,,,Standard IRLP node commands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,94.8,K0SLV,Monte Vista,CO,OPEN,,,89.41,SE,,08,18580,37.58418274,-106.13030243,449.625,444.625,94.8,Rio Grande,On-Air,http://K0SLV.COM,,2020-03-11,,,,,,,,S.A.R.A.,Emergency Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,107.2,K0CL,Snowmass Village,CO,OPEN,,,91.29,NNE,,08,211,39.21310043,-106.93699646,146.67,146.07,107.2,Pitkin,On-Air,,CCARC,2012-11-10,,,,,,,Wide area.,Ski Country ARC,Linked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.05,-5,136.5,K0VQ,"Aspen, Aspen Mountain",CO,OPEN,,,91.75,NNE,,08,260,39.17610168,-106.82900238,447.05,442.05,136.5,Pitkin,On-Air,,CCARC,2012-11-10,,,,,,,Aspen-Snowmass areas.,Roaring Fork Amateur Repeater Cooperative,,,136.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.92,-0.6,100,K5WXI,Bloomfield,NM,OPEN,,,92.25,S,,35,50,36.71110153,-107.98400116,146.92,146.32,100,San Juan,On-Air,,NMFCC,2017-08-25,,,,,,,,San Juan County OEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,127.3,KB5ITS,Bloomfield,NM,OPEN,,,92.26,S,,35,16636,36.71110153,-107.98500061,448.65,443.65,127.3,San Juan,On-Air,,NMFCC,2018-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,107.2,W0RRZ,"Grand Junction, Black Ridge (Above Colorado Ntl Monument)",CO,OPEN,,,92.62,NW,,08,151,39.06560135,-108.7480011,146.94,146.34,107.2,Mesa,On-Air,http://w0rrz.org,CCARC,2016-05-11,,,,,,DM59PB,Grand Junction 30-50 mi,Western Colorado Amateur Radio Club,E-power and autopatch for WCARC members,,107.2,,,Oatmeal Net: Mon-Fri at 7:30AM-8:00AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,131.8,WA4HND,"Grand Junction, Black Ridge",CO,OPEN,I,,92.62,NW,,08,155,39.06560135,-108.7480011,449.575,444.575,131.8,Mesa,On-Air,GMRA Repeaters,CCARC,2018-01-15,,,,,,DM59PB,Grand Junction,,e-power. Linked to GMRA Open System,,131.8,3710,Closed IRLP out,Wed RACES Net 1930 Hrs,Grand Mesa Repeater Assoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.745,-0.6,100,W0LSD,Nathrop,CO,OPEN,,,92.87,E,,08,184,38.71289825,-106.19999695,146.745,146.145,100,Chaffee,On-Air,,CCARC,2019-07-21,,,,,,,,CLARA,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,100,K5WXI,Farmington,NM,OPEN,,,94.37,SSW,,35,85,36.72809982,-108.21800232,146.85,146.25,100,San Juan,On-Air,,NMFCC,,,,,,,,,Totah ARC,Closed autopatch.,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,100,K5WY,Farmington,NM,OPEN,,,94.37,SSW,,35,87,36.72809982,-108.21800232,449,444,100,San Juan,,,NMFCC,,,,,,,,,K5WY,E-power.,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.01,-1,131.8,KB5ITS,Farmington,NM,OPEN,,,94.37,SSW,,35,81,36.72809982,-108.21800232,53.01,52.01,131.8,San Juan,On-Air,,NMFCC,2017-07-02,,,,,,,,KB5ITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,100,KB5ITS,Farmington,NM,OPEN,,,94.37,SSW,,35,84,36.72809982,-108.21800232,146.76,146.16,100,San Juan,On-Air,http://www.sjcham.com,NMFCC,2018-01-15,,,,,,,,,"Closed autopatch, e-power.",Full-time to the San Juan Connection System .,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,100,KB5ITS,"Farmington, College Hill",NM,OPEN,,,94.37,SSW,,35,86,36.72809982,-108.21800232,147,147.6,100,San Juan,On-Air,http://www.sjcham.com,NMFCC,2020-01-13,,,,,,DM56VR,,San Juan Connection,"Autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.15,5,,KF5VBF,Farmington,NM,OPEN,,S,94.39,SSW,,35,15650,36.72809982,-108.21900177,444.15,449.15,,San Juan,On-Air,,,2018-02-02,,,,,,,,San Juan County,DV only,,,,,,,,,,,,,,,,,,,,,,yes,KF5VBF (B) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.325,5,CC,N5UBJ,Farmington,NM,OPEN,,D,94.39,SSW,2,35,12412,36.72809982,-108.21900177,442.325,447.325,,San Juan,On-Air,http://www.aztrbonet.com/MinimalNetwatch,NMFCC,2019-12-08,yes,1,313501,AZ-TRBONET c Record retrieved from radioid.net,,,,,AZ-TRBONET,,,,,,,,,"Open Talkgroup View Assignment TS TG Access Worldwide 1 1 PTT North America 1 3 PTT English 1 13 Full-Time 2 Full-Time Europe 2 2 Full-Time TAC 310 2 310 PTT DCI Bridge 2 3100 PTT Southwest USA 2 3176 PTT function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,AZ-TrboNet,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,,94.5,E,,08,205,38.45280075,-106.01799774,449.65,444.65,107.2,Chaffee,On-Air,CMRG Repeaters,CCARC,2018-01-15,,,,,,DM68XK,Wide area.,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,103.5,WZ0N,"Salida, Methodist Mountain",CO,OPEN,,,94.5,E,,08,3811,38.45280075,-106.01799774,449.925,444.925,103.5,Chaffee,On-Air,,CCARC,2013-07-05,,,,,,,"Upper Arkansas and Platte Rivers, and the SLV",,E-power (Bat),,103.5,,Identifies with an 'M' following WZ0N callsign which identifies the site as Methodist.,,Colorado ARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Salida, Methodist Mountain",CO,OPEN,EIA,,94.73,E,ON - IDLE,08,13510,38.44630051,-106.01100159,449.975,444.975,100,Chaffee,On-Air,K0JSC.COM,CCARC,2017-03-11,,,,,,DM68xk,I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass,,2,Full-time to the The Fun Machine System .,100,7301,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,APRS Net: Sun at 19:00. Region 5 District 2 ARES Net: Sun at 19:30. Statewide ARES Net: Sun at 20:00. Region 5 District 1 ARES Net: Mon at 19:00. RGARC Net: Wed at 19:00.,,28368,,,,,363976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8625,-25.8,,WA6IFI,"Salida, Methodist Mountain",CO,OPEN,,,94.79,E,,08,18425,38.44670105,-106.01000214,927.8625,902.025,,Chaffee,On-Air,,CCARC,2020-01-01,,,,,,,"Wide area coverage, I 25 from Cheyenne south to MM 20 just north of Trinidad. I 76 East to MM 100. I 70 from Idaho Springs to Genoa. Highway 24 from the Colorado Springs to Limon. Highway 24 west of Colorado Springs is spotty to Hartsel. US 50 from Canon City to Las Animas. Salida south to the San Luis Valley to Antonito. Salida North to just south of Leadville. Repeater Coverage Map",CMRG,,Full-time to the The 900 P25 Network System .,,,,,,,,,,,,,,,,,,,,,,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Salida, Methodist Mountain",CO,OPEN,,,95.01,E,,08,204,38.45959854,-106.01100159,147.285,147.885,88.5,Chaffee,On-Air,,CCARC,2016-05-23,,,,,,,"Wide area: South Park, Gunnison, Pueblo, and the San Luis Valley south to New Mexico. At extremes, it has been worked from east of Montrose and Blue Mesa Resevoir, on Fremont Pass near Climax, in and around Bailey on U.S. 285, and south toward Trinidad on Interstate 25.",Colorado Connection,11,Full-time to the Colorado Connection System .,123,,,Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (All Welcome): Thu at 20:00. Statewide ARES Net: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.295,-0.6,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,,95.01,E,,08,203,38.45959854,-106.01100159,145.295,144.695,107.2,Chaffee,On-Air,CMRG Repeaters,CCARC,2019-08-15,,,,,,DM78ik,Wide area.,Cheyenne Mtn Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1292.3,-20,,KF5VBD,"Bloomfield, Harris Mesa",NM,CLOSED,,S,95.09,S,,35,11429,36.65000153,-107.79100037,1292.3,1272.3,,San Juan,On-Air,,NMFCC,2018-02-02,,,,,,DM66CP,,San Juan County,,,,,,,,,,,,,,,,,,,,,,,yes,KF5VBD (A) Gateway Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291.7,-20,,KF5VBF,"Farmington, Farmington Bluffs",NM,CLOSED,,S,95.81,SSW,,35,16279,36.70830154,-108.22599792,1291.7,1271.7,,San Juan,On-Air,,NMFCC,2018-02-02,,,,,,DM56VQ,,San Juan County,DV only,,,,,,,,,,,,,,,,,,,,,,yes,KF5VBF (A) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,88.5,K7QEQ,"Moab, Bald Mesa",UT,OPEN,,,96.13,WNW,,49,13042,38.52859879,-109.3219986,146.76,146.16,88.5,Grand,On-Air,http://162.250.21.7/index.html,UVHFS,2019-11-27,,,,,,,Moab and immediate surroundings.,SDARC,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.1,-5,107.2,K7QEQ,"Moab, Bald Mesa",UT,OPEN,,,96.28,WNW,,49,52,38.52859879,-109.32499695,449.1,444.1,107.2,Grand,On-Air,GMRA Repeaters,UVHFS,2017-11-04,,,,,,DM58IM,"Wide area: Moab and surrounding areas, including large portions of Arches and Canyonlands National Parks.",Grand Mesa Repeater Association (GMRA),8,,107.2,,,RACES Wed. 1930 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,179.9,K0ELK,"Carbondale, Four Mile Ridge",CO,OPEN,IA,,97.08,NNE,,08,35,39.40000153,-107.31500244,449.725,444.725,179.9,Garfield,On-Air,,CCARC,2012-11-10,,,,,,,Wide area.,Roaring Fork Amateur Repeater Cooperative (RFARC),EchoLink.,,,3722,,,,28434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,K0SNO,"Carbondale, Four Mile Ridge",CO,OPEN,,,97.08,NNE,,08,259,39.40000153,-107.31500244,147.39,147.99,107.2,Garfield,On-Air,,,2016-07-14,,,,,,,"Rifle, Carbondale, El Jebel, Glenwood Springs, Basalt and Aspen.",Roaring Fork Amateur Repeater Cooperative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,,KD0QPG,"Salida, Methodist Mountain",CO,OPEN,,S,97.34,E,,08,9844,38.53469849,-105.99900055,446.975,441.975,,Chaffee,On-Air,KD0QPG,CCARC,2013-07-06,,,,,,,,Crestone Amateur Radio Emergency Services,,,,,,,Crestone Amateur Radio Emergency Services,,,,,,,,,,,,,,,,yes,KD0QPG (B) Gateway Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8125,-5,CC,N0SZ,"Salida, Methodist Mountain",CO,OPEN,,D,97.34,E,,08,12697,38.53469849,-105.99900055,446.8125,441.8125,,Chaffee,On-Air,,,2019-11-27,yes,7,310825,RMHR c Record retrieved from radioid.net,,,,RMHAM,,,,,,,,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Southern Colorado 2 719 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.08,0.6,162.2,W5SF,"Chama, Overlook Mtn",NM,OPEN,,,97.43,SE,,35,15079,36.90999985,-106.58000183,147.08,147.68,162.2,Rio Arriba,On-Air,,NMFCC,2017-04-05,,,,,,,,SFARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.1,0.6,100,KB5ITS,"Bloomfield, Harris mesa",NM,OPEN,,,97.92,S,,35,49,36.61000061,-107.80999756,147.1,147.7,100,San Juan,On-Air,http://www.sjcham.com,NMFCC,2018-01-15,,,,,,DM66CO,,San Juan connection,,Full-time to the San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.28,0.6,67,NM5ML,"Bloomfield, Harris Mesa",NM,OPEN,,,98.13,S,,35,51,36.6067009,-107.80500031,147.28,147.88,67,San Juan,On-Air,,NMFCC,2018-01-07,,,,,,DM66CO,Wide area.,,6,Full-time to the Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,88.5,KB0VJJ,"Glenwood Springs, Sunlight Peak",CO,OPEN,,,98.25,N,,08,129,39.42639923,-107.37999725,146.85,146.25,88.5,Garfield,On-Air,,CCARC,2016-05-23,,,,,,DM69HK,"Wide area: Throughout the Roaring Fork Valley, Glenwood Canyon, East and West on I-70, and the Flattops Wilderness north of Glenwood.",Colorado Connection,70,,123,,Part of the Colorado Connection System of Repeaters,Daily 7:30PM Local Time Central Colorado Traffic Net Thursdays 8:00PM Colorado Connection Net All Welcome Sundays 8:00PM Statewide ARES net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,,,98.25,N,,08,130,39.42639923,-107.37999725,146.88,146.28,107.2,Garfield,On-Air,,CCARC,2012-11-10,,,,,,,,Ski Country ARC,,"Full-time to 447.60000 (KI0G) at Glenwood Springs, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.1,-5,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,,,98.25,N,,08,132,39.42639923,-107.37999725,447.1,442.1,107.2,Garfield,On-Air,,CCARC,2012-11-10,,,,,,,,Ski Country ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,107.2,N0XLI,"Glenwood Springs, Sunlight Peak",CO,OPEN,,,98.25,N,,08,255,39.42639923,-107.37999725,449.6,444.6,107.2,Garfield,On-Air,http://www.gmra.org,CCARC,2018-01-15,,,,,,,Wide area.,,e-power Linked to GMRA open system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.94,-1.6,,K7QEQ,"Monticello, Abajo Pk",UT,CLOSED,,,98.43,W,,49,49,37.83919907,-109.46199799,223.94,222.34,,San Juan,,,UVHFS,,,,,,,DM57GU,"Wide area: Southeastern Utah, Southwest Colorado, Northwest New Mexico and extreme Northeastern Arizona, including Monticello, Blanding, and much of Canyonlands National Park.",Grand Mesa Rptr Assoc,11,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.1,-5,107.2,K7QEQ,"Monticello, Abajo Peak",UT,OPEN,,,98.43,W,,49,124,37.83919907,-109.46199799,447.1,442.1,107.2,San Juan,On-Air,http://gmra.org,UVHFS,2017-04-07,,,,,,DM57GU,Wide area.,Grand Mesa Repeater Association (GMRA),E-power.,Full-time to the GMRA Open System .,107.2,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.4,-5,,K7QEQ,"Monticello, Abajo Peak",UT,CLOSED,,,98.43,W,,49,50,37.83919907,-109.46199799,447.4,442.4,,San Juan,,,UVHFS,,,,,,,DM57GU,"Wide area: Southeastern Utah, Southwest Colorado, Northwest New Mexico and extreme Northeastern Arizona, including Monticello, Blanding, and much of Canyonlands National Park.",,11,,,,,,Cactus-Intertie,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,88.5,K7SDC,"Monticello, Abajo Peak",UT,OPEN,EI,,98.43,W,ON - IDLE,49,60,37.83919907,-109.46199799,146.61,146.01,88.5,San Juan,On-Air,http://www.sdarc.us/repeaters/abajo.html,UVHFS,2017-04-07,,,,,,DM57GU,"Wide area: Southeastern Utah, Southwest Colorado, Northwest New Mexico and extreme Northeastern Arizona, including Monticello, Blanding, and much of Canyonlands National Park.",Sinbad Desert ARC,Remote base.,,,3270,11.36,,,,,,,,64264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,KB5ITS,"Monticello, Abajo Peak",UT,OPEN,,,98.48,W,,49,18460,37.83940125,-109.46299744,447.275,442.275,100,Wayne,On-Air,http://www.sjcham.com,,2020-01-13,,,,,,,,San Juan Connection,,Full-time to the SAN JUAN CONNECTION System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,107.2,N0SWE,Rifle,CO,OPEN,E,,100.46,N,Node Offline,08,200,39.47449875,-107.77200317,146.76,146.16,107.2,Garfield,Off-Air,,CCARC,2015-06-03,,,,,,DM69cl,"New Castle, Silt, Rifle and Rulison and areas around Parachute.","N0SWE, Roaring Fork Amateur Repeater Cooperative",E-power.,,,,,,,,,,,,243117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.8,-5,107.2,WA4HND,"Parachute, Mount Callahan",CO,OPEN,,,100.86,NNW,,08,253,39.45190048,-108.05200195,449.8,444.8,107.2,Garfield,On-Air,GMRA Repeaters,CCARC,2018-01-15,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,136.5,K0VQ,"Carbondale, Missouri Heights",CO,OPEN,E,,101.69,NNE,Node Offline,08,6009,39.42470169,-107.09700012,447.15,442.15,136.5,Garfield,On-Air,,,2011-08-01,,,,,,DM69KK,,,,,,,"Please contact Tracy, K0VQ, by email or on-the-air prior to attempting to use this node to obtain codes for specific questions and to make sure that proper protocol is followed. Please DO NOT just key up and start issuing DTMF codes, connecting to reflectors, etc., without guidance.",,,,,,,,8150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.02,-1.6,,KI0G,Glenwood Springs,CO,CLOSED,,,107.19,N,,08,8181,39.55049896,-107.32499695,224.02,222.42,,Garfield,,,CCARC,2012-11-12,,,,,,,,SCARC,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.6,-5,,KI0G,Glenwood Springs,CO,CLOSED,,,107.19,N,,08,8192,39.55049896,-107.32499695,447.6,442.6,,Garfield,,,CCARC,2012-11-12,,,,,,,40,Ski Country ARC (SCARC),50,"Full-time to 146.88000 (KI0G) at Glenwood Springs, Sunlight Peak, CO .",,,Link Hub for 146.880.,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,131.8,WA4HND,"Glenwood Springs, Lookout Mountain",CO,OPEN,,,107.19,N,,08,13637,39.55049896,-107.32499695,449.85,444.85,131.8,Garfield,On-Air,http://GMRA.org,CCARC,2018-01-15,,,,,,,Glenwood Springs,,e-power Linked to GMRA Open System,Full-time to the GMRA Open System .,131.8,,RACES net Wed 1930 Hrs Local,Colorado State RACES Wed 1930 local,Grand Mesa Repeater Assoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,107.2,K0VQ,"Glenwood Springs, Three Mile Ridge",CO,OPEN,E,,107.21,N,Node Offline,08,131,39.55059814,-107.3239975,147.3,147.9,107.2,Garfield,Off-Air,,CCARC,2012-11-10,,,,,,,"Wide area: Glenwood Springs, Glenwood Canyon, South Canyon, Carbondale and surrounding areas.",Roaring Fork Amateur Repeater Cooperative,8,,,,Single beep courtesy tone when linked and none when unlinked.,,,,,,,,266359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.9,-0.6,88.5,K7QEQ,Moab,UT,OPEN,,,108.72,WNW,,49,48,38.57389832,-109.5490036,146.9,146.3,88.5,Grand,On-Air,http://sdarc.us/repeaters/moab.html,UVHFS,2015-03-29,,,,,,,Moab and immediate surroundings.,Sinbad Desert ARC,"Closed autopatch, remote base, linked to Bald Mesa (146.760).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.575,-5,103.5,WZ0N,Hartsel,CO,OPEN,,,111.26,E,,08,9840,38.88330078,-105.93299866,448.575,443.575,103.5,Park,Off-Air,,CCARC,2017-11-22,,,,,,DM78AV,Western Park County,,,"Full-time internet linked to 146.89500 (AB0PC) at Bailey, Dick Mountain, CO .",103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,156.7,N0ZSN,"Leadville, Quail Mountain",CO,OPEN,,,112.83,NE,,08,10827,39.25080109,-106.29299927,147.24,147.84,156.7,Lake,On-Air,,CCARC,2019-07-23,,,,,,,,,,,156.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC,N0SZ,"Leadville, Mosquito Pass",CO,OPEN,,D,117.59,NE,,08,16783,39.26530075,-106.18199921,445.05,440.05,,Lake,On-Air,http://www.rmham.org/,CCARC,2019-11-27,yes,7,310852,RMHR c Record retrieved from radioid.net,,DM69VG,,K2AD,,,,,,,Rocky Mountain Ham Radio,,,"Open Talkgroup View Assignment TS TG Access Southern Colorado 2 719 Full-Time Central Regional 2 720 Full-Time Northern Colorado Regional 2 721 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,2,,,RMHAM,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,
145.445,-0.6,88.5,KB0VJJ,"Leadville, Mosquito Pass",CO,OPEN,,,118.25,NE,,08,172,39.28139877,-106.18599701,145.445,144.845,88.5,Lake,On-Air,,CCARC,2019-08-16,,,,,,,,Colorado Connection,E-power (solar).,Full-time to the Colorado Connection System .,,,"At 13,685;, it is one of the highest 2-meter repeaters in North America.",Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
