Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,On-air,Sponsor,Features,Coordination,Last update,Op Status,Coverage,EchoLink,IRLP,Notes,Nets,Downlink Tone,Links,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,Affiliate,Web links,Talkgroups,Rocky Mountain Wide,Northern Colorado Regional,Grid,Central Regional,AllStar,Commands,YSF Digital Enabled,DG-ID,WIRES-X,D-STAR Enabled,Node,Sources,Bandwidth,Local Network,Talkgroup Network,Worldwide English,North America,DCI Bridge,Local/Cluster,Colorado,N. Colorado,TAC 310,Mountain Reg USA,P-25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,Feed,Worldwide,English,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Wyoming,WyLOCAL,Southern Colorado,Devilshead Local,TAC 311,Colorado Chat,Eastern Colorado,Local or Reflector,CKRG,KansasLink,Kansas
446.775,-5,CC,W0DMR,"Fort Collins, Timnath",CO,OPEN,,D,137.68,W,"Rick KT0L Repeater Ft Collins, CO (Limited coverage)",08,10995,40.59379959,-104.9260025,446.775,441.775,,Larimer,,W0DMR - NoCo C-bridge Network,,CCARC,2019-11-27,On-Air,"Fort Collins east side, into Red Feather Lakes area.",,,"Any additional Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf",,,,yes,2,310806,NoCO c Record retrieved from radioid.net,,Brandmeister Network,W0DMR,"Open Talkgroup View Assignment TS TG Access Worldwide English 1 91 Full-Time North America 1 93 Full-Time DCI Bridge 1 3100 Full-Time Local/Cluster 2 2 Colorado 2 3108 Full-Time N. Colorado 2 3171 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,DN70MO,,,"Repeater ID: 310806, TS 1: TG 91 - World Wide, TG 93 - North America, TG 3100 USA. TS 2: TG 2 - Local, TG 3171 - No. Colorado, TG 3108 Colorado Statewide.",,,,,,,,,BrandMeister US,1,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,CC,W0DMR,"Fort Collins, Timnath",CO,OPEN,,D,138.71,W,,08,12562,40.54460144,-104.94400024,147.39,147.99,,Larimer,,KT0L - NoCo C-Bridge Network,,CCARC,2019-11-27,On-Air,"Fort Collins east side, into Red Feather Lakes area.",,,,Tac 310 Net: Sun at 18:00.,,,yes,2,310822,NoCO c Record retrieved from radioid.net,,,Documentation,"Open Talkgroup View Assignment TS TG Access TAC 310 1 310 DCI Bridge 1 3100 N. Colorado 1 3171 Mountain Reg USA 1 3177 Local/Cluster 2 2 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,,,,,,,,,,,,,1,2,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9375,-5,CC,K7PFJ,"Cheyenne, South",WY,OPEN,,D,138.74,WNW,,56,15672,41.06000137,-104.87999725,449.9375,444.9375,,Laramie,,,,WRCG,2020-02-04,Off-Air,,,,,,,Full-time to the Rocky Mountain Ham System .,yes,7,315603,RMHR c Record retrieved from radioid.net,,,https://www.rmham.org/wordpress/,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Northern Colorado Regional 2 721 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,2,DN71NB,,,,,,,,,,,RMHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7375,-25.7,100,KI0HC,Parker,CO,OPEN,,,139.96,WSW,,08,14732,39.53910065,-104.56900024,927.7375,902.025,100,Douglas,,,,CCARC,2020-01-01,On-Air,"Wide area coverage, I 25 from Cheyenne south to MM 20 just north of Trinidad. I 76 East to MM 100. I 70 from Idaho Springs to Genoa. Highway 24 from the Colorado Springs to Limon. Highway 24 west of Colorado Springs is spotty to Hartsel. US 50 from Canon City to Las Animas. Salida south to the San Luis Valley to Antonito. Salida North to just south of Leadville. Repeater Coverage Map",,,,,100,Full-time to the The 900 P25 Network System .,,,,,,,,,,,DM79RM,,,,,,,,,,,,,,,,,,,,,yes,293,yes,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,141.3,WE0FUN,"Denver, Green Valley Ranch",CO,OPEN,EA,,140.11,WSW,Node Offline,08,9765,39.79669952,-104.7480011,448.15,443.15,141.3,Denver,,K0GUR,E-power (batt). 2 meter and 70cm channel steerable remote bases.,CCARC,2019-08-22,On-Air,Small coverage of the East Denver area SW of DIA. Repeater Coverage Map,24340,,Can be linked to various local repeater systems via the remote base(s). Echolink connects restricted. Email me to be added to the authorized list. The system may be occupied in the Southern Colorado area for a formal net or ARES activity.,APRS Net: Sun at 19:00. Region 5 District 2 ARES Net: Sun at 19:30. Statewide ARES Net: Sun at 20:00. Region 5 District 1 ARES Net: Mon at 19:00. RGARC Net: Wed at 19:00.,141.3,Full-time to the The Fun Machine System .,,,,,,,k0jsc.com,,,,DM79pt,,29436,,,,,,,,,,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,107.2,N1FSX,Punkin Center,CO,OPEN,,,140.89,SSW,,08,7395,38.85200119,-103.69999695,449.9,444.9,107.2,Lincoln,,,,CCARC,2012-07-20,On-Air,,,,,,,,,,,,,BSAR,,,,,DM88DU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,162.2,N0KOM,"Lenora, K-Link",KS,OPEN,A,,140.98,SE,,20,3956,39.57300186,-99.98600006,146.88,146.28,162.2,Norton,,N0KOM,"e-power, K-Link.",Kansas Repeater Council,2020-03-07,On-Air,Click for coverage map. 50 mi radius.,,,,Sat @ 21:00 local,162.2,Full-time to the K-Link System .,,,,,,,K-Link Repeater Network,,,,EM09AN,,49527,,,,,,,,,,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,151.4,KD7JNQ,Torrington,WY,OPEN,,,141.3,NW,,56,17395,42.0625,-104.18399811,448.325,443.325,151.4,Goshen,Unknown,,,,2018-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.73,-0.6,CSQ,KF7BR,Torrington,WY,OPEN,,,141.3,NW,,56,42,42.0625,-104.18399811,146.73,146.13,CSQ,Goshen,,,,,2019-02-20,On-Air,,,,,,,,,,,,,,,,,,DN72VB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.025,-5,100,W0UPS,"Loveland, Budweiser Event Center",CO,OPEN,,Y,141.48,W,,08,3621,40.44400024,-104.98899841,448.025,443.025,100,Larimer,,Northern Colorado ARC,,CCARC,2016-03-21,On-Air,,,,,,100,,,,,,,,,,,,DN70MK,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,110.9,WB7UPS,Wellington,CO,OPEN,,,142.16,W,,08,8251,40.70389938,-105.00900269,448.325,443.325,110.9,Larimer,,,,CCARC,2012-11-16,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.3,5,141.3,K0ECT,Elkader,KS,OPEN,,,144.4,SSE,,20,4100,38.78499985,-100.92099762,444.3,449.3,141.3,Logan,,SKECT,E-power.,Kansas Repeater Council,2018-07-12,On-Air,,,,,,141.3,Full-time to the SKECT System .,,,,,,,http://skect.org/default.aspx,,,,DM98MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.6,100,KB0UDD,"Aurora, Smoky Hill",CO,OPEN,,,145.52,WSW,,08,5,39.6072998,-104.74099731,145.4,144.8,100,Arapahoe,,Castle Rock Repeater Group,"Autopatch, e-power.",CCARC,2019-03-09,On-Air,Greater Denver area.,,,,,,"Full-time to 448.50000 (KB0UDD) at Aurora, Smokey Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,,145.63,W,,08,125,40.57080078,-105.07700348,147.36,147.96,100,Larimer,,CO State Univ ARC,Closed autopatch.,CCARC,2017-03-11,On-Air,Map,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,151.4,N0OBA,Aurora,CO,OPEN,E,,145.65,WSW,ON - IDLE,08,8741,39.62799835,-104.75800323,145.19,144.59,151.4,Arapahoe,,N0OBA,Autopatch (please contact trustee).,,2018-02-01,On-Air,"Aurora, Littleton, Denver, Morrison, North Colorado Springs to as far as Ft. Collins.",10079,,"Please note the PL's! Do not TSQ unless your radio can do split PL's. Otherwise you will not here the system. Regards, Scott","""Tri Lakes Net"" This net is held every Monday at 7:30pm local (except on the third Monday of the month when we have our regular radio club meeting.)",131.8,,,,,,,,,,,,DM79OP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.725,-5,131.8,W7RF,Fort Collins,CO,OPEN,,,145.94,W,,08,8194,40.49599838,-105.07900238,447.725,442.725,131.8,Larimer,,W7RF,,CCARC,2018-05-13,On-Air,,,,,,,,,,,,,,,,,,DN70LL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,100,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,,145.98,W,,08,124,40.58530045,-105.08399963,449.85,444.85,100,Larimer,,CO State Univ ARC,Closed autopatch.,CCARC,2012-11-16,On-Air,Map,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.95,-25,100,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,,145.98,W,,08,3592,40.58530045,-105.08399963,927.95,902.95,100,Larimer,,,,CCARC,2019-09-01,On-Air,Northern Front Range,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.15,-5,136.5,WR0AEN,Aurora,CO,OPEN,,S,145.98,WSW,,08,8207,39.69670105,-104.80999756,449.15,444.15,,Arapahoe,,Colorado Amateur Repeater Network (CARN),,CCARC,2012-11-12,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,yes,WR0AEN (B),jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.5,-5,100,KB0UDD,"Aurora, Smokey Hill",CO,OPEN,,,146.03,WSW,,08,92,39.72940063,-104.83100128,448.5,443.5,100,Denver,,Castle Rock Repeater Group,E-power.,CCARC,2017-03-11,On-Air,Greater Denver area.,,,,,,"Full-time to 145.40000 (KB0UDD) at Aurora, Smoky Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.4,-5,94.8,N0ZUQ,Aurora,CO,OPEN,,,146.08,WSW,,08,8202,39.72940063,-104.83200073,448.4,443.4,94.8,Arapahoe,,,,CCARC,2012-11-12,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.275,-5,156.7,W0BG,Aurora,CO,OPEN,,,146.08,WSW,,08,8199,39.72940063,-104.83200073,448.275,443.275,156.7,Arapahoe,,W0BG,,CCARC,2013-01-05,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,77,W9SL,Aurora,CO,OPEN,,,146.08,WSW,,08,8743,39.72940063,-104.83200073,449.95,444.95,77,Arapahoe,,W9SL Owner,,CCARC,2019-08-23,On-Air,Primarily to the North along I-25 corridor,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.825,-5,,WN7ANT,Aurora,CO,OPEN,W,Y,146.08,WSW,,08,16032,39.72940063,-104.83200073,448.825,443.825,,Arapahoe,,,,,2017-12-13,On-Air,,,,,,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,30584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,100,W0LRA,"Loveland, Namaqua Hill",CO,OPEN,,,146.23,W,,08,181,40.39780045,-105.0739975,449.575,444.575,100,Larimer,,Loveland Rptr Assoc,"Closed autopatch, e-power.",CCARC,2018-02-24,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,D,146.46,W,,08,18416,40.57759857,-105.09300232,446.7625,441.7625,,Larimer,,RMHAM,,,2020-02-10,On-Air,,,,,Red Cross Net on Wide - Third Thursday of the month at 1900 Tech Net on Wide - First Saturday of the month at 1900,,,yes,8,,c Record retrieved from radioid.net,,CSUARC,https://www.rmham.org/wordpress/dmr-radio-site-information/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,D,146.46,W,,08,18417,40.57759857,-105.09300232,446.7625,441.7625,,Larimer,,RMHAM,,,2020-02-10,On-Air,,,,,Red Cross Net on Wide - Third Thursday of the month at 1900 Tech Net on Wide - First Saturday of the month at 1900,,,yes,8,,c Record retrieved from radioid.net,,CSUARC,https://www.rmham.org/wordpress/dmr-radio-site-information/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8125,-5,,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,S,146.46,W,,08,8901,40.57770157,-105.09300232,446.8125,441.8125,,Larimer,,W0QEY CSU,D-Star Gateway,CCARC,2017-05-31,On-Air,Fort Collins Local Area,,,Free Star,,,,,,,,,,,,,,DN70KN,,,,,,,yes,W0QEY (B) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.895,-0.6,123,K0PCA,Loomis,NE,OPEN,,,146.96,ESE,,31,38,40.47829819,-99.50700378,146.895,146.295,123,Phelps,,Region 15 ARES/RACES,E-power.,WB0CMC,2017-05-21,On-Air,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.195,0.6,100,W0LRA,"Loveland, Namaqua Hill",CO,OPEN,,,148.89,W,,08,179,40.39849854,-105.125,147.195,147.795,100,Larimer,,Loveland Repeater Assoc,"Closed autopatch, e-power.",CCARC,2016-08-18,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.175,5,156.7,K0WPM,Tribune,KS,OPEN,,,149.02,SSE,,20,15098,38.46969986,-101.75299835,442.175,447.175,156.7,Greeley,,WKARC,,,2019-05-07,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC,K0PRA,Parker,CO,OPEN,,D,149.32,WSW,"Colorado Mega Reflector - XLX376 Transcoder - YSF 23160 - WiresX 40895 Welcome to the new and improved Colorado Mega Link! Brought to you by the Parker Radio Association, where we have fun, play radio and keep the squelch loose. Please join us Monday nights at 8pm mountain time our our digital net.",08,17292,39.44910049,-104.70300293,445.075,440.075,,Douglas,,Parker Radio Association,Brandmeister Network https://brandmeister.network/?page=repeater&amp;id=310844,CCARC,2019-11-27,On-Air,,,,Mixed Mode,Mondays 20:30 MST,,,yes,1,310844,None c Record retrieved from radioid.net,,,http://www.parkerradio.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.55,-20,100,K1TJ,Fort Collins,CO,OPEN,,,149.44,W,,08,3620,40.51530075,-105.14700317,1283.55,1263.55,100,Larimer,,K1TJ Repeater System,,CCARC,2013-01-01,On-Air,Northern Colorado Front Range,,,,,,,,,,,,,http://www.k1tj.com/,,,,DN70KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,123,KC0RBT,Fort Collins,CO,OPEN,E,,149.44,W,ON - IDLE,08,276,40.51530075,-105.14700317,447.45,442.45,123,Larimer,,,,CCARC,2016-02-01,On-Air,,447450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC,N0AOL,Fort Collins,CO,OPEN,,D,149.44,W,,08,8505,40.51530075,-105.14700317,446.7375,441.7375,,Larimer,,N0AOL - NoCo C-Bridge Network,DMR-MARC World Wide Network,CCARC,2019-11-27,On-Air,Wide area: North Front Range.,,,Repeater ID: 310803,"DMR World Wide Net: Sat at 10:00. TS 1 Group Call 1 http://www.dmr-marc.net/ Tac 310 Net: Sun at 18:00, TS 1 Group Call 310 .",,,yes,2,310803,NoCo c Record retrieved from radioid.net,,,http://nocodmr.kt0l.net:8080/nocodmr/documentation.htm,"Open Talkgroup View Assignment TS TG Access Worldwide 1 1 North America 1 3 English 1 13 TAC 310 1 310 Local/Cluster 2 2 N. Colorado 2 3171 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,DN70KM,,,,,,,,,,,,,,1,,2,,2,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
446.9,-5,,K0PRA,Parker,CO,OPEN,W,Y,149.45,WSW,,08,18248,39.51860046,-104.76100159,446.9,441.9,,Arapahoe,,Parker Radio Association,Linked to the Colorado Mega digital system,,2019-11-03,On-Air,Small coverage area in Parker,,,,Monday nights 8pm mountain,,,,,,,,,https://www.parkerradio.org,,,,,,,,yes,Open ↑ / Open ↓,40895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.05,-5,CC,N0KEG,Parker,CO,OPEN,,D,149.45,WSW,,08,17696,39.51860046,-104.76100159,448.05,443.05,,Douglas,Unknown,,,,2019-11-27,,,,,,,,,yes,1,310374,Brandmeister c Record retrieved from radioid.net,BrandMeister,,,,,,,,,,,,,,,,,Brandmeister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.045,0.6,123,K0ML,Northglenn,CO,OPEN,,,149.63,WSW,,08,185,39.88560104,-104.98699951,147.045,147.645,123,Adams,,Northglenn RA,E-power.,CCARC,2017-04-10,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.7,-5,146.2,WQ8M,Parker,CO,OPEN,,,149.63,WSW,,08,274,39.55799866,-104.79399872,448.7,443.7,146.2,Douglas,,,,,2018-09-07,On-Air,Local North Parker only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.865,-0.6,,KR0A,Broken Bow,NE,OPEN,,,149.82,E,,31,10,41.40179825,-99.6411972,146.865,146.265,,Custer,,KR0A,,,2013-12-13,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,,KR0A,Broken Bow,NE,OPEN,,,149.82,E,,31,11,41.40179825,-99.6411972,147.06,147.66,,Custer,,KR0A,,,2017-05-21,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.525,-5,151.4,N0EPA,Longmont,CO,OPEN,E,,150.12,W,ON - IDLE,08,176,40.16719818,-105.10099792,448.525,443.525,151.4,Boulder,,N0EPA,,CCARC,2019-06-19,On-Air,,223853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,100,W0ENO,Longmont,CO,OPEN,,,150.12,W,,08,175,40.16719818,-105.10099792,147.27,147.87,100,Boulder,,Longmont ARC (LARC),"Closed autopatch, e-power, EchoLink.",CCARC,2017-03-11,On-Air,Wide area: Northern Colorado.,,,,,100,"Linkable to 448.80000 (W0ENO) at Longmont, CO .",,,,,,,http://w0eno.org/?q=node/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.8,-5,88.5,W0ENO,Longmont,CO,OPEN,,,150.12,W,,08,177,40.16719818,-105.10099792,448.8,443.8,88.5,Boulder,,Longmont ARC,30,CCARC,2017-03-11,On-Air,,,,,LARC: Sun at 20:00.,88.5,"Linkable to 147.27000 (W0ENO) at Longmont, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.85,-5,,K0PRA,Franktown,CO,OPEN,,S,150.17,WSW,,08,11473,39.39350128,-104.67500305,446.85,441.85,,Douglas,,Parker Radio Association,D-Star B module,CCARC,2018-03-18,On-Air,,,,,,,,,,,,,,http://parkerradio.org,,,,DM79PJ,,,,,,,yes,K0PRA (B) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.75,-5,CC,K7PFJ,"Fort Collins, Horsetooth Mountain",CO,OPEN,,D,151.05,W,,08,8715,40.53879929,-105.17900085,446.75,441.75,,Larimer,,Rocky Mountain Ham Radio,,CCARC,2019-12-09,Off-Air,,,,See website for complete info on color codes/time slot assignment.,,,Full-time to the Colorado TRBO System .,yes,7,310814,RMHR c Record retrieved from radioid.net,,,http://www.rmham.org,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Northern Colorado Regional 2 721 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,CC,KB0VGD,"Fort Collins, Horsetooth Mountain",CO,OPEN,,D,151.05,W,"KB0VGD Marcos 2M Horsetooth Horsetooth Mtn VHF, Wide area coverage. Please use ONLY TG 310831, TG 3171, TG 3108, and TG 2 (Local 2) on Time Slot 2 (TS2). ALL OTHER TG connections will be directed to Time Slot 1 (TS1).",08,14274,40.53879929,-105.17900085,145.265,144.665,,Larimer,,W0DMR - NoCo C-bridge Network,,CCARC,2019-11-27,On-Air,Northern Colorado Front Range Wide Area coverage.,,,"Any additional Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf",,,,yes,2,310831,DMR-Plus c Record retrieved from radioid.net,,Brandmeister Network,http://www.w0dmr.org/,"Open Talkgroup View Assignment TS TG Access Worldwide English 1 91 Full-Time North America 1 93 Full-Time DCI Bridge 1 3100 Full-Time Local/Cluster 2 2 Colorado 2 3108 Full-Time N. Colorado 2 3171 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,"Repeater ID: 310831, TS 1: TG 91 - World Wide, TG 93 - North America, TG 3100 USA. TS 2: TG 2 - Local, TG 3171 - No. Colorado, TG 3108 Colorado Statewide.",,,,,,,,,BrandMeister US,1,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,E,,151.94,W,ON - IDLE,08,123,40.53969955,-105.19599915,145.115,144.515,100,Larimer,,Northern Colorado ARC,7,CCARC,2016-10-25,On-Air,Wide area.,4236,,,,100,,,,,,,,,,,,DN70JM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.52,-1.6,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,,,151.94,W,,08,275,40.53969955,-105.19599915,224.52,222.92,100,Larimer,,Northern Colorado ARC,E-power.,CCARC,2018-03-21,Off-Air,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,,,151.94,W,,08,126,40.53969955,-105.19599915,447.275,442.275,100,Larimer,,Northern Colorado ARC,"Closed autopatch, e-power.",CCARC,2020-01-23,On-Air,Wide area.,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.315,0.6,CC,N0KEG,Centennial,CO,OPEN,,DS,152.77,WSW,"Colorado Mega Reflector - XLX376 Transcoder - YSF 23160 - WiresX 40895 Welcome to the new and improved Colorado Mega Link! Brought to you by the Parker Radio Association, where we have fun, play radio and keep the squelch loose. Please join us Monday nights at 8pm mountain time our our digital net.",08,17676,39.58069992,-104.8769989,147.315,147.915,,Arapahoe,Unknown,N0KEG,,,2019-11-27,,"Southeast metro Denver area. Parker, Centennial, SE Aurora, Elizabeth, Franktown, Castle Rock.",,,,Monday 8pm. Colorado Link Digital Net. Repeater is used in DSTAR mode for this net.,,,yes,1,310759,Brandmeister c Record retrieved from radioid.net,,Parker Radio Association,https://www.parkerradio.org,,,,,,,,,,,yes,N0KEG (C) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,100,W0JRL,"Denver, Broadway Plaza Lofts",CO,OPEN,EA,,152.9,WSW,ON - IDLE,08,12216,39.75519943,-104.98699951,447.175,442.175,100,Denver,,W0JRL,,CCARC,2015-05-15,On-Air,,201712,,,,100,,,,,,,,,,,,DM79MS,,29997,Standard AllStar Link access commands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.475,-0.6,100,KE0SJ,"Boulder, Blue Mountain",CO,OPEN,,,153.19,WSW,,08,75,39.73920059,-104.98400116,145.475,144.875,100,Jefferson,,Intermountain Repeater Group,E-power.,CCARC,2015-05-22,On-Air,"Wide Area: Ft. Collins to the North, Colorado Springs to the South, Parts of Akron to the east.",,,,,,,,,,,,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.715,-0.6,123,N0JXN,Denver,CO,OPEN,,,153.19,WSW,,08,79,39.73920059,-104.98400116,146.715,146.115,123,Denver,,EARS,E-power.,CCARC,2017-04-09,On-Air,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
