Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Coverage,Sponsor,Coordination,Last update,Affiliate,Notes,DMR Enabled,Color Code,Wide Network,Features,Nets,Web links,D-STAR Enabled,Node,Sources,Talkgroups,Southern Colorado,Devilshead Local,Links,EchoLink,IRLP,AllStar,P25 Digital Enabled,NAC,Default Reflector,Talkgroup Network,Central Regional,Northern Colorado Regional,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,YSF Digital Enabled,DG-ID,On-air,WIRES-X,Mixed-Mode,Commands,Grid,Feed,Rocky Mountain Wide,Eastern Colorado,Worldwide,North America,Local/Cluster,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Local Network,Location Photo,English,TAC 310,N. Colorado,DCI Bridge,Mountain Reg USA,Worldwide English,Colorado,Wyoming,WyLOCAL,Europe,Southwest USA
449.65,-5,136.5,WR0AEN,Denver,CO,OPEN,,26.2,NNW,yes,08,8212,39.7376,-104.985,449.65,444.65,,,Denver,On-Air,,Colorado Amateur Repeater Network (CARN),CCARC,yes,,,,,,,,,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.675,-5,136.5,WR0AEN,Denver,CO,OPEN,I,26.2,NNW,yes,08,8213,39.7376,-104.985,449.675,444.675,,,Denver,On-Air,,Colorado Amateur Repeater Network (CARN),CCARC,yes,,,,,,,,,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,7708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KD0MDP,"Falcon, Black Forest",CO,OPEN,EIA,26.3,SSE,yes,08,13294,39.0437,-104.608,447.625,442.625,100,100,El Paso,On-Air,,KD0MDP,,yes,The Fun Machine,,,,,Linked.,,,,,,,,,Full-time to the  The Fun Machine System .,363976,7301,28299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.475,-0.6,100,KE0SJ,"Boulder, Blue Mountain",CO,OPEN,,26.3,NNW,yes,08,75,39.7392,-104.984,145.475,144.875,100,,Jefferson,On-Air,"Wide Area: Ft. Collins to the North, Colorado Springs to the South, Parts of Akron to the east.",Intermountain Repeater Group,CCARC,yes,,,,,,E-power.,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.715,-0.6,123,N0JXN,Denver,CO,OPEN,,26.3,NNW,yes,08,79,39.7392,-104.984,146.715,146.115,123,123,Denver,On-Air,,EARS,CCARC,yes,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.075,-5,123,N5EHP,Denver,CO,OPEN,,26.3,NNW,yes,08,91,39.7392,-104.984,448.075,443.075,123,,Denver,On-Air,,W0IG,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.55,-5,82.5,W0KIZ,Denver,CO,OPEN,,26.3,NNW,yes,08,93,39.7392,-104.984,448.55,443.55,82.5,,Denver,Off-Air,,HPRA,CCARC,yes,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,26.3,NW,yes,08,85,39.6822,-105.143,147.33,147.93,100,,Jefferson,On-Air,Metro Denver and the foothills.,Denver Radio Club,CCARC,yes,,Not recommeded to use tone squelch on this repeater.,,,,E-power.,SATERN: Thu at 19:30.,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.38,-1.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,26.3,NW,yes,08,267,39.6822,-105.143,224.38,222.78,100,100,Jefferson,On-Air,,Denver Radio Club,CCARC,yes,,,,,,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,100,W0TX,"Lakewood, Green Mtn",CO,OPEN,,26.3,NW,yes,08,8215,39.6822,-105.143,449.775,444.775,100,100,Jefferson,On-Air,Metro Denver,Denver Radio Club,CCARC,yes,,,,,,,,Denver Radio Club,,,,,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,
448.75,-5,100,N0ELY,Lakewood,CO,OPEN,,27,NNW,yes,08,8204,39.7046,-105.123,448.75,443.75,100,100,Jefferson,On-Air,Local.,,CCARC,yes,N0ELY,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,100,W0JRL,"Denver, Broadway Plaza Lofts",CO,OPEN,EA,27.4,NNW,yes,08,12216,39.7552,-104.987,447.175,442.175,100,100,Denver,On-Air,,W0JRL,CCARC,yes,,,,,,,,,,,,,,,,201712,,29997,,,,,,,,,,,,,,,,Standard AllStar Link access commands.,,,,,,,,,,,,,,,,,,,,,,,,,
447.825,-5,D073,W0TX,"Lakewood, St Anthony Medical Campus",CO,OPEN,,27.9,NNW,yes,08,5805,39.7162,-105.13,447.825,442.825,D073,D073,Jefferson,On-Air,,Denver Radio Club,CCARC,yes,,"Now operating in Narrow Band mode with Digital Code Squelch.
 Please reset your programing to use:
 12.5 KHz. bandwidth (+/- 2.5 KHz. deviation).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.415,-0.6,179.9,KA0WUC,Woodland Park,CO,OPEN,,28.2,SSW,yes,08,249,38.9939,-105.056,145.415,144.815,179.9,,Teller,,,MARC,CCARC,yes,,,,,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.025,-5,141.3,KA0WUC,Woodland Park,CO,OPEN,,28.2,SSW,yes,08,252,38.9939,-105.056,449.025,444.025,141.3,,Teller,,,Mountain Amateur Radio Club (MARC),CCARC,yes,,,,,,Linked.,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,NX0G,Woodland Park,CO,OPEN,,28.2,SSW,yes,08,250,38.9939,-105.056,146.82,146.22,107.2,,Teller,On-Air,,Mountain ARC,CCARC,yes,,,,,,E-power.,MARC/PCRC: Tue at 19:30.,,,,,,,,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,107.2,NX0G,Woodland Park,CO,OPEN,,28.2,SSW,yes,08,251,38.9939,-105.056,448.65,443.65,107.2,,Teller,On-Air,,Mountain ARC (MARC),CCARC,yes,MARC,,,,,E-power.,MARC/PCRC: Tue at 19:30.,,,,,,,,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.675,-5,179.9,KA0WUC,Woodland Park,CO,OPEN,,28.3,SSW,yes,08,8193,38.9939,-105.057,447.675,442.675,179.9,179.9,Teller,On-Air,,Mountain Amateur Radio Club (MARC),CCARC,yes,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.9,-25,D205,KA0WUC,Woodland Park,CO,OPEN,,28.3,SSW,yes,08,3750,38.9938,-105.057,927.9,902.9,D205,D205,Teller,On-Air,,MARC,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.325,-5,103.5,KA4EPS,"Woodland Park, Paradise Pines",CO,OPEN,A,28.3,SSW,yes,08,9503,38.9939,-105.057,449.325,444.325,103.5,103.5,Teller,On-Air,"Small coverage repeater node covering Woodland Park, CO when not linked. When linked to the Florida hub, coverage from Key West to Port. St John Florida can be expected.",KA4EPS,CCARC,yes,Amateur Radio Motorcycle Club,Node # 27976,,,,E-power. Allstar Node 27976,"Sunday 1500 MST
Tuesday 1730 MST",,,,,,,,,,,27976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,88.5,N0ARA,"Critchell, Critchell Mountain",CO,OPEN,,28.3,WNW,yes,08,59,39.5148,-105.353,147.12,147.72,88.5,88.5,Jefferson,On-Air,Denver metro and east.,Aurora Repeater Association,CCARC,yes,,,,,,E-power.,,http://www.n0ara.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.17,-1.7,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,28.4,NW,yes,08,10514,39.6734,-105.218,53.17,51.47,107.2,CSQ,Jefferson,On-Air,"I-70,I-76,I-25,I-225",N6LXX,CCARC,yes,N6LXX,,,,,,,,,,,,,,Full-time to the  N6LXX System .,,,29883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,28.4,NW,yes,08,10513,39.6734,-105.218,447.875,442.875,107.2,107.2,Jefferson,On-Air,"I-70,I-76,I-25,I-225",N6LXX,CCARC,yes,N6LXX,,,,,,,,,,,,,,Full-time to the  N6LXX System .,,,29913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.09,-1.7,107.2,W0TX,"Lakewood, Green Mountain",CO,OPEN,,28.5,NW,yes,08,105,39.7008,-105.178,53.09,51.39,107.2,,Jefferson,On-Air,Metro Denver area.,Denver Radio Club,CCARC,yes,,,,,,E-power.,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.05,-1.7,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,28.7,WNW,yes,08,104,39.5185,-105.359,53.05,51.35,107.2,107.2,Jefferson,Off-Air,"Wide area: Cheyenne, Wyoming, to the north, Pueblo to the south, beyond Limon to the east and South Park to the southwest.",Colorado Repeater Association (CRA),CCARC,yes,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.21,0.6,100,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,I,29.8,NNW,yes,08,9775,39.7505,-105.123,147.21,147.81,100,100,Jefferson,On-Air,,Denver Water Amateur Radio Club,,yes,,,,,,,,http://www.dwarc.com,,,,,,,,,3241,,,,,,,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,
448.35,-5,225.7,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,,29.8,NNW,yes,08,17349,39.7506,-105.123,448.35,443.35,,,Jefferson,On-Air,Denver Metro and surrounding,Denver Water Amateur Radio Club (DWARC),CCARC,yes,,,,,,,,http://www.DWARC.com,,,,,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,141.3,K0GUR,"Denver, Green Valley Ranch",CO,OPEN,EA,29.9,N,yes,08,9765,39.7967,-104.748,448.15,443.15,141.3,141.3,Denver,On-Air,"Small coverage of the East Denver area SW of DIA. 
   Repeater Coverage Map",K0GUR,CCARC,yes,,Can be linked to various local repeater systems via the remote base(s). Echolink connects restricted. Email me to be added to the authorized list.  The system may be occupied in the Southern Colorado area for a formal net or ARES activity.,,,,E-power (batt).  2 meter and 70cm channel steerable remote bases.,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
RGARC Net: Wed at 19:00.",k0jsc.com,,,,,,,Full-time to the  The Fun Machine System .,24340,,29436,,,,,,,,,,,,,,,,,DM79pt,Listen Live,,,,,,,,,,,,,,,,,,,,,,,
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,30.5,NW,yes,08,73,39.6333,-105.317,145.34,144.74,103.5,127.3,Jefferson,On-Air,Wide area.,Rocky Mtn Radio League,CCARC,yes,,,,,,E-power.,,Repeater,,,,,,,,,3350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC7,N0SZ,"Evergreen, Squaw Mountain",CO,OPEN,,30.5,NW,yes,08,10932,39.6333,-105.317,145.175,144.575,,,Clear Creek,On-Air,,Rocky Mountain Ham Radio,CCARC,yes,,Voice ID is required for data/GPS/text on TG 705,yes,7,,700,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8375,-5,CC7,WA2YZT,"Golden, Lookout",CO,OPEN,,31.8,NW,yes,08,3753,39.7305,-105.232,446.8375,441.8375,,,Jefferson,On-Air,,WA2YZT,CCARC,yes,,See website for more info on CC/TS/TG programming.  www.rmham.org,yes,7,,200,,,,,,,,,Full-time to the  Colorado TRBO System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,CC7,N0SZ,"Golden, Lookout Mountain",CO,OPEN,,31.9,NW,yes,08,10939,39.7307,-105.233,145.37,144.77,,,Jefferson,On-Air,,Rocky Mountain Ham Radio,CCARC,yes,,See the website for programming information. Voice ID is required for data/GPS/text on TG 705,yes,7,,700,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.9625,-20,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,31.9,NW,yes,08,3751,39.7305,-105.233,1283.9625,1263.9625,,,Jefferson,On-Air,,Colorado D-Star,CCARC,yes,,,,,,,,Colorado D-Star,yes,W0CDS (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.9,0,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,31.9,NW,yes,08,8222,39.7305,-105.233,1299.9,1299.9,,,Jefferson,On-Air,,Colorado D-Star,,yes,,,,,,,,Colorado D-Star,yes,W0CDS (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,31.9,NW,yes,08,3739,39.7305,-105.233,145.25,144.65,,,Jefferson,On-Air,,Colorado D-Star,CCARC,yes,,,,,,,,Colorado D-Star,yes,W0CDS (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9625,-5,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,31.9,NW,yes,08,2769,39.7305,-105.233,446.9625,441.9625,,,Jefferson,On-Air,,Colorado D-Star,CCARC,yes,,,,,,,,Colorado D-Star,yes,W0CDS (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,141.3,W0KU,"Golden, Lookout Mountain",CO,OPEN,I,32.2,NW,yes,08,139,39.733,-105.239,449.625,444.625,141.3,141.3,Jefferson,On-Air,,Rocky Mountain Ham Radio,CCARC,yes,,,,,,E-power,,,,,,,,,,,3750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7875,-25,156.7,N0PYY,Golden,CO,OPEN,,32.8,NW,yes,08,7170,39.7555,-105.221,927.7875,902.7875,156.7,,Jefferson,On-Air,Golden and Denver.,N0PYY,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.72,-1.6,103.5,W0MOG,Colorado springs,CO,OPEN,,32.8,S,yes,08,15989,38.9,-104.8,224.72,223.12,103.5,103.5,El Paso,On-Air,Local,w0mog,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.125,-5,107.2,N0PYY,Golden,CO,OPEN,,32.9,NW,yes,08,143,39.7556,-105.221,448.125,443.125,107.2,,Jefferson,On-Air,,Denver PD EEB,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,123,W0GV,Golden,CO,OPEN,A,32.9,NW,yes,08,137,39.7556,-105.221,448.975,443.975,123,,Jefferson,On-Air,Wide area.,FRG,CCARC,yes,,,,,,Linkable VHF/UHF Remote Base,,,,,,,,,,,,42845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.895,-0.6,100,AB0PC,"Bailey, Dick Mountain",CO,OPEN,A,33,W,yes,08,7,39.4056,-105.473,146.895,146.295,100,100,Park,On-Air,285,AB0RR,CCARC,yes,,,,,,25,Wed at 19:30.,Park County Radio Club (PCRC),,,,,,,"Full-time internet linked to  
        448.57500 (WZ0N) at Hartsel, CO .",,,45835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,151.4,,Falcon,CO,OPEN,,33.1,SSE,yes,08,13790,38.933,-104.609,447.2,442.2,,,El Paso,Testing,"Falcon, Black Forest, Peyton Areas",GGARC,,yes,Garden of the Gods Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,100,N1UPS,Westminster,CO,OPEN,EI,33.5,NNW,yes,08,8208,39.8367,-105.037,449.3,444.3,100,,Adams,On-Air,,N1UPS,CCARC,yes,,,,,,,,,,,,,,,,43699,3699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,CC0,KB0VGD,"Golden, Table Mountain",CO,OPEN,,34.3,NW,yes,08,14273,39.7846,-105.216,446.975,441.975,,,Jefferson,On-Air,Denver Metro Area,W0DMR,,yes,,,yes,0,,,"Tac 310 Net, Sundays 18:00 Mountain Time, TS1, TG 310.",http://www.w0dmr.org/,,,,,,,,,,,,,,,,,,,,,,,,,,"TS 1, CC 2: TG 3171 - Northern Colorado Network, TG 3100 - DCI Bridge, TG 1776 - USA Network, TG 310 - Tac 310.  

TS 2, CC 2: TG 2 - Local",,,,,,,,,,,,,,,,,,,,,,,,,
147.045,0.6,123,K0ML,Northglenn,CO,OPEN,,36.1,N,yes,08,185,39.8856,-104.987,147.045,147.645,123,CSQ,Adams,On-Air,,Northglenn RA,CCARC,yes,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,0.6,100,AA0L,Colorado Springs,CO,OPEN,,36.9,S,yes,08,8176,38.8397,-104.8,147.135,147.735,100,,El Paso,On-Air,,AA0L,CCARC,yes,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,,,Colorado Springs,CO,OPEN,,37,S,yes,08,46,38.8381,-104.821,147.27,147.87,,,El Paso,On-Air,,TRA,,yes,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,151.4,K0IRP,Colorado Springs,CO,OPEN,,37,S,yes,08,43,38.8381,-104.821,146.91,146.31,151.4,151.4,El Paso,On-Air,,GGARC,CCARC,yes,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,103.5,W0MOG,Colorado Springs,CO,OPEN,,37,S,yes,08,48,38.8381,-104.821,147.39,147.99,103.5,,El Paso,On-Air,,W0MOG,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,156.7,W0RSH,Colorado Springs,CO,OPEN,,37,S,yes,08,42,38.8381,-104.821,146.85,146.25,156.7,,El Paso,On-Air,,W0RSH,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,,,Colorado Springs,CO,CLOSED,,37.2,S,yes,08,8211,38.8339,-104.821,449.575,444.575,,,El Paso,On-Air,,RMHARC,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.3,-5,100,AA0L,Colorado Springs,CO,OPEN,,37.2,S,yes,08,8200,38.8339,-104.821,448.3,443.3,100,,El Paso,On-Air,,AA0L,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,151.4,K0IRP,Colorado Springs,CO,OPEN,,37.2,S,yes,08,50,38.8339,-104.821,447.35,442.35,151.4,,El Paso,On-Air,,GGARC,CCARC,yes,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.06,-1.6,,KB0SRJ,Colorado Springs,CO,CLOSED,,37.2,S,yes,08,8182,38.8339,-104.821,224.06,222.46,,,El Paso,,Wide area.,Pikes Peak FM Association (PPFMA),CCARC,yes,,,,,,"E-power, linked.",,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.025,-5,123,KF0WF,Colorado Springs,CO,OPEN,,37.2,S,yes,08,49,38.8339,-104.821,447.025,442.025,123,,El Paso,Off-Air,,Colorado Springs ARA,CCARC,yes,,,,,,"Closed autopatch, e-power, linked, remote base.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.25,-5,123,N0KG,"Colorado Springs, Broadmoor Area",CO,OPEN,,37.2,S,yes,08,8198,38.8339,-104.821,448.25,443.25,123,,El Paso,Off-Air,Colorado Springs,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.475,-5,107.2,NX0G,Colorado Springs,CO,OPEN,,37.2,S,yes,08,51,38.8339,-104.821,447.475,442.475,107.2,,El Paso,,,Mountain ARC (MARC),CCARC,yes,,,,,,"Closed autopatch, e-power.",MARC/PCRC: Tue at 1930.,,,,,,,,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.6,-5,114.8,W0MOG,Colorado Springs,CO,OPEN,,37.2,S,yes,08,55,38.8339,-104.821,448.6,443.6,114.8,,El Paso,,,W0MOG,CCARC,yes,,,,,,,,,,,,,,,"Full-time to  
        927.80000 (W0MOG) at Colorado Springs, CO .",,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8,-25,D116,W0MOG,Colorado Springs,CO,OPEN,,37.2,S,yes,08,3537,38.8339,-104.821,927.8,902.8,D116,,Teller,On-Air,,,CCARC,yes,,,,,,6,,,,,,,,,"Full-time to  
        448.60000 (W0MOG) at Colorado Springs, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.55,-5,123,WA6IFI,Colorado Springs,CO,OPEN,,37.2,S,yes,08,8191,38.8339,-104.821,447.55,442.55,123,,El Paso,On-Air,,WA6IFI,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.985,-0.6,100,K0FEZ,"Golden, Centennial Cone",CO,OPEN,I,37.5,NW,yes,08,82,39.7525,-105.359,146.985,146.385,100,100,Denver,On-Air,,El Jebel RADOPS,CCARC,yes,,,,,,E-power.,RADOPS: Sun at 19:00.,,,,,,,,,,3346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.28,-0.6,100,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,37.5,NW,yes,08,140,39.7525,-105.359,145.28,144.68,100,,Jefferson,On-Air,Wide area.,,CCARC,yes,,"PL is usually off, allowing use by older transceivers.",,,,"Closed autopatch, e-power, linked.",Sun at 19:30. Everyone welcome.,Intermountain Repeater Group,,,,,,,"Full-time to  
        449.52500 (KE0SJ) at Golden, Centennial Cone, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,CSQ,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,37.5,NW,yes,08,138,39.7525,-105.359,449.525,444.525,CSQ,,Jefferson,On-Air,,KE0SJ,CCARC,yes,,,,,,E-power.,,Intermountain Repeater Group,,,,,,,"Full-time to  
        145.28000 (KE0SJ) at Golden, Centennial Cone, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,100,W0TX,"Golden, Centennial Cone",CO,OPEN,,37.5,NW,yes,08,112,39.7525,-105.358,448.625,443.625,100,100,Jefferson,On-Air,Denver metro area.,Denver Radio Club,CCARC,yes,,,,,,E-power.,DRC: Sun at 20:30.,DRC Repeaters,,,,,,,"Full-time to  
        145.49000 (W0TX) at Idaho Springs, Centennial Cone, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,WB0TUB,"Golden, Centennial Cone",CO,OPEN,,37.5,NW,yes,08,77,39.7525,-105.359,146.64,146.04,100,,Jefferson,On-Air,"Wide area. 
   Repeater Coverage Map",Denver Radio League,CCARC,yes,,8,,,,E-power.,,DRL Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.85,-5,88.5,K0IBM,"Golden, Guy Hill",CO,OPEN,,37.6,NW,yes,08,136,39.7772,-105.329,448.85,443.85,88.5,88.5,Jefferson,On-Air,"Denver metro, central front range",Aurora Repeater Assoc,CCARC,yes,,,,,,e-power.,ARA: Wed at 20:00.,ARA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,103.5,KI0GO,"Golden, Guy Hill",CO,OPEN,,37.6,NW,yes,08,265,39.7772,-105.328,449.75,444.75,103.5,103.5,Jefferson,On-Air,,Rocky Mtn Radio League,CCARC,yes,,,,,,8,,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
