Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,County,Op Status,Sponsor,Affiliate,Web links,Coordination,Last update,Downlink Tone,Coverage,Links,Notes,Nets,Talkgroups,Rocky Mountain Wide,Northern Colorado Regional,Features,On-air,Central Regional,Grid,EchoLink,IRLP,Commands,AllStar,YSF Digital Enabled,DG-ID,WIRES-X,D-STAR Enabled,Node,Sources,P-25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,Feed,Local Network,TAC 310,DCI Bridge,N. Colorado,Mountain Reg USA,Local/Cluster,Talkgroup Network,Worldwide English,North America,Colorado,Bandwidth,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Worldwide,English,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Southern Colorado,Devilshead Local,TAC 311,Colorado Chat,Eastern Colorado,Wyoming,WyLOCAL,Location Photo,REACT,CO-Park County
146.61,-0.6,100,W0DK,Boulder,CO,OPEN,I,,109.7,W,,08,13,39.97829819,-105.27500153,146.61,146.01,100,,,,,,Boulder,On-Air,Boulder Amateur Radio Club,,,CCARC,2019-08-23,,,,,,,,,,,,,,7007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.9,-5,100,W0DK,"Boulder, Table Mesa",CO,OPEN,,,109.71,W,,08,10,39.97800064,-105.27500153,448.9,443.9,100,,,,,,Boulder,On-Air,Boulder ARC,,,CCARC,2013-03-17,,"Wyoming border in the north, to Monument Hill in the south, near Colorado Springs. Its coverage is primarily to the east of the Front Range of the Rockies as the repeater signal is blocked to the west by the even higher Rocky Mountain peaks with altitudes of over 14,000 feet.",,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.125,-5,107.2,N0PYY,Golden,CO,OPEN,,,109.92,WSW,,08,143,39.75559998,-105.22100067,448.125,443.125,107.2,,,,,,Jefferson,On-Air,Denver PD EEB,,,CCARC,2014-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7875,-25,156.7,N0PYY,Golden,CO,OPEN,,,109.92,WSW,,08,7170,39.75550079,-105.22100067,927.7875,902.7875,156.7,,,,,,Jefferson,On-Air,N0PYY,,,,2017-12-24,,Golden and Denver.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,100,W0DK,"Boulder, Table Mountain",CO,OPEN,,,109.92,W,,08,14,39.97750092,-105.27899933,146.7,146.1,100,,,,,,Boulder,On-Air,Boulder Co ARC,,BARC Repeaters,CCARC,2013-03-17,,"Wyoming border in the north, to Monument Hill (near Colorado Springs) in the south. Coverage is primarily to the east of the Rockies Front Range, as the repeater signal is blocked to the west by mountain peaks with altitudes of over 14,000 feet.",,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,123,W0GV,Golden,CO,OPEN,A,,109.92,WSW,,08,137,39.75559998,-105.22100067,448.975,443.975,123,,,,,,Jefferson,On-Air,FRG,,,CCARC,2019-09-06,,Wide area.,,,,,,,Linkable VHF/UHF Remote Base,,,,,,,42845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.95,-5,,,Black Forest,CO,OPEN,,SY,110.32,SW,,08,17551,39.04850006,-104.7009964,448.95,443.95,,,,,,,El Paso,,N0PKT,K0JSC,http://www.k0jsc.com,,2019-01-08,,This repeater covers most of Black Forest and various areas of Monument and Colorado Springs,,,Primarily on NXDN: All Nets carried on the K0JSC.COM Fun Machine system,,,,e-power,Unknown,,,,,,,yes,Open ↑ / Open ↓,,yes,(B) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,yes,1,6.25,yes,,,,,,,,,,
446.8375,-5,CC,WA2YZT,"Golden, Lookout",CO,OPEN,,D,110.95,WSW,,08,3753,39.73049927,-105.23200226,446.8375,441.8375,,yes,7,310802,RMHR c Record retrieved from radioid.net,,Jefferson,On-Air,WA2YZT,,,CCARC,2019-11-27,,,Full-time to the Colorado TRBO System .,See website for more info on CC/TS/TG programming. www.rmham.org,,,,,200,,,DM79JR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,CC,N0SZ,"Golden, Lookout Mountain",CO,OPEN,,D,111,WSW,,08,10939,39.73070145,-105.23300171,145.37,144.77,,yes,7,310808,RMHR c Record retrieved from radioid.net,,Jefferson,On-Air,Rocky Mountain Ham Radio,,Rocky Mountain Ham Radio,CCARC,2019-11-27,,,,See the website for programming information. Voice ID is required for data/GPS/text on TG 705,,,,,700,,,DM79JR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,S,111,WSW,,08,3739,39.73049927,-105.23300171,145.25,144.65,,,,,,,Jefferson,On-Air,Colorado D-Star,,Colorado D-Star,CCARC,2014-01-03,,,,,,,,,,,,DM79JR,,,,,,,,yes,W0CDS (C) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9625,-5,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,S,111,WSW,,08,2769,39.73049927,-105.23300171,446.9625,441.9625,,,,,,,Jefferson,On-Air,Colorado D-Star,,Colorado D-Star,CCARC,2017-03-11,,,,,,,,,,,,DM79JR,,,,,,,,yes,W0CDS (B) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.9625,-20,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,S,111,WSW,,08,3751,39.73049927,-105.23300171,1283.9625,1263.9625,,,,,,,Jefferson,On-Air,Colorado D-Star,,Colorado D-Star,CCARC,2014-01-03,,,,,,,,,,,,DM79JR,,,,,,,,yes,W0CDS (A) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.9,0,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,S,111,WSW,,08,8222,39.73049927,-105.23300171,1299.9,1299.9,,,,,,,Jefferson,On-Air,Colorado D-Star,,Colorado D-Star,,2014-01-03,,,,,,,,,,,,,,,,,,,,yes,W0CDS (A) DVAP 24/7,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.975,-25.9,67,W0SKY,"Golden, Lookout Mountain",CO,OPEN,A,,111.15,WSW,,08,18156,39.7333,-105.237,927.975,902.0375,67,,,,,,Jefferson,On-Air,,,http://www.w0sky.com,,2019-10-05,67,"Denver, Golden",,,,,,,AllStar,,,,,,Standard AllStar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,N0PUF,"Centennial, Warren Mountain",CO,OPEN,,,111.22,WSW,,08,80,39.50419998,-105.12799835,146.88,146.28,100,,,,,,Jefferson,On-Air,Denver Radio League,,DRL Repeaters,CCARC,2020-03-13,,Wide Area,,6,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,100,N0PUF,"Centennial, Warren Mountain",CO,OPEN,EI,Y,111.22,WSW,Node Offline,08,273,39.50419998,-105.12799835,449.6,444.6,,,,,,,Jefferson,On-Air,Denver Radio League,,DRL Repeaters,CCARC,2020-03-13,,,,,,,,,,,,,690473,3345,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,141.3,KE0VH,"Golden, Lookout Mountain",CO,OPEN,,Y,111.26,WSW,,08,139,39.733,-105.239,449.625,444.625,141.3,,,,,,Jefferson,On-Air,,,,CCARC,2019-06-19,141.3,,,,,,,,E-power,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.17,-0.5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,,111.41,WSW,,08,10514,39.67340088,-105.21800232,53.17,52.67,107.2,,,,,,Jefferson,On-Air,N6LXX,N6LXX,,CCARC,2019-03-25,,"I-70,I-76,I-25,I-225",Full-time to the N6LXX System .,,,,,,,,,,,,,29883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,,111.41,WSW,,08,10513,39.67340088,-105.21800232,447.875,442.875,107.2,,,,,,Jefferson,On-Air,N6LXX,N6LXX,,CCARC,2017-03-09,107.2,"I-70,I-76,I-25,I-225",Full-time to the N6LXX System .,,,,,,,,,,,,,29913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.9375,-25.9,,KI0HC,"Indian Hills, Chief Mtn",CO,OPEN,,,112.7,WSW,,08,17457,39.6,-105.21,927.9375,902.025,,,,,,,Jefferson,On-Air,,,,CCARC,2018-12-23,,"Wide area,Denver,Colorado Springs, Pueblo, Loveland. I70 East of Denver to Genoa and I25 North to Loveland &amp; South to Aguilar. I76 East to Atwood",,,,,,,linked to Centennial Cone 927.8375 &amp; Almagre 927.7250,,,,,,,,,,,,,,yes,293,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,151.4,,Falcon,CO,OPEN,,Y,112.77,SW,,08,13790,38.93299866,-104.60900116,447.2,442.2,,,,,,,El Paso,Testing,GGARC,Garden of the Gods Amateur Radio Club,,,2015-11-11,,"Falcon, Black Forest, Peyton Areas",,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC,N0SZ,"Boulder, Lee Hill",CO,OPEN,,D,113.24,W,,08,8992,40.07220078,-105.35399628,445.05,440.05,,yes,1,310852,RMHR c Record retrieved from radioid.net,BrandMeister,Boulder,On-Air,Rocky Mountain Ham Radio,,,CCARC,2019-11-27,,Wide area,,,,,,,BrandMeister Network,,,,,,,,,,,,,,,,,,,BrandMeister US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9875,-5,CC,N0SZ,"Boulder, Lee Hill",CO,OPEN,,D,113.24,W,,08,5219,40.07220078,-105.35399628,446.9875,441.9875,,yes,7,310813,RMHR c Record retrieved from radioid.net,,Boulder,On-Air,Rocky Mountain Ham Radio,,,,2019-11-27,,,"Full-time to 446.95000 (K7PFJ) at Colorado Springs, Almagre Mountain, CO . Full-time to the Colorado TRBO System .",,,,,,Linked on Time Slot 2 to Almagre Mtn (446.950).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.75,-5,141.3,N0SZ,"Boulder, Lee Hill",CO,OPEN,I,,113.24,W,,08,19,40.07220078,-105.35399628,447.75,442.75,141.3,,,,,,Boulder,On-Air,Rocky Mountain Ham Radio,,,CCARC,2018-04-24,141.3,,,,,,,,,,,,,3450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.46,-0.6,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,EI,,113.24,W,ON - IDLE,08,8,40.07220078,-105.35399628,145.46,144.86,107.2,,,,,,Boulder,On-Air,Colorado Repeater Association (CRA),CRA VHF Link System,,CCARC,2017-11-13,107.2,Boulder/Denver Metro,"Full-time to 145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO . Full-time to 147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,,,,"Closed autopatch, e-power.",,,,347086,3990,Member-only IRLP and Echolink node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.975,-5,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,,,113.24,W,,08,20,40.07220078,-105.35399628,447.975,442.975,107.2,,,,,,Boulder,On-Air,Colorado Repeater Association (CRA),,,CCARC,2016-09-08,107.2,Wide area: Boulder/Longmont area.,,,,,,,Closed autopatch.,,,DN70HB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.02,-1.6,,W0IA,"Boulder, Lee Hill",CO,OPEN,E,,113.24,W,ON - IDLE,08,18,40.07220078,-105.35399628,224.02,222.42,,,,,,,Boulder,On-Air,Rocky Mtn VHF Soc,,RMVHS repeaters,CCARC,2017-03-11,,Denver metro area.,"Full-time to 449.55000 (W0IA) at Boulder, CO .",,,,,,8,,,DN70HB,217336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.8,-5,100,KB0SRJ,"Colorado Springs, ~2 mi ENE USAFA North Gate",CO,OPEN,,,114.98,SW,,08,57,39.03020096,-104.7990036,448.8,443.8,100,,,,,,El Paso,On-Air,Pikes Peak FM Association (http://PPFMA.ORG),,PPFMA Repeaters,CCARC,2019-09-24,,I-25 corridor from Baptist Rd south to Fort Carson,,,,,,,,,,DM79OA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,103.5,KI0GO,"Golden, Guy Hill",CO,OPEN,,,115.04,WSW,,08,265,39.7772,-105.328,449.75,444.75,103.5,,,,,,Jefferson,On-Air,Rocky Mtn Radio League,,Repeater,CCARC,2016-12-23,103.5,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.74,-1.6,88.5,N0POH,"Golden, Guy Hill",CO,OPEN,,,115.04,WSW,,08,134,39.7772,-105.328,224.74,223.14,88.5,,,,,,Jefferson,On-Air,Aurora Repeater Assoc,,ARA Repeaters,CCARC,2016-01-17,88.5,,,,ARA: Wed at 2000.,,,,e-power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,103.5,WT0C,"Golden, Guy Hill",CO,OPEN,,,115.04,WSW,,08,71,39.77719879,-105.32800293,145.22,144.62,103.5,,,,,,Jefferson,On-Air,Rocky Mtn Radio League,,Repeater,CCARC,2016-12-23,103.5,Wide area.,,Talk-Group of $FFFF.,,,,,8,,,,,,,,,,,,,,yes,293,yes,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.725,-5,100,K0NR,"Monument, Monument Hill",CO,OPEN,,,115.06,SW,,08,183,39.09170151,-104.87200165,447.725,442.725,100,,,,,,El Paso,On-Air,K0NR,,http://www.k0nr.com/wordpress/k0nr-repeater/,CCARC,2016-12-10,100,Local.,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.85,-5,88.5,K0IBM,"Golden, Guy Hill",CO,OPEN,,,115.09,WSW,,08,136,39.7772,-105.329,448.85,443.85,88.5,,,,,,Jefferson,On-Air,Aurora Repeater Assoc,,ARA Repeaters,CCARC,2016-01-17,88.5,"Denver metro, central front range",,,ARA: Wed at 20:00.,,,,e-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,-1.6,103.5,N0MHU,"Golden, Guy Hill",CO,OPEN,,,115.09,WSW,,08,86,39.7772,-105.329,224,222.4,103.5,,,,,,Jefferson,On-Air,Rocky Mountain Radio League,,Repeater,CCARC,2017-03-11,103.5,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,100,W0CBI,"Golden, Guy Hill",CO,OPEN,,,115.09,WSW,,08,133,39.7772,-105.329,147.15,147.75,100,,,,,,Jefferson,On-Air,Aurora Repeater Assoc (ARA),,ARA Repeaters,CCARC,2016-01-17,100,"Denver metro, central front range","Linkable to 224.74000 (N0POH) at Golden, Guy Hill, CO .",,ARA: Wed at 20:00.,,,,e-power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.7,-5,100,W0UPS,"Fort Collins, Buckhorn Mountain",CO,OPEN,,,115.33,WNW,,08,5853,40.61109924,-105.3239975,447.7,442.7,100,,,,,,Larimer,On-Air,Northern Colorado Amateur Radio Club,,http://ncarc.net/,,2014-09-02,100,Wide Area Coverage,"Linkable to 146.85000 (W0UPS) at Greeley, UNC, CO . Linkable to 146.62500 (W0UPS) at Fort Collins, Buckhorn Mountain, CO . Full-time to 224.84000 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,131.8,N0XLF,"Palmer Lake, Monument Hill",CO,OPEN,E,,115.4,SW,ON - IDLE,08,8740,39.13600159,-104.92700195,145.19,144.59,131.8,,,,,,Douglas,On-Air,N0OBA Owner,,,,2018-10-25,131.8,Wide area coverage at 8300,,,Tri Lakes Net: Mon at 19:30 (except third Monday of the month which is the regular radio club meeting).,,,,,,,DM79MD,10079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,88.5,N0OWY,"Conifer, Critchell Mountain",CO,OPEN,,,115.59,WSW,,08,60,39.4703,-105.198,447.5,442.5,88.5,,,,,,Jefferson,On-Air,Aurora Repeater Association,,,CCARC,2014-04-28,88.5,Wide area.,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.2,-5,CC,N0SZ,"Fort Collins, Buckhorn Mountain",CO,OPEN,,D,115.59,WNW,,08,18418,40.61700058,-105.32700348,445.2,440.2,,yes,7,,c Record retrieved from radioid.net,,Larimer,On-Air,RMHAM,,https://www.rmham.org/wordpress/dmr-radio-site-information/,,2019-12-28,,,,,Red Cross Net on Wide - Third Thursday of the month at 1900 Tech Net on Wide - First Saturday of the month at 1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.625,-0.6,100,W0UPS,"Fort Collins, Buckhorn Mountain",CO,OPEN,,,115.59,WNW,,08,246,40.61700058,-105.32700348,146.625,146.025,100,,,,,,Larimer,On-Air,Northern Colorado ARC,,,CCARC,2017-03-11,100,Wide area: Northern front range.,"Linkable to 146.85000 (W0UPS) at Greeley, UNC, CO . Linkable to 224.84000 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .",,,,,,E-power.,,,DN70IO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.84,-1.6,100,W0UPS,"Fort Collins, Buckhorn Mountain",CO,OPEN,,,115.59,WNW,,08,3660,40.61700058,-105.32700348,224.84,223.24,100,,,,,,Larimer,Off-Air,Northern Colorado ARC,,,,2019-08-23,100,"Wide Area: Northern CO Front Range and into Cheyenne - Laramie, WY","Full-time to 447.70000 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .",,,,,,"E-power, 25 watts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.875,-25.9,,KI0HC,"Fort Collins, Buckhorn Mountain",CO,OPEN,,,115.63,WNW,,08,18424,40.61669922,-105.32800293,927.875,902.025,,,,,,,Larimer,On-Air,RM Ham,,,CCARC,2020-01-01,,"Wide area coverage, I 25 from Cheyenne south to MM 20 just north of Trinidad. I 76 East to MM 100. I 70 from Idaho Springs to Genoa. Highway 24 from the Colorado Springs to Limon. Highway 24 west of Colorado Springs is spotty to Hartsel. US 50 from Canon City to Las Animas. Salida south to the San Luis Valley to Antonito. Salida North to just south of Leadville. Repeater Coverage Map",Full-time to the The 900 P25 Network System .,,,,,,,,,,,,,,,,,,,,yes,293,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,0.6,123,W0JZ,Gold Hill,CO,OPEN,,,116.24,W,,08,13368,40.0633,-105.41,146.91,147.51,123,,,,,,Boulder,On-Air,,"Town of Gold Hill, Colorado",http://goldhilltown.com/,,2017-04-09,127.3,"East of Gold Hill, The Indian Peaks, Denver, Boulder",,There is a MOU With BCARES for repeater use.,"Summer Tue at 19:30P, Winter 19:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,100,W0TX,"Golden, Centennial Cone",CO,OPEN,,,117,WSW,,08,112,39.7525,-105.358,448.625,443.625,100,,,,,,Jefferson,On-Air,Denver Radio Club,,DRC Repeaters,CCARC,2017-03-11,100,Denver metro area.,"Full-time to 145.49000 (W0TX) at Idaho Springs, Centennial Cone, CO .",,DRC: Sun at 20:30.,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.985,-0.6,100,K0FEZ,"Golden, Centennial Cone",CO,OPEN,I,,117.05,WSW,,08,82,39.7525,-105.359,146.985,146.385,100,,,,,,Denver,On-Air,El Jebel RADOPS,,,CCARC,2016-09-05,100,,,,RADOPS: Sun at 19:00.,,,,E-power.,,,,,3346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.28,-0.6,100,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,,117.05,WSW,,08,140,39.7525,-105.359,145.28,144.68,100,,,,,,Jefferson,On-Air,,,Intermountain Repeater Group,CCARC,2015-05-22,,Wide area.,"Full-time to 449.52500 (KE0SJ) at Golden, Centennial Cone, CO .","PL is usually off, allowing use by older transceivers.",Sun at 19:30. Everyone welcome.,,,,"Closed autopatch, e-power, linked.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,CSQ,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,,117.05,WSW,,08,138,39.75249863,-105.35900116,449.525,444.525,CSQ,,,,,,Jefferson,On-Air,KE0SJ,,Intermountain Repeater Group,CCARC,2015-05-23,,,"Full-time to 145.28000 (KE0SJ) at Golden, Centennial Cone, CO .",,,,,,E-power.,,,DM79HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,WB0TUB,"Golden, Centennial Cone",CO,OPEN,,,117.05,WSW,,08,77,39.7525,-105.359,146.64,146.04,100,,,,,,Jefferson,On-Air,Denver Radio League,,DRL Repeaters,CCARC,2017-03-11,,Wide area. Repeater Coverage Map,,8,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8375,-25.8,D205,KI0HC,"Golden, Centennial Cone",CO,OPEN,,,117.18,WSW,,08,9702,39.7658,-105.366,927.8375,902.025,,,,,,,Jefferson,On-Air,,,,CCARC,2018-12-23,,Great coverage of the Denver area and I-76 East to Atwood MM112. I-70 East to Agate MM340. West to Idaho Springs MM240. And I-25 from Larkspur MM172 to Longmont MM240 depending on the hills. Now linked with Almagre 927.7250 for great coverage south,,The offset is -25.8125,,,,,Linked with Chief 927.9375 &amp; Almagre 927.7250 for wide area coverage,,,,,,,45770,,,,,,,yes,293,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7875,-5,CC,W0TX,"Denver, Centennial Cone",CO,OPEN,,D,117.19,WSW,,08,7165,39.7657,-105.366,446.7875,441.7875,,yes,1,,,,Jefferson,On-Air,Denver Radio Club,Brandmeister Network,http://www.w0tx.org/,CCARC,2017-12-09,,,,,,,,,,,,,,,"Any Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf. TG's are PTT enabled and will timeout after 15 minutes of inactivity. Time Slot 2 Talk Group 310805 is local repeater only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,,117.28,WSW,,08,73,39.6333,-105.317,145.34,144.74,103.5,,,,,,Jefferson,On-Air,Rocky Mtn Radio League,,Repeater,CCARC,2019-08-15,127.3,Wide area.,,,,,,,E-power.,,,,,3350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC,N0SZ,"Evergreen, Squaw Mountain",CO,OPEN,,D,117.28,WSW,,08,10932,39.6333,-105.317,145.175,144.575,,yes,7,310810,,,Clear Creek,On-Air,Rocky Mountain Ham Radio,,Rocky Mountain Ham Radio,CCARC,2018-11-25,,,,Voice ID is required for data/GPS/text on TG 705,,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.225,0.6,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,EI,,118.33,SW,ON - IDLE,08,83,39.17549896,-105.03399658,147.225,147.825,107.2,,,,,,Douglas,On-Air,Colorado Repeater Association (CRA),CRA VHF Link System,Colorado Repeater Association,CCARC,2017-11-13,107.2,Wide area,"Full-time to 145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO . Full-time to 145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .",,"CRA Net, Sunday 9AM",,,,Closed autopatch,,,DM79LE,347086,3990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.425,-5,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,,,118.33,SW,,08,16547,39.17549896,-105.03399658,448.425,443.425,107.2,,,,,,Douglas,On-Air,Colorado Repeater Association (CRA),ARESDEC,http://www.w0cra.org,CCARC,2020-02-11,107.2,Wide area 55 mi radius.,"Full-time to 147.10500 (WA0DE) at Simla, CO .",,,,,,E-Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Larkspur, Westcreek",CO,OPEN,,,118.35,SW,,08,15903,39.17490005,-105.03399658,449.975,444.975,100,,,,,,Douglas,On-Air,K0JSC,The Fun Machine,The Fun Machine,CCARC,2017-04-21,100,,Full-time to the The Fun Machine System .,"Can be linked to Allstar, Echolink and others by a Sysop",,,,,Simulcast and Voted with Cedarwood and Methodist.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.925,-5,CC,N0ESQ,"Castle Rock, Devils Head",CO,OPEN,,D,118.44,WSW,,08,7193,39.26480103,-105.11399841,446.925,441.925,,yes,8,310817,RMHR c Record retrieved from radioid.net,,Douglas,On-Air,,,Rocky Mountain Ham Radio,CCARC,2019-11-27,,,Full-time to the Colorado TRBO System .,See the website for programming info.,,"Open Talkgroup View Assignment TS TG Access Southern Colorado 1 719 Devilshead Local 2 711 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,DM79KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,
