Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,On-air,Sponsor,Coordination,Last update,Op Status,Features,Downlink Tone,Coverage,Links,Web links,Affiliate,IRLP,Notes,Nets,Grid,EchoLink,AllStar,P-25 Digital Enabled,NAC,Default Reflector,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,Talkgroups,Rocky Mountain Wide,Southern Colorado,Talkgroup Network,Central Regional,Northern Colorado Regional,Commands,Location Photo,Feed,Bandwidth,Eastern Colorado,Devilshead Local,YSF Digital Enabled,DG-ID,TAC 310,TAC 311,Colorado,Colorado Chat,Mixed-Mode,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Worldwide,North America,English,Europe,DCI Bridge,Southwest USA,WIRES-X,Local Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Local/Cluster,N. Colorado,Worldwide English,Mountain Reg USA
449.625,-5,94.8,K0SLV,Monte Vista,CO,OPEN,,,79.27,SSE,,08,18580,37.58418274,-106.13030243,449.625,444.625,94.8,Rio Grande,,S.A.R.A.,,2020-03-11,On-Air,Emergency Power,,,,http://K0SLV.COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,107.2,K0RV,"Vail, Bald Mountain",CO,OPEN,,,79.37,NNE,,08,256,39.6061,-106.356,146.61,146.01,107.2,Eagle,,ECHO,CCARC,2012-11-10,On-Air,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC,N0SZ,Vail,CO,OPEN,,D,79.49,NNE,,08,16781,39.6348,-106.447,445.075,440.075,,Eagle,,K2AD,CCARC,2018-02-01,On-Air,,,,,http://www.rmham.org/,Rocky Mountain Ham Radio,,,,,,,,,,,,,yes,7,310851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,CC,W0BX,"Grand Junction, Grand Mesa",CO,OPEN,,D,79.51,WNW,,08,16721,39.0889,-108.227,446.9125,441.9125,,Mesa,,Bill Frost,,2018-01-09,On-Air,,,"Grand Junction, I70",,,,,Brandmeister network,,,,,,,,,,,yes,1,310868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,107.2,WA4HND,"Grand Junction, Grand Mesa",CO,OPEN,I,,79.71,WNW,,08,154,39.0539,-108.254,449.3,444.3,107.2,Mesa,,,CCARC,2018-01-16,On-Air,e-power Linked to GMRA Open System,107.2,Wide Area I-70 West Rifle to Western Utah,,http://www.gmra.org/,,3710,Closed IRLP out,RACES Wed 1930 hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,107.2,WB0QMR,Breckenridge,CO,OPEN,I,,80.31,NE,,08,23,39.4817,-106.038,146.7,146.1,107.2,Summit,,GRARC,CCARC,2013-01-07,On-Air,E-power.,,,,,,3972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,88.5,KB0VJJ,"Breckenridge, Bald Mountain",CO,OPEN,,,80.54,NE,,08,24,39.4439,-105.969,147.39,147.99,88.5,Summit,,Colorado Connection,CCARC,2015-01-30,On-Air,12,123,Wide area.,Full-time to the Colorado Connection System .,Breckenridge Repeater,,,"Please Note that 146.790 is the old Breckenridge frequency and this repeater may return to that frequency eventually but is now working on 147.390-. This machine has a split tone, 88.5 rx and 123.0 tx",Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,Vail,CO,OPEN,,,80.67,NNE,,08,241,39.6554,-106.457,147.345,147.945,88.5,Eagle,,Colorado Connection,CCARC,2017-01-06,On-Air,9,123,Wide area: Vail Pass to Glenwood Canyon and the Flattops Wilderness to Tennessee Pass. Map,Full-time to the Colorado Connection System .,,,,,Central Colorado Traffic Net: Daily at 19:3030 Colorado Connection Net (All Welcome): Thu at 20:00. Statewide ARES net: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0875,-5,CC,N0SZ,"Breckenridge, Baldy",CO,OPEN,,D,81.01,NE,,08,16780,39.459,-105.979,445.0875,440.0875,,Fremont,,K2AD,,2018-02-01,On-Air,,,,,http://www.rmham.org/,Rocky Mountain Ham Radio,,,,,,,,,,,,,yes,7,310830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.8,-1.6,,N0AFO,Vail,CO,OPEN,,,81.19,NNE,,08,242,39.6403,-106.374,224.8,223.2,,Eagle,,ECHO,CCARC,2018-06-02,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,107.2,N0AFO,Vail,CO,OPEN,,,81.19,NNE,,08,243,39.6403,-106.374,449.9,444.9,107.2,Eagle,,ECHO,CCARC,,Off-Air,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.685,-0.6,107.2,NX0G,"Lake George, Badger Mountain",CO,OPEN,,,83.62,E,,08,169,39.04940033,-105.51300049,146.685,146.085,107.2,Park,,Mountain ARC (MARC),CCARC,2016-11-17,On-Air,"Closed autopatch, e-power.",107.2,,"Full-time to 146.82000 (NX0G) at Woodland Park, CO . Full-time to 448.65000 (NX0G) at Woodland Park, CO . Full-time to 447.47500 (NX0G) at Colorado Springs, CO . Full-time to 147.01500 (NX0G) at Cripple Creek, CO .",,,,,MARC/PCRC: Tue at 19:30.,DM79FB,,,,,,,,,,,,,,,,,,,,Autopatch: 911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,107.2,KC0CVU,"Lake George, Badger Mountain",CO,OPEN,I,,83.66,E,,08,170,39.0489,-105.512,147.36,147.96,107.2,Park,,,CCARC,2018-01-15,On-Air,E-power.,107.2,Wide area.,,CMRG Repeaters,,3854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,100,K0JSC,Westcliffe,CO,OPEN,,,84.02,SE,,08,15584,38.1347,-105.466,448.325,443.325,100,Custer,,,,2017-01-06,On-Air,,100,,Full-time to the The Fun Machine System .,,The Fun Machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919.1,-25,88.5,ND0Q,"Westcliffe, Deer Peak",CO,OPEN,,,84.02,SE,,08,8218,38.1347,-105.466,919.1,894.1,88.5,Pueblo,,Pueblo HC,CCARC,2016-07-14,Off-Air,,CSQ,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,77,KB0TUC,Westcliffe,CO,OPEN,,,84.07,SE,,08,7189,38.1347,-105.465,147.06,147.66,77,Custer,,http://www.qsl.net/rghc,CCARC,2019-08-16,On-Air,E-power,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,103.5,KB0TUC,Westcliffe,CO,OPEN,,,84.07,SE,,08,248,38.1347,-105.465,448.15,443.15,103.5,Custer,,Royal George ARC,CCARC,2017-03-11,On-Air,E-power.,103.5,,,http://www.qsl.net/rghc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.775,-25,D116,KB0TUC,Westcliffe,CO,OPEN,,,84.07,SE,,08,7192,38.1347,-105.465,927.775,902.775,D116,Custer,,Royal Gorge Amateur Radio Club,CCARC,2012-06-14,On-Air,,D116,,,,,,System uses digital PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,67,WB0WDF,"Canon City, eightmile Mountain",CO,OPEN,,,85.17,ESE,,08,33,38.5386,-105.349,449,444,67,Fremont,,WB0WDF,CCARC,2012-06-14,On-Air,"E-power (Solar, Wind)",67,,Full-time to the Mega-Link System .,Mega Link,,,North of the Royal Gorge Bridge.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.8,-5,107.2,WA4HND,"Parachute, Mount Callahan",CO,OPEN,,,87.08,NW,,08,253,39.4519,-108.052,449.8,444.8,107.2,Garfield,,,CCARC,2018-01-15,On-Air,8,,,,GMRA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,100,W0GJT,Grand Junction,CO,OPEN,EI,,88.14,WNW,Node Offline,08,153,38.899,-108.496,448.15,443.15,100,Mesa,,,CCARC,2016-04-22,On-Air,,,,,,,7963,,,,312189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC,K0JSC,"Canon City, Fremont Peak",CO,OPEN,,D,88.64,ESE,,08,7184,38.4542,-105.29,446.7375,441.7375,,Fremont,,,CCARC,2017-03-11,On-Air,IPSC Link to the Colorado network on Talk Slot 2.,,Fremont county and state wide on Talk Slot 2. 40 mi radius. Repeater Coverage Map,Full-time to the Colorado TRBO System .,http://www.k0jsc.com,Rocky Mountain Ham Radio,,Talk Slot 2 linked to the RMHAM trbo system/Talk Slot 1 Local.,,DM78ii,,,,,,,,,yes,7,,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Southern Colorado 2 719 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,2,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.25,-5,100,K0JSC,"Canon City, Fremont Peak",CO,OPEN,EIA,,88.64,ESE,ON - IDLE,08,8879,38.4542,-105.29,447.25,442.25,100,Fremont,,,CCARC,2013-01-27,On-Air,,100,Wide from Custer County to Park County and Chaffee County to Pueblo County. Repeater Coverage Map,Full-time to the The Fun Machine System .,K0JSC dot Com,,7301,,Region 2 District 2 ARES Net: Tue at 19:00. EOSS Net: Tue at 20:00. RGARC Net: Wed at 19:00. Region 5 District 1 ARES Net: Wed at 19:30. APRS Net: Sun at 19:00. Region 5 District 2 ARES Net: Sun at 19:30. Statewide ARES Net: Sun at 20:00.,DM78ik,363976,28368,,,,,,,,,,,,,,,,,,,yes,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.03,-1.7,88.5,WB0WDF,"Canon City, Fremont Peak",CO,OPEN,,,88.64,ESE,,08,29,38.4542,-105.29,53.03,51.33,88.5,Fremont,,WB0WDF,CCARC,2012-07-10,On-Air,"E-power (Bat). Split Site; TX Fremont Peak, RX 8 Mile Mountain",88.5,,,Http://www.qsl.net/rghc,RGARC,,Split site Fremont peak transmitter and 8 mile mountain reciever.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,,88.64,ESE,,08,30,38.4542,-105.29,145.49,144.89,103.5,Fremont,,Royal Gorge Amateur Radio Club,CCARC,2017-03-11,On-Air,E-power (Bat),103.5,,,Royal Gorge Amateur Radio Club,Colorado ARES Region 5 District 1,,,RGARC Net: Wed at 19:00. ARES Net: Wed at 19:30.,DM78ik,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.96,-1.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,,88.64,ESE,,08,31,38.4542,-105.29,223.96,222.36,103.5,Fremont,,RGARC,CCARC,2017-10-04,On-Air,"E-power (Bat), Remote Base",103.5,Wide area. Repeater Coverage Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.75,-5,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,I,,88.64,ESE,,08,32,38.4542,-105.29,447.75,442.75,103.5,Fremont,,RGARC,CCARC,2017-03-11,On-Air,E-power (Bat),103.5,,,Royal Gorge Amateur Radio Club,,3081,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7,-25,D114,KB0TUC,"Canon City, Fremont Peak",CO,OPEN,,,88.86,ESE,,08,278,38.45389938,-105.28600311,927.7,902.7,D114,Fremont,,Royal Gorge ARC,CCARC,2017-03-11,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,,Lake George,CO,OPEN,,,89.64,E,,08,8214,38.9797,-105.357,449.7,444.7,107.2,Park,Unknown,CMRG,CCARC,2012-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.975,-5,100,K0JSC,"Canon City, Colorado",CO,OPEN,EIA,,91.91,ESE,ON - IDLE,08,7185,38.43009949,-105.23200226,447.975,442.975,100,Fremont,,K0JSC,CCARC,2017-03-11,On-Air,Autopatch.,100,Canon City area. Repeater Coverage Map,Full-time to the The Fun Machine System .,http://www.k0jsc.com,,7301,,Region 2 District 2 ARES Net: Tue at 19:00. EOSS Net: Tue at 20:00. RGARC Net: Wed at 19:00. Region 5 District 1 ARES Net: Wed at 19:30. APRS Net: Sun at 19:00. Region 5 District 2 ARES Net: Sun at 19:30. Statewide ARES Net: Sun at 20:00.,,363976,28368,,,,,,,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,100,K0EP,"Durango, Missionary Ridge",CO,OPEN,,,92.83,SSW,,08,116,37.3828,-107.778,146.7,146.1,100,La Plata,,Durango ARC,CCARC,2018-01-16,On-Air,9,100,Local.,,http://durangoarc.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.4,-5,131.8,KB0YNA,"Delta, Uncompahgre Butte",CO,OPEN,I,,93.06,W,,08,127,38.5767,-108.647,449.4,444.4,131.8,Mesa,,"WA4HND, Grand Mesa Repeater Association",CCARC,2016-08-19,On-Air,E-power.,131.8,Wide area via links - Western Colorado - Eastern Utah,Full-time to the GMRA Open System .,http://www.gmra.org,,3710,Closed IRLP out - Ask for a control op,RACES Wed 1930 Hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,123,N0JSP,"Pagosa Springs, Oakbrush Hill",CO,OPEN,,,93.96,S,,08,188,37.193,-107.1,146.61,146.01,123,Archuleta,,,CCARC,2018-01-15,On-Air,,,,,http://durangoarc.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.1375,-5,CC,N0SZ,"Durango, Missionary Ridge",CO,OPEN,,D,93.97,SSW,,08,16782,37.3669,-107.785,445.1375,440.1375,,La Plata,,K2AD,CCARC,2018-09-27,On-Air,,,,,http://www.rmham.org/,Rocky Mountain Ham Radio,,Talkgroup 700 TS 1 Talkgroup 719 TS 2,,,,,,,,,,,yes,7,310854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,"Durango, Missionary Ridge",CO,OPEN,,,94.51,SSW,,08,114,37.35,-107.767,147.345,147.945,88.5,La Plata,,Colorado Connection,CCARC,2016-06-20,On-Air,,123,Durango and north towards Molas Divide.,Full-time to the Colorado Connection System .,,,,,Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (All Welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,,94.54,WNW,,08,152,39.0639,-108.55,147.39,147.99,107.2,Mesa,Unknown,KE0TY,CCARC,2012-11-10,,Linked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,W0GJT,"Grand Junction, 9 Mile, Hwy 141, Unaweep",CO,OPEN,A,,94.54,WNW,,08,261,39.0639,-108.55,146.82,146.22,107.2,Mesa,,,CCARC,2019-02-12,On-Air,,,Wide area: North Western Colorado - South to Montrose and East on I-70.,,,,,,,,,43554,,,,,,,,,,,,,,,,,,Enter *83 node# to link. *81 Unlink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,,K0SSI,Grand Junction,CO,OPEN,,,94.59,WNW,,08,8175,39.0639,-108.551,147.105,147.705,,Mesa,,K0SSI,CCARC,2013-04-20,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,,KB0SW,Grand Junction,CO,CLOSED,,,94.59,WNW,,08,8206,39.0639,-108.551,449,444,,Mesa,,KB0SW,CCARC,2015-08-03,On-Air,,107.2,,,,Grand Mesa Repeater Assoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,114.8,KC0ARV,Grand Junction,CO,OPEN,,,94.59,WNW,,08,3757,39.0638,-108.551,447.5,442.5,114.8,Mesa,Unknown,KC0ARV,CCARC,2012-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RED,Grand Junction,CO,OPEN,,S,94.59,WNW,,08,11792,39.0639,-108.551,446.775,441.775,,Mesa,,,,2014-08-16,On-Air,,,,,,,,,,,,,,,,yes,KD0RED (B) Gateway Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,173.8,KD0SMZ,Grand Junction,CO,OPEN,EI,,94.59,WNW,ON - IDLE,08,11793,39.06389999,-108.5510025,449.775,444.775,173.8,Mesa,,,CCARC,2015-10-25,On-Air,,88.5,,,,,7573,,,,7572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,,94.59,WNW,,08,8167,39.0639,-108.551,145.22,144.62,107.2,Mesa,Unknown,KE0TY,CCARC,2012-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,107.2,W0RRZ,"Grand Junction, GJT",CO,OPEN,I,,94.6,WNW,,08,147,39.1173,-108.522,145.175,144.575,107.2,Mesa,,,CCARC,2016-05-11,On-Air,"E-power,",,Greater grand Junction area.,,,,3161,,,,,,,,,,,,,,,,,,,,,,,Standard IRLP node commands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,,94.99,WNW,,08,15581,39.052,-108.565,147.355,146.755,88.5,Mesa,,Colorado Connection,CCARC,2017-01-06,On-Air,,123,,Full-time to the Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.015,0.6,107.2,NX0G,Cripple Creek,CO,OPEN,,,95.29,ESE,,08,65,38.7466,-105.178,147.015,147.615,107.2,Teller,,Mountain ARC,CCARC,2016-11-17,On-Air,E-power.,,,"Full-time to 146.68500 (NX0G) at Lake George, Badger Mountain, CO . Full-time to 146.82000 (NX0G) at Woodland Park, CO . Full-time to 448.65000 (NX0G) at Woodland Park, CO . Full-time to 447.47500 (NX0G) at Colorado Springs, CO .",,,,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.46,-0.6,67,WB0WDF,Cripple Creek,CO,OPEN,,,95.29,ESE,,08,64,38.7466011,-105.1780014,145.46,144.86,67,Teller,,WB0WDF,CCARC,2012-06-15,On-Air,"E-power, 100% Solar",,,,,RGARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.94,-1.6,67,WB0WDF,Cripple Creek,CO,OPEN,,,95.29,ESE,,08,7203,38.7466,-105.178,224.94,223.34,67,Teller,,,CCARC,2012-06-18,Testing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.4,-5,67,WB0WDF,Cripple Creek,CO,OPEN,,,95.29,ESE,,08,66,38.7467,-105.178,447.4,442.4,67,Teller,,WB0WDF,CCARC,2012-06-15,On-Air,"E-power, Solar, Remote Base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.7,-20,67,WB0WDF,Cripple Creek,CO,OPEN,,,95.29,ESE,,08,67,38.7466,-105.178,1287.7,1267.7,67,Teller,,WB0WDF,CCARC,2012-06-18,Testing,,,,,,,,Testing in Canon City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,K0EP,"Durango, Eagle Pass",CO,OPEN,,,98.01,SW,,08,113,37.41529846,-108.01200104,146.67,146.07,100,La Plata,,Durango ARC,CCARC,2019-04-01,On-Air,11,100,Wide area.,"Part-time to 147.37500 (KB5ITS) at Silverton, Kendall Mountain, CO .",DARC Repeaters,,,Linked active in the summer months only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.895,-0.6,100,AB0PC,"Bailey, Dick Mountain",CO,OPEN,A,,98.04,NE,,08,7,39.4056,-105.473,146.895,146.295,100,Park,,AB0RR,CCARC,2017-07-05,On-Air,25,100,285,"Full-time internet linked to 448.57500 (WZ0N) at Hartsel, CO .",Park County Radio Club (PCRC),,,,Wed at 19:30.,,,45835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.32,-1.6,88.5,ND0Q,"Walsenburg, Deer Peak",CO,OPEN,,,100.6,SE,,08,245,38.04109955,-105.18499756,224.32,222.72,88.5,Custer,,Pueblo Ham Club,CCARC,2016-07-14,Off-Air,11,,,,PHC repeaters,,,,,DM78JA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,88.5,W0PHC,Pueblo,CO,OPEN,,,100.6,SE,,08,197,38.04109955,-105.18499756,447.175,442.175,88.5,Pueblo,,Pueblo Amateur Radio Club,CCARC,2019-12-10,Off-Air,11,,Wide area: Southeast Colorado.,,http://www.puebloradio.org/,,,,,DM78JA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,131.8,KC5EVE,Durango,CO,OPEN,,,102.04,SSW,,08,115,37.2753,-107.879,448.625,443.625,131.8,La Plata,,KC5EVE,CCARC,2018-09-26,On-Air,,131.8,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,100,K0EP,Durango,CO,OPEN,,,102.06,SSW,,08,11546,37.27529907,-107.87999725,449.85,444.85,100,La Plata,,DARC,CCARC,2018-09-26,On-Air,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.2,-5,107.2,,Glade Park,CO,OPEN,,,102.29,WNW,,08,18392,38.97999954,-108.73999786,449.2,444.2,107.2,Mesa,,GMRA,,2019-12-22,On-Air,Solar Powered,,,,http://www.gmra.org/repeaters.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,0.6,100,KB5ITS,"Durango, Smelter Mountain",CO,OPEN,,,103.57,SSW,,08,11545,37.2622,-107.906,147.135,147.735,100,La Plata,,,CCARC,2018-01-15,On-Air,,100,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC,N0SZ,Westcreek,CO,OPEN,,D,103.62,E,,08,15900,39.15250015,-105.16400146,446.875,441.875,,Douglas,,W0VG,CCARC,2019-11-27,On-Air,,,,Full-time to the Colorado TRBO System .,http://www.rmham.org,RMHAM,,,,,,,,,,,,,yes,6,310846,RMHAM c Record retrieved from radioid.net,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Full-Time Central Regional 2 720 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.97,-0.6,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,,103.67,E,,08,44,38.84000015,-105.04000092,146.97,146.37,100,El Paso,,Pikes Peak FM Assoc,CCARC,2019-11-11,On-Air,e-power.,,"Wide area. line-of-sight coverage to pretty much the entire prairie of Colorado, from the mountains eastward to Kansas, with signal as far as New Mexico and Wyoming depending on where you are.","Linkable to 448.45000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",PPFMA Repeaters,,,,listed on http://ppfma.org,DM78LU,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.45,-5,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,,103.67,E,,08,54,38.84000015,-105.04000092,448.45,443.45,100,El Paso,,Pikes Pk FM Assoc,CCARC,2019-03-07,On-Air,E-power.,,"Wide area. line-of-sight coverage to pretty much the entire prairie of Colorado, from the mountains eastward to Kansas, with signal as far as New Mexico and Wyoming depending on where you are.","Linkable to 146.97000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",PPFMA Repeaters,,,,see http://www.ppfma.org,DM78LU,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,107.2,W0RRZ,"Grand Junction, Black Ridge (Above Colorado Ntl Monument)",CO,OPEN,,,104.52,WNW,,08,151,39.06560135,-108.7480011,146.94,146.34,107.2,Mesa,,Western Colorado Amateur Radio Club,CCARC,2016-05-11,On-Air,E-power and autopatch for WCARC members,107.2,Grand Junction 30-50 mi,,http://w0rrz.org,,,,Oatmeal Net: Mon-Fri at 7:30AM-8:00AM,DM59PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
