Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,County,On-air,Coverage,Sponsor,Affiliate,Nets,Web links,Last update,Uplink Tone,Local Network,Op Status,Coordination,IRLP,Downlink Tone,Features,EchoLink,Notes,Links,YSF Digital Enabled,DG-ID,WIRES-X,AllStar,Talkgroups,Southern Colorado,Devilshead Local,Commands,Mixed-Mode,Grid,Feed,P-25 Digital Enabled,NAC,Default Reflector,Talkgroup Network,Rocky Mountain Wide,Central Regional,Northern Colorado Regional,Eastern Colorado,TAC 310,TAC 311,Colorado,Colorado Chat,Worldwide English,North America,DCI Bridge,Local/Cluster,N. Colorado,Location Photo,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Bandwidth,Worldwide,English,Mountain Reg USA,Wyoming,WyLOCAL,Europe,Southwest USA,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Local or Reflector,Kansas,CKRG,KansasLink,Texas,COMM 1,Texas/Oklahoma Regional USA,Amarillo WIRES-X,BYRG,NORCAL 1,NORCAL 5150,UserActivated 1,UserActivated 2,CAL 1,Hytera USA,Parrott,Audio Test,Data,DMRX 1,Utah Statewide 2,USA,Utah,PA (PA-525),SNARS,All TG's Off,All TG's On,Local
224,-1.6,131.8,N7JYS,Hoisington,KS,OPEN,A,,339.71986860692635,SE,,20,16444,38.6056,-98.6975,224,222.4,,,,,,,Barton,,40,N7JYS,Western Kansas Intertie,,,2017-09-24,131.8,,On-Air,,,,Autopatch.,,,,,,,45989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.825,5,114.8,N0ECQ,Hays,KS,OPEN,,,302.4635906513221,SE,,20,4123,38.8792,-99.3268,444.825,449.825,,,,,,,Ellis,,Local,,,,,2018-01-08,114.8,,On-Air,Kansas Repeater Council,,114.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,5,100,K5YEJ,"San Luis, Cabezon",NM,OPEN,,,303.14098170928736,SSW,,35,16603,35.5993,-107.096,443,448,,,,,,,Sandoval,,,,,,,2017-12-25,100,,On-Air,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.35,5,88.5,N5LTZ,Dumas,TX,OPEN,,,305.0334096772539,SE,,48,1490,35.8656,-101.973,444.35,449.35,,,,,,,Moore,,40,,Caprock Intertie,,,2016-05-21,88.5,,On-Air,TVHFS,,,350,,,Full-time to the  Caprock Intertie System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.2,5,88.5,N5LTZ,Amarillo,TX,OPEN,,,346.2480233988578,SSE,,48,1454,35.2391,-101.847,444.2,449.2,,,,,,,Potter,,,,"Randall County ARES-RACES, Caprock Intertie",,,2014-04-18,88.5,,On-Air,TVHFS,,88.5,,,350,Full-time to the  Caprock Intertie System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.92,-0.6,,N5LTZ,Amarillo,TX,OPEN,,,347.86368068523024,SSE,,48,534,35.22,-101.83,146.92,146.32,,,,,,,Randall,Unknown,,CRII,,,,,,,,TVHFS,,,"E-power, linked.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.5,5,,N5LTZ,Amarillo,TX,CLOSED,,,347.86368068523024,SSE,,48,1260,35.22,-101.83,443.5,448.5,,,,,,,Potter,Unknown,,,,,,,,,,TVHFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.4,5,88.5,N5LTZ,Pampa,TX,OPEN,,,355.4094259135662,SE,,48,1500,35.5362,-100.96,444.4,449.4,,,,,,,Gray,,,,Caprock Intertie,,Caprock Intertie,2016-05-22,88.5,,On-Air,TVHFS,,,Linked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.75,5,,N5LTZ,Canadian,TX,CLOSED,,,355.82978757630184,SE,,48,1334,35.9128,-100.382,443.75,448.75,,,,,,,Hemphill,Unknown,,,,,,,,,,TVHFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.85,5,88.5,N5LTZ,Miami,TX,OPEN,,,357.9984888586282,SSE,,48,84,35.6914,-100.638,444.85,449.85,,,,,,,Roberts,,,,,,,2016-03-13,88.5,,On-Air,TVHFS,,,Linked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.65,5,88.5,N5LTZ,Canyon,TX,OPEN,,,358.29828895000077,SE,,48,1301,35.0001,-101.951,443.65,448.65,,,,,,,Randall,,,,,,,2017-01-09,88.5,,On-Air,TVHFS,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.425,5,,N5LTZ,Black,TX,CLOSED,,,364.0897258100599,SE,,48,1512,34.6826,-102.609,444.425,449.425,,,,,,,Parmer,Unknown,,,,,,2018-09-03,,,,TVHFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.575,5,88.5,N5LTZ,Wayside,TX,OPEN,,,381.44413493006016,SE,,48,1549,34.7928,-101.547,444.575,449.575,,,,,,,Armstrong,,,,Caprock Intertie,,Caprock Intertie,2013-04-13,88.5,,On-Air,TVHFS,,,Linked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.0125,5,CC14,KD5ROK,Dumas,TX,OPEN,,D,305.0452915185801,SE,,48,14523,35.8654,-101.973,443.0125,448.0125,,,,yes,14,,Moore,,,,,,http://www.dmr-marc.net/,2017-08-17,,,On-Air,,,,,,Time Slot #2 - Group Call 10 = West Texas Local,,,,,,"Open Talkgroup View 
 
  
  
 Assignment 
 TS 
 TG 
 Access 
 
  Worldwide  1  1  Full-Time    North America  1  3      English  1  13  PTT    TAC 310  1  310  PTT    DCI Bridge  1  3100  Full-Time    Texas  1  3148      COMM 1  1  3777215      Local/Cluster  2  2  Full-Time    Texas  2  3148  PTT    Texas/Oklahoma Regional USA  2  3175  PTT  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,,,Lonestar,,,,,1,,,,,1,1,2,,,,,,,,,1,1,,,,,,,,,,,,,,2,1,2,,,,,,,,,,,,,,,,,,,,
146.13125,-0.6,CC14,KD5ROK,"Borger, NW Well Field",TX,OPEN,,D,346.907682858126,SE,,48,11215,35.4678,-101.348,146.13125,"a 
  The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",,,,yes,14,,Hutchinson,,45,,Brandmister,,,2017-09-24,,,On-Air,,,,TS1 AMA-WIRES-X,,,,,,,,"Open Talkgroup View 
 
  
  
 Assignment 
 TS 
 TG 
 Access 
 
  Amarillo WIRES-X  1  31485  Full-Time    Local/Cluster  2  2  Full-Time    Texas  2  3148  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,
147.34,0.6,131.8,K5DST,"Logan, Ute Lake",NM,OPEN,,,305.50549781744144,SE,,35,15643,35.3653,-103.411,147.34,147.94,,,,,,,Quay,,,Big Water ARA,,,,2017-07-19,131.8,,On-Air,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.075,-5,,K7YI,"Price, Cedar Mountain",UT,OPEN,,S,306.1512219757011,W,,49,4237,39.185,-110.605,448.075,443.075,yes,K7YI (B),"jfindu lookup 
/  dstar-users lookup",,,,Carbon,,,Sinbad Desert Amateur Radio Club,,,,2013-12-07,,,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.125,-5,100,K7YI,"Castle Dale, Cedar Mountain",UT,CLOSED,,,307.01430223020736,W,,49,74,39.1719,-110.619,447.125,442.125,,,,,,,Emery,Unknown,"Wide area: This covers (approximately) from Price on the west to Green River, Utah toward the south, bounded by the Bookcliffs on the north and east.",San Rafael Cactus Assoc,Cactus-Intertie,,,2008-07-10,100,,,UVHFS,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,K7YI,"Castle Dale, Horn Mountain",UT,OPEN,,,334.4639306398831,NW,,49,73,39.2096,-111.142,447.625,442.625,,,,,,,Emery,,Wide area.,San Rafael Cactus Assoc,Cactus-Intertie,,,2008-07-11,100,,On-Air,UVHFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.4,5,100,K5AKW,"Placitas, Sandia Peak",NM,OPEN,,,308.44100352878127,SSW,,35,14763,35.336,-106.451,443.4,448.4,,,,,,,Sandoval,,,Sandia Vista ARC,,,http://sandiavista.net,2017-04-05,100,,On-Air,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.805,-0.6,100,W7BEQ,"Shoshoni, Copper Mtn",WY,OPEN,,,308.78963427157277,N,,56,15527,43.4085,-108.081,146.805,146.205,,,,,,,Fremont,,,,,,,2018-04-06,100,,On-Air,WRCG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.2,5,88.5,KC5WBK,Spearman,TX,OPEN,,,311.26220370941206,SSE,,48,11484,36.1984,-101.192,443.2,448.2,,,,,,,Hansford,,,KY5C,,,,2014-05-20,88.5,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,,WA5EMA,Tucumcari,NM,OPEN,,,314.4846260344779,SE,,35,176,35.1717,-103.724,146.88,146.28,,,,,,,Quay,,,WA5EMA,,,,2017-08-25,,,On-Air,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.98,-1.6,,WA5EMA,Tucumcari,NM,OPEN,,,314.4846260344779,SE,,35,178,35.1717,-103.724,224.98,223.38,,,,,,,Quay,Unknown,,WA5EMA,,,,,,,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.75,5,,WA5EMA,Tucumcari,NM,OPEN,E,,314.4846260344779,SE,Node Offline,35,179,35.1717,-103.724,443.75,448.75,,,,,,,Quay,,Local coverage in town.,WA5EMA,,,,2014-09-06,,,On-Air,NMFCC,,,,406798,EchoLink active during daytime hours.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.43,-0.6,88.5,W7CEU,"Price, Wood Hill",UT,OPEN,,,314.7054997959858,W,,49,78,39.6119,-110.812,145.43,144.83,,,,,,,Carbon,Unknown,Price.,,,,,2008-07-11,88.5,,,UVHFS,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.5,-1.6,88.5,W7CEU,"Price, Wood Hill",UT,OPEN,,,314.7054997959858,W,,49,2764,39.6119,-110.812,224.5,222.9,,,,,,,Carbon,Unknown,,College of Eastern Utah ARC,,,,2008-11-25,88.5,,,UVHFS,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.3,-5,88.5,W7CEU,"Price, Wood Hill",UT,OPEN,,,314.7054997959858,W,,49,2765,39.6119,-110.812,448.3,443.3,,,,,,,Carbon,Unknown,Price.,College of Eastern Utah ARC,,,,,88.5,,,UVHFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.2,0.6,88.5,K7GX,"Price, Wood Hill",UT,OPEN,EI,,314.7075056579065,W,ON        - IDLE,49,10058,39.6111,-110.812,147.2,147.8,,,,,,,Carbon,,,,,,,2018-05-20,88.5,,On-Air,UVHFS,3270,,,64264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.3,-5,,K7GX,"Price, Wood Hill",UT,OPEN,EI,,314.7075056579065,W,ON        - IDLE,49,10061,39.6111,-110.812,448.3,443.3,,,,,,,Carbon,Unknown,,,,,,2013-08-05,,,,UVHFS,3270,,,64264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.35,5,100,WA5OLD,Rio Rancho,NM,OPEN,,,315.08699188395906,SSW,,35,140,35.2755,-106.618,442.35,447.35,,,,,,,Sandoval,,,WA5OLD,,,,2017-07-21,100,,On-Air,NMFCC,,,Autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,88.5,K5IS,Perryton,TX,OPEN,,,315.2044665926717,SSE,,48,383,36.4,-100.803,146.64,146.04,,,,,,,Ochiltree,Unknown,,,,,,,88.5,,,TVHFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,-0.6,123,KC0WZL,"Kearney, Kearney Water Tower",NE,OPEN,,,315.58062225464465,E,,31,14669,40.7216,-99.0932,147,146.4,,,,,,,Buffalo,,15,MARC,,Weather nets as needed.,http://w0ky.club/,2017-09-01,123,,On-Air,,,,,,This is the severe weather operations machine for the Kearney area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,123,KA0DBK,Kearney,NE,OPEN,,,315.8543035904897,E,,31,29,40.6993,-99.0817,147.39,147.99,,,,,,,Buffalo,,,KA0DBK,,,,2017-05-23,123,,On-Air,,,123,"E-power, WX.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.03,0.6,,KD0PBW,"Kearney, County Courthouse",NE,OPEN,,S,315.8543035904897,E,,31,14688,40.6993,-99.0817,147.03,147.63,yes,KD0PBW (C) Repeater,"jfindu lookup 
/  dstar-users lookup",,,,Buffalo,,"Buffalo County, HWY 10, HWY 30, and Interstate 80",,,,http://www.dstarusers.org/viewrepeater.php?system=KD0PBW,2018-12-09,,,On-Air,,,,,,,,,,,,,,,,,EN00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.625,-0.6,123,W0KY,Kearney,NE,OPEN,,,315.8543035904897,E,,31,27,40.6993,-99.0817,146.625,146.025,,,,,,,Buffalo,,,Midway Amateur Radio Club (MARC),,MARC: Every Thursday at 20:15 Local time,http://w0ky.club/,2017-05-23,123,,On-Air,WB0CMC,,123,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.75,5,100,WA6CCB,"Albuquerque, Sandia Peak",NM,CLOSED,,,316.2828638374129,SSW,,35,11724,35.2183,-106.451,443.75,448.75,,,,,,,Bernalillo,,,"WA6CCB, K5RKE",,Bosque Youth Amateur Radio Net: M-F at 17:00.,,2017-07-21,100,,Off-Air,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.34,0.6,136.5,KG7DSO,"Vernal, Tabby Mountain",UT,OPEN,,,316.33783019221414,WNW,,49,121,40.3549,-110.799,147.34,147.94,,,,,,,Uintah,,Wide area.,Borderline Amateur Radio Club,Roosevelt Junior High School Amateur Radio Club,,,2017-05-14,136.5,,On-Air,UVHFS,,,,,9,"Full-time to  
147.10000 (W7BAR) at Vernal, Blue Mountain, UT .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.3,5,CC1,K5KRE,"Albuquerque, Sandia Crest",NM,OPEN,,D,316.3748109667609,SSW,,35,151,35.2167,-106.45,443.3,448.3,,,,yes,1,,Bernalillo,,Wide area.,K5RKE,Mac Pass Repeater Group,,http://brandmeister.network/?page=repeater&amp;id=313510,2018-03-24,,,Testing,NMFCC,,,A Motorola SLR5700 on the BrandMeister worldwide network,,Timeslot 1 3135 (New Mexico) 31302 (MPRG 2) Timeslot 2 31301 (MPRG 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.7,-1,156.7,WB5IUZ,"Albuquerque, Sandia Crest",NM,OPEN,,,316.3748109667609,SSW,,35,4208,35.2167,-106.45,51.7,50.7,,,,,,,Bernalillo,,,K5RKE,,,,2017-07-25,156.7,,Off-Air,NMFCC,,,,,Off the air until spring 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.9,5,CC7,KA8JMW,"Albuquerque, Sandia Crest",NM,OPEN,,D,316.58823249241203,SSW,,35,12414,35.2135,-106.45,442.9,447.9,,,,yes,7,,Bernalillo,,,"Rocky Mountain Ham Radio, NM",,,http://www.rmham.org/wordpress/mototrbo-radio-site-information,2018-01-29,,,On-Air,NMFCC,,,,,"Colorado Wide: CC 7, TS 1, TG 700 Colorado South: CC 7, TS 2, TG 719",Full-time to the  Colorado TRBO System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.8,5,,W5MPZ,"Albuquerque, Sandia Crest",NM,OPEN,,S,316.8016645254255,SSW,,35,9295,35.2103,-106.45,443.8,448.825,yes,W5MPZ (B) Repeater,"jfindu lookup 
/  dstar-users lookup",,,,Bernalillo,,Wide area;,Sandia National Laboratories ARC,,,,2017-07-08,,,On-Air,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.75,5,162.2,KC5IPK,"Albuquerque, Sandia Crest",NM,OPEN,I,,316.850900400132,SSW,,35,203,35.2089,-106.447,442.75,447.75,,,,,,,Bernalillo,,,,,,,2015-04-30,162.2,,On-Air,,7855,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.75,5,162.2,KC5IPK,Rio Rancho,NM,OPEN,EI,,317.1721433299815,SSW,Node Offline,35,3112,35.2744,-106.737,442.75,447.75,,,,,,,Sandoval,,"Rio Rancho, Albuquerque, Corrales.",KC5IPK,,,,2017-02-11,162.2,,On-Air,NMFCC,7855,,E-power.,214956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.33,-0.6,100,W5CSY,"Albuquerque, Sandia Crest",NM,OPEN,,,316.850900400132,SSW,,35,16,35.2089,-106.447,145.33,144.73,,,,,,,Bernalillo,,Wide area.,Amateur Radio Caravan Club of New Mexico,,AACC: Sun at 0900.,http://caravanradio.org/,2015-12-28,100,,On-Air,NMFCC,,,E-power.,,,"Full-time to  
444.00000 (W5CSY) at Albuquerque, Sandia Crest, NM .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,5,100,W5CSY,"Albuquerque, Sandia Crest",NM,OPEN,,,316.850900400132,SSW,,35,34,35.2089,-106.447,444,449,,,,,,,Bernalillo,,Wide area.,Amateur Radio Caravan Club of New Mexico,,AACC: Sun at 0900.,http://www.caravanradio.org,2017-07-16,100,,On-Air,NMFCC,,,E-power.,,,"Full-time to  
145.33000 (W5CSY) at Albuquerque, Sandia Crest, NM .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.6,5,100,K5FSB,"Albuquerque, Sandia Peak",NM,OPEN,,,316.850900400132,SSW,,35,31,35.2089,-106.447,442.6,447.6,,,,,,,Bernalillo,,Wide area.,URFMSI,,,http://www.urfmsi.org/wp/repeaters/analog/gary-diamond-repeater,2017-01-15,100,,On-Air,NMFCC,,,Closed autopatch.,,"Voting receiver. 10,680'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.1,5,162.2,KB5GAS,"Albuquerque, Sandia Crest",NM,OPEN,I,,316.850900400132,SSW,,35,28,35.2089,-106.447,442.1,447.1,,,,,,,Bernalillo,,Wide area.,Albuquerque Gas Balloon Assoc,,,,2017-07-08,162.2,,On-Air,,3676,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.1,0.6,100,NM5RR,"Rio Rancho, Rainbow",NM,OPEN,A,,317.1721433299815,SSW,,35,139,35.2744,-106.737,147.1,147.7,,,,,,,Sandoval,,,Sandoval Co ARES,,,http://www.nmscares.org,2017-02-10,100,,On-Air,NMFCC,,100,"E-power, remote base, Linked to 443.100 and 147.080.",,,"Full-time to  
443.00000 (NM5RR) at Rio Rancho, Rainbow, NM .",,,,27749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,5,100,NM5RR,"Rio Rancho, Rainbow",NM,OPEN,A,,317.1721433299815,SSW,,35,141,35.2744,-106.737,443,448,,,,,,,Sandoval,,Rio Rancho and parts of Santa Fe.,Sandoval Co ARES,RACES.,,http://www.nmscares.org,2017-02-10,100,,On-Air,NMFCC,,,E-power.,,,"Full-time to  
147.10000 (NM5RR) at Rio Rancho, Rainbow, NM .",,,,27750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.2,5,CC1,N5QD,Corrales,NM,OPEN,,D,317.4015976244092,SSW,,35,16498,35.2378,-106.607,443.2,448.2,,,,yes,1,,Sandoval,,,,,,http://brandmeister.network/?page=repeater&amp;id=313513,2017-10-21,,,On-Air,,,,Brandmeister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,123,KD7HLL,Mexican Hat,UT,OPEN,,,318.47524924014755,SW,,49,100,37.2693,-109.957,449.9,444.9,,,,,,,San Juan,,"Lake Powell area from Bullfrog to Wahweap and Hite, toward the south into Arizona and North as far as Boulder.",,,,,2018-01-15,123,,On-Air,UVHFS,,,6,,Part time link to  two repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.94,-1.6,,W5AOX,Sandia Park,NM,OPEN,E,,318.50789293733726,S,Node Offline,35,152,35.1631,-106.348,224.94,223.34,,,,,,,Bernalillo,,,W5AOX,,,http://www.qsl.net/w5aox/,2018-05-21,,,Off-Air,NMFCC,,,Remote base.,3061,,"Full-time to  
444.15000 (W5AOX) at Sandia park, NM .",,,,,,,,"CB58 (this selects mem 58, or 146.58.. Enter B and the desired memory number, then unkey) 
VFO Freq Entry CD14*275D (example is to enter 14.275 MHz) 
Step Freq UP 1 KHz 
C2 Step Freq DOWN 1 Khz C1 Select/Toggle through Modes 
C8 Read Back Current Mode  C0 (Zero) Read Current Freq in CW C4 Activate Remote Base 
Transmit 587 Remote Base Receive Only 
576 Toggle RX Preamp 
C5 Toggle RX 20dB Attenuator 
C3 Select 80/40M Dipole 
*1A Select Triband (10-15-20-6M) Beam 
*1B Select Ringo Ranger 2M vert ant 
*2A Select 2M + 432 horiz beams 
*2B Scan Start CA (MUST be in monitor-only mode (576) to scan, Starts from current freq) Scan Stop PTT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.15,5,100,W5AOX,Sandia park,NM,OPEN,E,,318.50789293733726,S,Node Offline,35,35,35.1631,-106.348,444.15,449.15,,,,,,,Bernalillo,,,W5AOX,,,,2017-07-16,100,,On-Air,NMFCC,,,,3061,,"Full-time to  
224.94000 (W5AOX) at Sandia Park, NM .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.48,-1.6,100,K6LIE,"Albuquerque, Northeast Heights area",NM,OPEN,I,,318.60618306618375,SSW,,35,3113,35.1967,-106.51,224.48,222.88,,,,,,,Bernalillo,,Entire Albuquerque Area,K6LIE,High Desert ARC of New Mexico,,,2015-01-12,100,,On-Air,NMFCC,3285,,,,Moved to new location and added PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
